word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
propriété,0.928419,0.170459,0.097327,-0.887287,0.503292,-0.401907,-0.306478,-1.10196,-0.974297,1.002304,-0.507665,0.110896,0.600785,-0.01529,1.025899,0.293174,-0.23744,1.072697,0.115038,0.185972,0.638533,0.900644,0.619303,-0.422838,-0.731211,0.141627,-0.519213,0.418129,0.560621,0.227914,-0.050526,-1.321844,-0.198145,-0.577635,-0.433061
ordre,1.763322,-0.826493,-0.149385,0.095319,1.441782,-0.657291,-0.354391,-0.292198,0.295245,0.453866,0.13152,0.073502,1.249519,-0.613379,-0.127379,-0.141414,0.165247,0.764929,-0.236584,-0.510447,0.570028,0.128608,0.078761,-0.357342,0.604416,-0.19519,0.554813,0.042426,0.047335,-0.304335,-0.404718,-0.857794,0.156957,0.338732,0.251512
variable,-0.127868,0.917264,0.473579,0.323485,1.073604,-0.852875,-0.064608,-0.559518,-0.857254,1.170148,0.028497,0.212497,-0.065466,-0.998145,-0.43918,-0.594078,0.323944,-0.251502,-0.36808,0.633816,1.752567,1.007472,-0.202933,0.382683,-0.515058,-0.152926,0.451279,0.530566,0.175885,1.208987,-0.076567,-0.456859,-0.666737,-1.044426,-0.128499
base,-0.16413,-0.355231,0.456374,0.134065,0.71389,0.277387,0.553001,-0.423085,-0.342069,1.042776,0.084057,0.950095,0.638535,-0.630624,-0.153215,0.160789,0.07547,0.827878,-0.570231,-0.025229,1.316847,0.062785,0.280243,0.546119,-0.557163,-0.582448,0.327253,0.356878,1.007081,0.263073,0.154685,-0.777964,-0.24489,-0.192179,0.183489
géométrie,0.532212,0.444091,0.021394,0.754118,0.799622,-1.010878,0.623467,-0.606327,-0.533223,1.810785,-0.221946,-0.009952,-0.56406,-0.814017,-0.433246,0.024319,-0.668686,-1.270195,0.176401,0.39409,-0.004935,-0.023738,0.989819,0.122854,-1.298215,0.081036,-0.465771,-0.624604,0.775755,1.623442,0.22989,-0.360209,-1.349315,0.42069,-0.01314
analyse,1.085487,-0.612667,-0.446445,0.671518,-0.027337,0.363168,-0.026636,-1.535819,-0.449922,0.342179,-0.232702,0.838047,0.097466,-0.766719,-0.635771,-0.804769,-0.957193,-0.171509,-0.450128,1.270282,1.115356,0.55925,0.767737,0.53047,-0.604009,-0.578979,0.020468,-0.200358,0.121378,1.014743,0.194229,0.400301,-0.706542,-0.091554,-0.104665
loi,1.551455,-0.381697,-0.637537,-0.186183,0.128826,-0.295095,-1.625004,-0.135013,-0.273051,0.330219,0.067267,0.351539,1.57754,-0.600965,-0.21135,0.827727,-0.339606,-0.405794,-0.115022,0.933392,1.777826,0.179508,-0.173857,-0.903457,0.395848,-1.135288,-0.35807,0.725894,0.485883,-0.421673,0.442363,-0.770461,0.459393,0.029976,-0.156479
définition,0.873746,0.109348,0.237853,0.32106,0.570329,0.173715,-0.740643,-1.043282,-0.052877,1.142452,0.02434,0.393671,0.250663,-0.945369,-0.173549,-0.066908,-0.276381,-0.585936,0.046268,1.149805,1.697512,0.469101,0.488862,0.301118,-0.646989,-0.637376,-0.286057,0.588672,0.322986,0.637017,0.407011,-0.18572,-0.618504,-0.308944,0.698225
réel,0.275482,-0.025066,0.519001,-0.241768,0.591774,0.288244,-0.920031,-1.172283,0.177646,0.942508,-0.987803,-0.425914,0.684111,-0.937154,-0.119114,-0.200423,-0.677273,0.308215,-0.122234,1.117309,0.980134,0.945178,-0.031386,0.072197,0.066333,-0.56113,-0.139964,0.153287,0.118414,1.108599,0.424051,0.503011,-0.584167,0.054457,-0.032686
dimension,-0.216105,0.327722,0.53371,-0.424654,0.751867,-0.118178,-0.193745,-0.797154,0.029756,1.340343,-0.682248,-0.027981,-0.067703,-1.364889,-0.315443,-0.306523,0.010511,0.119143,-0.279872,0.063108,1.00707,0.319925,0.277582,-0.144159,-0.39615,-1.199307,-0.460853,-0.670518,0.293699,1.464334,0.407429,0.241762,-0.799144,0.224226,-0.2833
statistique,0.874347,-0.70907,0.485547,2.214217,-0.316278,0.357118,-1.098788,0.426333,0.061631,-0.180879,-0.032832,1.175759,-0.019153,0.194017,0.3987,-0.611789,1.327483,1.147403,0.545312,1.021959,0.870077,0.141171,-0.353929,-0.339985,-1.250491,-0.137062,-0.885599,0.830615,-0.066306,0.396022,-0.334285,-0.188278,-0.854587,0.583095,-0.856984
sommet,-0.458318,-1.174583,0.149652,-0.248802,1.028164,-0.355432,0.408074,-0.110175,-0.62117,1.11047,-0.393989,0.638698,-1.297918,-0.297846,-0.827565,0.307058,1.316936,0.867414,0.359007,-0.932726,1.453396,-0.471933,-0.767432,0.956591,0.811115,0.180121,-0.634672,-0.595559,0.15895,-0.505022,-0.182175,0.624394,-0.069651,-0.002654,-0.238293
logique,1.010736,-0.256405,0.248071,0.712406,-0.076177,0.179779,-0.547566,-0.704531,-0.261355,1.313207,-0.597906,-0.22585,0.175158,-0.638166,-0.358021,0.167446,-0.537541,-1.058129,0.120622,1.260916,0.588074,0.435785,1.147261,-0.428251,-0.251626,-0.872004,-0.757469,0.25893,0.65856,0.708158,0.572016,0.021945,-1.129156,0.70168,0.728003
terme,0.754274,-0.538139,0.555197,0.33199,0.476337,0.337155,-0.350107,-0.587245,0.213956,0.917443,-0.001136,-0.302002,0.500206,-0.236695,-0.106839,0.088404,0.220115,0.747758,-0.081706,0.947623,1.445547,0.372201,0.624169,0.282672,0.247672,-0.048951,-0.211684,0.263647,0.459904,0.148113,0.118855,-0.338952,-0.800871,-0.333933,0.374117
trois,-0.251954,-0.691994,0.385298,0.63564,0.858988,-0.540312,0.023841,-0.4533,0.160935,0.420219,0.225738,0.452593,0.446054,-0.413919,-0.526933,0.422399,0.193403,1.617379,-0.074067,-0.400148,0.72438,0.476749,-0.457262,-0.296178,0.94831,-0.46421,-0.32348,-0.543233,0.470629,0.021222,0.025166,-0.455651,-0.090646,0.010087,-0.263862
plan,0.331063,-0.70684,-0.429925,-0.66464,0.532505,-0.178618,0.042653,-0.351652,-0.687666,1.426469,-0.373967,0.60739,0.600369,-0.576094,-0.449525,0.039158,-0.161406,0.294149,-0.402151,-0.4391,1.27078,0.451422,-0.295051,0.110379,-0.009283,-0.604657,-1.016946,-0.161872,0.407609,0.254448,0.1766,0.497888,-0.31963,0.226114,-0.157155
formule,-0.417751,-0.153577,0.050819,1.887354,0.501009,-0.075701,-1.123159,-0.449975,-0.081933,0.489197,-0.16854,0.348888,0.078345,-0.507975,0.158833,0.283587,0.364333,0.152723,-0.400498,1.231658,0.277852,-0.574689,0.370912,-0.181224,0.451005,1.170222,-0.642789,-0.413967,0.533882,1.155752,0.270918,-0.601969,-1.23951,-0.472487,0.432632
