word,1,2,3,4,5
test,-1.379379,-0.066317,-1.661477,-0.899772,0.257616
proposition,-0.108409,0.551112,-2.554634,-0.765623,0.351257
catégorie,-1.572285,0.811695,-2.184166,-0.083427,0.416207
programme,-0.651949,0.290414,-1.594563,-1.834169,1.244682
intégral,-1.813518,0.54214,-2.275512,-0.711177,0.911042
complexité,-1.611229,0.13282,-2.181749,-1.131817,0.432636
automate,-1.673826,-0.055606,-2.004161,-0.868739,-0.12742
moyenne,-0.564371,0.233728,-2.853677,-0.836344,-0.173818
symbole,-0.156815,0.893635,-2.497667,-0.336971,0.433904
axe,0.499382,1.364642,-2.777634,0.460591,-0.122189
euclidien,-1.421268,1.243539,-2.9311,0.033991,0.51926
inférieur,0.800082,1.403724,-3.279769,0.024057,0.213733
dérivée,-1.706561,0.614785,-2.961722,-0.575145,0.345172
transformation,-1.755266,0.832899,-2.396948,-0.132906,0.59567
anneau,-1.878038,1.14275,-2.478847,0.688058,0.25129
facteur,-0.00677,0.825598,-2.59155,-0.477983,0.567485
indice,-0.335894,0.858285,-2.496658,-0.152004,0.034213
zéro,0.428024,1.062638,-3.05084,-0.175806,0.223454
sphère,-0.210286,1.313944,-2.42838,0.710825,-0.043311
strictement,-0.194812,1.244418,-3.904004,0.439323,-0.276148
puissance,0.248935,1.082239,-3.045709,-0.180104,0.204533
Euler,-0.731566,0.776971,-1.757388,-0.574585,1.186935
topologique,-2.680077,1.244424,-2.937548,0.222959,0.541641
déduire,-0.459499,0.681028,-3.273734,-0.51627,0.301959
composer,0.450426,1.123575,-2.558644,-0.424551,0.753586
deuxième,0.582035,1.215193,-2.125538,-0.731033,1.342497
rayon,0.799769,1.586,-2.978594,0.895164,-0.420756
caractéristique,-1.060868,0.873676,-2.820951,-0.322231,0.589897
vide,-0.076777,1.129818,-3.33149,0.291616,-0.111203
affine,-2.228914,1.058994,-2.763257,0.681418,0.204985
supposer,-0.407577,0.538105,-3.363477,-0.586462,-0.169784
ouvert,-0.926665,1.430276,-2.800187,0.657159,0.532451
partiel,-1.348704,0.754994,-2.221322,-0.905073,1.081446
approximation,-1.220412,0.624322,-2.258008,-0.72643,0.812016
convergence,-1.427778,0.149381,-2.742197,-0.640921,-0.036622
chemin,0.445689,0.916079,-2.840012,-0.118316,-0.226882
rotation,-0.145984,1.24776,-2.808204,0.549792,-0.301018
différence,-0.038323,0.590313,-2.921022,-0.955107,0.258164
analytique,-1.466538,0.288411,-1.922478,-1.383978,1.475778
formel,-1.946744,0.17459,-2.265237,-1.585643,1.043104
intersection,-0.21747,1.664521,-2.886699,0.84121,0.116103
pourcent,2.402562,1.266851,-1.531382,0.205234,0.739476
caractère,-0.254179,0.683374,-2.434565,-0.548187,0.312954
raison,0.267917,0.269406,-2.338766,-1.802869,0.668114
aire,1.147297,1.021254,-2.497082,0.084796,-0.121783
section,-0.495807,1.165617,-1.738603,-0.298224,1.384886
cycle,0.283931,1.449744,-1.915879,0.11383,1.062793
source,-0.643982,0.669052,-1.186817,-1.057338,1.67778
discret,-2.163268,0.784395,-2.10381,-0.370607,1.305099
combinatoire,-1.666318,0.319919,-1.42706,-1.56585,1.584098
dynamique,-1.935405,-0.037961,-1.532994,-1.675237,1.048041
inverse,-1.271837,0.888385,-2.685248,0.004867,0.417484
minimal,-0.585954,1.146752,-2.66426,0.229308,0.186307
extension,-1.592621,0.965614,-2.324337,-0.022354,0.691722
arc,-0.088709,1.017984,-2.607132,0.4872,-0.421254
énoncé,-0.864413,0.115644,-2.582233,-1.224727,0.248411
parallèle,0.050867,0.950609,-2.598102,-0.071998,-0.070781
négatif,-0.325837,0.444197,-3.11122,-0.597845,-0.299502
niveau,0.366077,0.386243,-2.044153,-1.564906,0.716322
fraction,-0.614145,0.779838,-2.631465,0.032757,0.303358
segment,0.796361,1.33538,-2.951122,0.641545,-0.452685
norme,-1.597868,1.100421,-2.662488,0.744236,0.140573
local,-1.94838,0.533322,-2.050443,-0.415904,0.642714
métrique,-2.239687,0.705008,-2.459808,0.039578,0.236217
symétrie,-0.318453,1.134031,-2.301035,0.512119,-0.315851
inégalité,-1.142729,0.085476,-2.0474,-0.314667,-0.111599
chaîne,-0.588724,0.839638,-2.40292,-0.040532,0.145497
prouver,-0.527651,0.337533,-2.164236,-1.312096,0.739075
Gauss,-1.210317,0.362897,-1.361491,-0.815724,1.080749
symétrique,-1.481555,1.249275,-2.949359,0.716827,0.125749
Riemann,-1.956759,0.507419,-1.627565,-0.47467,1.007316
$\mathbb{Z}$,-0.074497,1.736214,-2.756789,1.367818,0.261081
polyèdre,-0.162456,1.218016,-1.776147,0.874795,-0.130173
binaire,-0.702472,0.586664,-2.558984,0.000796,-0.161113
demi,0.235372,1.267992,-2.510683,0.350555,0.184589
multiplication,-0.656478,0.906593,-2.38488,0.07144,0.253372
libre,-0.648252,0.740327,-1.459447,-0.661374,1.038651
identité,-1.026378,0.823837,-2.339692,-0.378201,0.636797
Hilbert,-1.260643,0.750946,-1.264666,-0.48859,1.39985
scalaire,-1.90067,0.725151,-3.14186,0.368848,-0.457751
solide,0.35976,1.073518,-1.602781,0.585771,0.052817
densité,-0.992677,0.277218,-2.753064,-0.615776,-0.367642
lemme,-1.354857,0.102264,-1.455367,-0.53511,0.283003
polynomial,-1.964814,0.648542,-2.158695,-0.276882,0.725425
cinq,1.777013,1.324859,-2.088811,-0.628153,1.086614
exponentielle,-1.507679,0.363724,-2.771017,-0.410938,0.013064
élémentaire,-0.92703,0.640689,-2.202933,-0.927132,1.010963
argument,-0.811551,0.185971,-1.98107,-0.965011,0.274019
optimisation,-2.418502,-0.075796,-1.526915,-1.294364,0.924449
