word,1,2,3,4,5,6,7,8,9,10
hypothèse,1.071829,-0.130615,0.869402,0.170236,-0.951712,1.236832,-0.294739,-0.176016,-1.894985,0.347817
image,1.008315,1.660232,1.072845,0.277592,-1.002304,0.214168,-0.505698,-0.263845,-0.330766,-0.636696
régulier,-0.230832,0.693874,-0.187096,-0.242996,0.281784,1.453008,-1.204099,-0.71517,0.595002,-0.902702
complet,0.662164,0.866584,0.586222,-0.466235,-0.183834,0.31527,-0.933323,-0.376736,-0.45155,-0.731864
racine,1.001159,0.499823,1.155481,0.611684,0.246662,0.772769,0.280904,0.800061,-1.181224,-0.415338
coefficient,1.027061,0.257195,0.850258,-0.080047,0.569574,1.68429,-2.201049,0.615934,-0.138573,1.700468
côté,-0.046573,1.240976,-0.30287,0.851347,-0.034714,1.374348,0.442328,-0.508923,-0.219489,-1.781951
preuve,0.559113,0.231636,0.170147,0.129161,-1.384275,1.238482,-0.519002,-1.09574,-1.92266,0.145119
axiome,-0.214031,-0.909785,1.006889,0.253525,-1.417283,0.754163,-0.954462,0.436845,-0.457103,2.283045
$\mathbb{R}$,-0.100728,1.617721,0.004037,-1.762662,0.333134,-0.007369,-0.491923,0.579965,0.800812,0.21386
continue,0.284198,0.54121,-0.492077,0.086809,-0.328359,0.78751,-0.295221,-0.803426,-0.556639,-0.93684
résoudre,0.33621,0.182414,-0.612369,0.187541,-1.154861,1.51565,-0.59085,-1.06888,-1.291308,0.319651
arithmétique,0.521852,-0.76166,1.529829,0.245151,-1.291626,0.563794,-1.470828,1.118641,-0.428209,1.560924
conjecture,0.283318,-0.530876,0.384738,0.348872,-1.388345,0.18288,0.034084,0.55195,-0.940436,1.970814
réseau,0.89714,-0.127467,-0.209264,-0.055034,-0.647604,0.778619,-2.355337,-0.093385,0.890889,-1.761892
opération,0.605247,-0.047282,-1.306471,-0.989847,-0.380712,1.295108,-0.628257,-1.048792,-0.277686,-0.757573
chiffre,0.077057,0.083194,0.91559,-0.905761,0.03271,1.393464,-1.964229,-0.171035,-0.056612,-0.41828
expression,1.609878,0.565408,1.592864,0.16679,-0.866559,0.535789,-0.398009,-0.847043,-1.21846,0.031654
propre,0.899314,0.903153,0.205705,0.220072,-1.255606,1.048586,-0.531714,-1.181682,-0.966107,-1.087432
principal,0.927445,0.79454,-0.378341,0.045084,0.087727,0.517834,-0.254451,-0.577093,-0.362531,-1.774653
paramètre,1.771528,0.385387,0.656912,-0.54897,-0.568539,2.021732,-2.161547,0.822401,-0.182059,0.701201
coordonnée,0.692879,-0.756852,1.045551,-1.04694,0.042076,1.19436,-1.00483,1.307149,0.38074,0.693078
opérateur,0.421897,0.226279,-0.8139,0.230315,-0.838572,0.07028,-1.946485,-0.069482,0.521156,-0.116536
numérique,0.984071,0.93568,0.776319,-0.013532,-1.400101,0.105813,-2.606566,-0.298038,0.400989,-0.536246
unité,0.536476,-0.617701,-0.289143,-1.224247,0.080683,1.22598,-1.354902,-0.226903,-0.341269,-1.182715
liste,0.345852,0.297327,0.518969,-0.924578,0.64409,-0.260111,-0.58363,-0.307182,-0.081623,-2.183033
convexe,0.523061,0.114388,1.355576,1.051468,0.315753,2.732645,0.364516,1.512135,1.099597,0.724435
rationnel,1.319741,-0.328023,1.283779,0.503246,-1.632614,0.637854,-1.258462,-0.3156,-1.422533,1.203854
nœud,0.115289,0.397927,0.151089,-0.759244,0.205161,2.258085,-0.954212,1.405795,0.817258,0.038326
$\mathbb{Q}$,0.136924,1.040019,0.332343,-0.898375,0.166689,0.351714,-0.296507,0.306501,0.71761,1.125132
topologie,0.658011,-0.694639,0.981849,0.509265,-1.522118,1.198179,-0.716956,1.035466,1.178595,1.339721
origine,0.899192,0.290915,0.426875,0.077449,0.081813,0.335265,0.32057,-0.491492,-1.059298,-1.760777
distribution,0.801542,1.737526,-1.13362,1.097944,0.920367,-1.116677,-0.012634,-0.270527,0.301409,-0.270384
intervalle,0.044881,0.633468,0.681183,-0.333425,0.101297,2.06527,-0.937525,0.466455,-0.354012,0.446161
compact,1.228568,1.069665,0.469888,-0.397309,-0.619331,1.160724,-0.604006,1.370347,1.201355,0.014282
reste,0.400397,0.341095,-0.164622,0.015151,-0.047116,1.799407,-0.080748,-0.844227,-0.951085,-1.560718
test,1.598574,0.816283,-0.809987,-1.040929,-0.550439,0.897992,-1.737679,-0.556426,0.144859,0.457066
proposition,-0.283137,-0.067332,-0.020771,-0.203747,-0.875249,0.470663,-1.556672,-1.599069,-1.116986,-0.202176
catégorie,1.076792,1.089589,0.652449,-0.381458,0.546365,0.205872,-1.334269,-1.281278,0.811495,-0.62201
programme,1.538557,0.535489,-0.112562,-0.578301,-0.880932,-0.017643,-1.931272,-1.477966,0.443113,-0.87458
intégral,1.462185,0.324713,0.959359,-1.335036,0.159387,-1.776759,-0.22456,1.123773,-0.629398,-0.326818
complexité,1.764071,0.161984,0.953426,0.878252,-1.321346,1.158716,-1.468917,-0.346719,-0.724677,0.764137
automate,-0.09796,0.139049,0.06605,1.409244,-1.735429,0.355442,-0.908626,1.158306,0.954705,0.027958
moyenne,0.586098,0.353094,0.272469,-0.966675,2.089174,2.175899,-1.991552,0.347542,0.406179,-0.8419
symbole,0.841426,0.098561,1.928128,-0.065309,-0.625764,1.314394,0.669461,-0.590605,-0.379228,-0.494086
axe,0.866058,-0.316534,0.326938,0.062462,0.582406,1.860404,-0.910386,0.752214,0.815646,-0.87363
euclidien,0.226772,-0.387971,1.766039,-0.048807,-0.687961,1.470523,-1.223887,1.380947,0.618318,1.809403
inférieur,0.58671,-0.074711,0.455715,-0.272479,0.936546,2.562752,-1.042061,0.873618,-0.43429,-1.3341
dérivée,0.365914,-0.45669,0.821609,-0.486057,-0.571154,1.499689,-1.256115,0.56642,-0.377272,2.343557
transformation,1.169279,-0.01031,0.067389,-0.279688,-0.758802,0.734836,-1.36044,0.419491,-0.59943,-0.682995
anneau,0.696279,0.962714,0.540261,0.072609,-0.315999,1.631829,0.310602,0.875457,0.520263,0.445691
facteur,1.68094,-0.115851,0.159358,0.286568,0.048602,1.069637,-1.642595,0.389867,-1.692224,0.433912
indice,1.021811,0.136279,0.55447,-0.719558,-0.370577,1.349915,-1.562615,0.244801,-0.480413,0.495044
zéro,-0.103627,0.99995,0.263643,-0.242872,0.972976,1.3677,-1.193684,-0.714349,0.413327,0.618679
sphère,1.408604,-0.438865,0.928876,0.486447,-0.622725,1.435477,-0.243791,0.053852,-0.1769,0.229195
strictement,1.005268,-0.792867,1.271799,0.169786,-1.059335,1.532668,-0.975499,-0.510253,-0.330959,0.241695
puissance,0.630808,0.183011,-0.020213,-1.233687,-0.497064,2.398082,-0.878127,-0.459097,-0.667783,-0.097795
