word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
calcul,0.058479,-0.125469,0.641926,0.915101,0.221628,-0.197119,-0.302024,0.045004,-0.761568,0.355512,0.378605,0.397817,0.539106,-0.399148,0.756244,0.168276,0.619829,-0.549476,-0.265395,-1.028651,-0.037383,0.718121,-0.099052,-0.603901,0.260556,-2.0782,1.198065,0.191417,-1.161146,-0.522006,0.980718,-0.524449,0.242471,-0.855144,-0.571123,-0.402532,0.497971,-0.739069,0.137075,-0.482193,0.82917,-0.703302,-0.714892,0.413319,1.337873,-0.372386
application,0.175479,0.877801,-0.328632,0.669747,0.622137,-0.04918,-0.367264,-0.30364,-0.499165,-0.380926,0.221676,-0.338544,-0.601837,-0.398045,0.555476,0.159453,0.190151,0.172701,-0.335156,-1.142651,0.115889,0.07537,-0.809622,0.070969,1.801062,-1.982723,0.461485,0.169527,-1.43813,-0.879671,0.277337,-0.413089,-0.427967,-0.341981,0.443392,-0.012736,0.611955,0.26302,0.21168,-0.160303,0.619373,-0.053924,-0.773394,-0.355041,0.904179,-0.019977
élément,0.405212,-0.403889,0.652849,0.575701,0.707639,-0.183414,0.501426,0.078797,-0.41009,-0.049554,0.594528,-0.183074,-0.26723,-0.281873,0.234076,-0.246002,-0.141038,0.453504,-1.04152,0.20062,0.656141,-0.823314,0.341568,0.749686,0.927212,-1.025013,1.505625,0.461856,-0.451769,-0.092327,-0.213055,0.113549,-0.445163,0.212166,0.652972,0.184171,0.409094,-0.414556,0.681106,-0.62416,0.794411,-0.110016,-0.649461,1.174043,0.385831,-0.518903
grand,-0.556965,-0.404468,0.717345,-0.119588,0.578395,-0.027807,0.238957,0.638034,0.779869,-0.132052,-0.246425,0.165311,0.361319,0.248919,0.291466,-0.102795,-0.093454,0.430527,0.491407,0.088884,0.825986,-0.430863,-0.04399,0.061911,-0.114406,-0.090335,0.079831,0.437565,-0.110719,0.05911,-0.69996,0.154156,-1.227454,-0.391472,0.712355,-0.663452,0.125969,-0.08697,-0.531018,-0.364095,0.789847,0.25921,-0.061762,0.889342,-0.073652,-0.462581
propriété,-0.268436,-0.258211,0.447606,-0.441936,0.70584,0.130864,0.165828,0.223049,0.353254,-0.438431,-0.025527,-0.438917,-0.221852,0.403533,0.817028,-0.929024,1.029254,-0.116645,0.696605,-0.018562,0.972489,-1.087561,0.684257,-0.204388,0.960955,-1.326681,1.198043,-0.151814,-0.385405,-0.678744,-0.021566,0.092706,-0.346465,-0.264584,0.470105,0.960832,0.726674,-0.296702,-0.137426,-0.518006,0.751684,0.557808,-0.441446,0.074263,0.645821,-0.172906
ordre,0.378605,-0.216487,-0.102483,-0.080207,0.810955,0.154416,0.026779,1.127015,0.176189,0.720537,-0.68675,-0.398742,-0.030692,0.058664,0.213755,0.63089,-0.665618,0.142891,0.13831,-0.279024,0.744569,-0.357707,-0.041374,-1.005541,-0.099967,-0.216784,0.11267,-0.325717,0.191176,-0.286746,-0.840673,-0.1744,-1.018739,-0.503031,0.071983,0.708286,0.90265,-0.54004,0.778851,-0.404701,0.916589,0.553125,-0.315987,0.987564,0.264127,0.080137
variable,0.151054,-0.604378,0.317579,-0.170004,0.498048,0.296239,0.222347,0.528118,-0.335768,0.253313,1.267576,0.479391,-0.026876,0.25317,0.647472,-0.437681,0.710117,-0.306487,-0.51122,-1.603888,-0.506481,0.220866,-0.031058,-0.591411,0.13503,-1.815875,0.347612,0.64242,-1.04891,-0.115021,0.749392,0.079616,0.174617,-0.124342,0.766449,0.0911,0.221677,0.035605,1.13226,-0.391629,0.922727,-0.331505,-0.387562,1.260082,0.615263,-0.659909
base,0.404132,0.100578,-0.423042,0.633302,0.746457,0.145243,0.221807,0.152781,-0.179366,-0.058973,0.458896,-0.411739,-0.437216,0.045974,0.697042,-0.168583,-0.56659,0.607344,-0.359582,-0.25204,0.314294,-0.308718,-0.491447,0.216899,0.542394,-1.116283,1.028493,0.275074,-0.422674,0.236381,0.619147,-0.29362,-0.654069,-0.368979,0.886731,-0.005309,0.186673,-0.027596,0.415727,-0.695735,0.64719,-0.084468,-0.138926,0.764715,0.235333,-0.026161
géométrie,-0.302455,-0.098806,0.559455,0.19666,0.773358,-0.428886,-0.223607,0.593801,-0.891771,-0.044896,0.54524,0.257093,0.318545,-0.961754,1.194562,-0.254515,0.458636,-0.296218,-0.872919,-0.272958,-0.195392,-0.707004,-0.373965,0.180962,-0.158658,-0.905567,1.220861,0.658069,-0.227425,-0.313036,0.30217,-0.152632,0.818076,-0.0696,-1.237078,-0.102889,0.813226,0.466249,0.573719,-0.163771,0.929663,-0.281696,-1.407849,0.06918,0.704887,-0.90945
analyse,0.426337,0.332036,0.564512,0.898377,1.045692,-0.116481,-0.207331,0.269872,-0.867894,-0.271187,0.445468,0.714497,0.115858,-0.737412,0.33353,0.319545,-0.019251,0.065293,-0.356239,-0.354509,0.694181,-0.008481,0.050133,0.493606,1.262197,-0.912718,0.747658,0.134685,0.069494,-0.478097,0.133145,0.342159,-0.189925,-0.048278,0.139069,-0.459912,-0.053538,-0.207588,0.697775,-0.546213,0.225479,-0.653675,-0.309622,0.150197,1.960959,-0.589567
