word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
démontrer,-0.850653,0.020627,0.63181,0.765451,-1.50449,1.675871,0.257486,0.316616,0.637106,0.926618,-2.851407,-0.071085,-0.155179,0.829649,1.001726,0.786651,0.895835,0.245731,0.154903,-0.157062,0.45424
algèbre,-0.289839,-0.439519,0.49996,0.310463,-0.488445,0.630615,1.86518,-1.170592,-0.131677,-0.864686,-1.716268,-1.190345,1.208661,0.315738,1.449463,-1.542371,1.280953,1.067572,-0.04173,-0.811861,1.363069
règle,-0.41419,0.467643,1.778626,1.196741,-0.995745,1.116418,-0.099247,0.966649,0.915219,1.072436,-0.354912,-0.799467,1.570519,0.50216,0.421403,0.233003,-0.191619,1.676399,-0.786219,-0.552535,0.493968
volume,-0.080562,0.570808,1.187844,1.484736,-1.134393,2.186231,-0.473864,-0.085147,0.340601,-0.926157,0.972826,0.080067,-1.13809,-0.041571,0.422107,-0.845625,0.799702,-0.86744,-0.083782,-0.945314,1.677431
calculer,-0.471653,-0.241255,1.511512,0.565639,-1.714351,1.685411,-0.014936,-0.49147,0.370552,1.428997,-0.686478,-0.4744,0.888534,0.541071,0.596445,0.327823,-0.476711,-0.119243,-1.254973,1.152941,1.19622
constant,-0.500804,-0.665645,2.046972,0.767595,-1.436699,0.684461,1.163606,-0.114805,-0.176974,0.804097,0.275612,-0.533863,0.079127,1.003283,1.535941,0.065807,0.597901,-0.890106,-0.253793,0.630324,0.220741
quatre,1.014539,0.569118,1.408783,1.603644,-0.967589,1.131939,-0.927542,-0.138443,0.710751,0.184825,-0.748894,0.131249,0.789455,-0.499632,1.612499,-1.247131,-0.014473,0.150554,1.023843,0.134338,1.297133
différentiel,-0.802402,0.111772,0.836191,0.292331,-1.031762,0.649784,0.735049,-0.837049,-0.830809,1.001823,-0.147418,-1.578276,0.568857,0.99387,0.880705,-0.98875,2.399308,0.311422,-0.18194,-0.161108,1.55238
hypothèse,-1.367851,0.692347,1.27812,0.66566,-1.841354,0.559432,0.517797,1.103253,0.53268,1.255212,-0.934789,-0.333544,0.109627,0.185464,1.082938,1.461241,1.098899,0.286657,-0.640779,-0.161719,-0.463691
image,-0.44986,0.407318,1.486916,1.062777,-0.795112,1.268378,1.01673,-0.213408,0.155432,-1.003379,0.250015,-1.569055,0.288131,-1.134692,0.232372,1.196827,0.165755,0.025351,-0.587113,-0.10532,1.761578
régulier,1.818665,0.529034,1.928138,1.331524,-0.000745,1.713336,1.669253,1.36497,-0.270875,0.254446,-0.733442,1.020444,-0.026526,-0.508841,1.50327,-0.293016,0.862089,0.28547,-0.258984,-0.310796,1.30567
complet,0.09329,0.587264,1.628948,0.2815,-0.716226,1.174079,0.85926,1.301832,-0.540705,-0.23642,-1.736179,-0.633315,-0.482626,-0.170369,0.556622,-0.386484,0.978347,0.469722,-0.854001,-0.60862,1.328764
racine,-0.381451,-0.321565,2.74699,0.816113,-0.766354,0.671998,0.465049,-0.967037,0.015946,1.146,-1.059793,-0.873765,0.679243,0.811513,1.016471,-1.433792,-0.863302,-0.087959,0.265607,1.120412,0.355707
coefficient,-0.98606,-0.033775,1.822803,1.129616,-1.934937,0.767217,1.516587,-1.32107,-0.305452,1.420436,0.517245,-0.494281,1.372803,0.70804,1.176915,-0.350169,0.030276,-0.602086,0.417552,0.640841,-0.210758
côté,1.364661,0.035411,2.418657,1.93498,0.253613,1.951346,-0.097959,0.488279,1.39885,0.488942,-0.571071,0.518378,0.933356,-0.261498,0.956295,0.562008,-0.005227,-0.178671,0.789426,0.788666,0.827791
preuve,-1.160784,0.516303,0.953114,0.724559,-1.811663,0.9515,0.289363,0.551557,1.074664,0.668464,-2.205714,-0.28802,-0.013781,0.018108,0.263519,0.501628,0.477805,0.993465,-0.383577,-0.794844,0.777303
