word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
calcul,-0.309795,0.939084,-1.303404,-0.660455,-0.430099,-0.12197,-0.562247,-0.051852,-0.443284,0.044991,-0.444452,-0.283584,-1.711144,0.320683,0.796147,0.616362,0.722039,-0.568062,0.258012,0.612484,1.511248,-0.37876,0.187822,0.729645,-0.135505,0.210803,-1.457568,-0.087981,1.104966,-0.14394,-0.488171,-0.974049,-0.798569,-0.990414,-0.764864,-0.215464,-0.919065,0.402007,-0.250305,0.442545,0.749308,-0.346248,-0.063786
application,-0.304909,0.104623,-1.285689,-0.934342,-0.06979,-0.686852,-0.725148,0.424041,-0.22511,-0.20577,0.108356,0.4889,-0.881279,-0.076628,0.561031,-0.300136,-0.32926,0.342868,0.185795,0.438616,0.979093,0.424017,-0.313948,0.860396,0.846021,1.418106,-1.623818,-1.004456,0.553086,-0.891043,-0.990802,-0.438051,-0.689515,-0.668749,-0.944826,0.017769,0.028173,-0.115354,-0.358152,0.107708,0.822732,0.353346,-0.675111
élément,-0.085254,0.054,-1.737872,-1.01016,0.00708,-0.191892,-0.869018,0.651663,-0.239753,-0.764845,-0.682603,-0.234406,-0.861051,0.023572,0.303647,0.635143,-0.875297,0.243975,0.216233,-0.093186,0.617516,-0.306488,-0.208852,1.392273,-0.028829,0.495016,-0.016792,-0.058544,0.03812,0.670071,-0.600676,0.04946,0.563992,-0.768762,-0.206144,0.172442,0.325228,-0.761125,-0.472164,0.080195,0.005974,-0.591414,0.607476
grand,-0.000477,0.096199,-0.887652,-0.281984,-0.593952,0.414067,0.066468,0.859512,-0.944431,0.246657,-0.662053,-0.085727,0.142309,0.433704,0.229955,0.394818,-0.734013,0.013322,-0.108532,0.183519,0.147178,-0.150023,-0.160476,0.619741,-0.195961,-0.362941,0.575145,0.171856,-1.302644,-0.271102,-0.226894,-0.091235,0.081517,0.894991,0.040316,0.494099,-0.054969,0.033626,0.272337,-0.234037,0.57546,-0.270809,0.57742
propriété,-0.108636,0.525888,-0.965279,-0.193005,-0.674282,-1.155057,-0.679832,0.793888,-0.369446,-0.015662,-0.647183,0.31627,-0.124427,-0.769855,0.269646,0.639734,-0.192974,0.150085,0.37039,0.162946,0.114624,-0.171257,0.232447,1.132473,0.312867,0.505273,-0.119122,0.700652,0.050027,-1.27289,-0.42098,-0.622429,0.491932,0.265286,-0.672677,-0.336495,0.485142,-0.962788,-0.35308,0.559726,0.883834,-0.758813,-0.000465
ordre,-0.557343,0.326476,-0.23899,-0.94571,-0.553205,-0.03888,-0.206524,1.524301,0.112264,0.348832,-0.607133,0.957374,0.316737,0.279757,0.226963,0.704925,-0.971291,-0.561318,0.353777,0.2783,0.520903,0.155121,1.034338,0.860748,0.169613,-0.270843,-0.241729,-0.141774,-0.642594,-0.412501,-0.251016,-0.463561,-0.0826,0.108264,0.971199,0.590433,0.597314,0.24728,0.29302,-0.326751,-0.247301,-0.670232,-0.353162
variable,0.483996,0.783731,-1.661242,-0.28424,-0.917129,-0.115551,-0.52525,0.626836,-0.214726,-0.964808,-0.193271,0.497282,-1.147068,0.142576,0.704849,0.197737,0.668992,-0.40898,-0.38211,0.212661,0.6116,-0.834271,0.744982,0.842198,-0.246329,-0.229805,-0.719014,-0.585567,0.332287,0.269326,-1.013927,-1.178269,0.543182,-0.914278,-0.698279,-0.350054,-0.498795,0.37861,-0.079594,-0.226596,0.688994,0.227821,-0.137736
base,-0.051945,-0.088667,-1.567745,-0.905129,0.312675,-0.030367,-0.128655,0.909638,0.298161,-0.421021,-0.994793,-0.014384,-0.187101,-0.020583,0.525911,0.051021,-0.590779,0.324018,0.269032,0.040506,0.940499,0.363272,-0.377553,1.013898,0.323811,0.326986,-0.021346,-0.577982,-0.050399,0.14698,-0.520774,-0.699258,0.3266,-0.566574,-0.321742,-0.036169,-0.037448,-0.385447,-0.259307,-0.455631,0.192933,0.271399,-0.010509
géométrie,0.468268,0.743413,-0.930529,-0.566829,0.417014,0.479695,-0.509856,0.304593,-0.012284,-0.860792,-0.289382,-0.026684,-0.935371,0.138967,0.466998,0.489604,0.618146,0.17741,0.987217,1.061042,0.586019,-0.278839,0.5185,0.583512,-0.416008,0.341312,-1.335272,0.039782,0.785489,0.647845,-0.166575,-0.070481,-0.316666,-1.122521,-0.402061,-0.891261,-0.101752,0.308238,-0.836012,0.442565,0.446077,-1.420381,1.086537
analyse,0.139461,0.550924,-1.320644,-0.452485,-0.176813,-0.983128,-0.638596,-0.085457,-0.393538,-0.198376,-0.099843,-0.634196,-0.811444,0.574731,0.937547,0.411201,-0.97979,0.270656,0.081996,0.111146,0.447557,-0.205902,-0.030023,0.45779,-0.471083,0.957781,-0.838169,-0.675298,0.452634,0.429963,0.365624,-0.496004,-0.424261,-0.976013,-0.85869,0.869201,0.555055,0.436422,-0.717505,0.609126,-0.074764,-0.461309,0.111945
