word,1,2,3,4,5,6
arithmétique,-0.079114,-1.349337,1.892471,0.653126,1.170945,-1.376574
conjecture,-1.164199,-1.460171,1.277872,1.001745,-0.041411,-0.854648
réseau,1.794255,1.094517,1.707798,-0.948712,0.991366,-0.12325
opération,1.383341,0.611946,1.417376,-0.91309,-1.033422,0.119234
chiffre,1.56606,0.817027,1.352055,-0.290486,0.374026,-0.69345
expression,1.199953,-1.222021,2.066771,0.639395,0.316484,0.492101
propre,2.073135,-0.674699,1.642851,0.287846,-0.46476,0.91572
principal,1.929016,0.546141,0.590159,0.017695,-0.123542,1.111403
paramètre,1.093407,0.234202,2.843878,0.594215,0.590014,-1.650799
coordonnée,0.478508,0.450038,1.23704,0.768301,1.053762,-1.991683
opérateur,0.25717,0.103987,1.649344,-0.00231,0.110323,0.054439
numérique,0.845047,0.213254,2.477019,0.228814,1.286923,0.373377
unité,1.765951,0.887133,1.181533,-1.094962,0.236605,-0.203711
liste,1.735621,1.104583,-0.009217,-0.79982,1.1224,1.298342
convexe,0.605153,-0.180798,1.260735,1.699729,0.415399,-2.620377
rationnel,0.376161,-1.849145,2.482978,0.728373,0.586954,-0.721834
nœud,1.303237,1.215579,0.801584,0.965683,-0.080418,-1.730829
$\mathbb{Q}$,-0.438271,0.930037,0.93664,1.139633,-0.208233,-0.473462
topologie,-0.055773,-0.902107,1.711894,1.38594,0.984341,-1.846669
origine,2.007444,-0.390891,0.273143,-0.163667,0.239578,0.980455
distribution,-0.271827,0.461662,0.054135,1.144767,-0.762011,1.752748
intervalle,1.180205,0.329099,1.353391,0.820456,-0.237895,-1.333627
compact,0.57779,0.907803,1.606795,1.755601,0.85055,-1.044586
reste,2.681616,-0.085226,0.522688,-0.269302,-0.673067,0.451616
test,0.379732,0.822177,2.583855,0.174136,-0.53984,0.007302
proposition,0.960618,-0.991781,1.682294,-1.066864,-0.418428,0.667388
catégorie,1.019427,1.18307,1.33238,-0.12473,0.098269,0.8177
programme,0.828402,0.659459,2.590381,-0.927861,0.356127,1.176255
intégral,-0.552764,0.233744,0.760509,0.359956,2.153423,0.86891
complexité,0.477248,-1.220185,2.825981,0.69897,0.26085,-0.811657
automate,-0.028837,-0.505913,1.201296,0.663979,0.573052,-1.40379
moyenne,2.077463,2.355653,0.94914,-0.183389,0.276722,-0.884436
symbole,1.598072,-0.961219,0.761625,0.452748,0.415683,-0.454567
axe,1.720266,1.034673,0.565025,-0.045055,0.384189,-1.371785
euclidien,0.422429,-0.527384,1.620644,1.442582,1.312329,-2.261096
inférieur,2.688096,0.900841,0.585272,0.18028,0.345035,-1.29547
dérivée,0.124455,-0.675708,2.113025,0.837827,0.240161,-1.981602
transformation,1.238833,-0.140887,1.687681,0.004991,0.915061,-0.131445
anneau,0.99873,0.349814,0.832084,1.806612,-0.153731,-0.985727
facteur,1.155061,-0.781398,2.058976,0.139729,0.225305,-0.535244
indice,0.917998,0.205213,2.04134,0.219804,0.327408,-0.8095
zéro,0.752704,1.019852,1.08612,0.431408,-0.771094,-0.482991
sphère,1.051381,-0.722769,1.305097,0.629572,0.332165,-1.156301
strictement,1.158194,-0.745011,1.984817,0.087196,0.368828,-1.313793
puissance,1.905684,0.451608,1.427094,-0.237499,-0.638673,-0.917191
Euler,-0.535761,-1.716844,0.757266,0.714673,1.129962,-1.478416
topologique,0.020426,-0.665297,1.861605,1.473784,1.160534,-2.11888
déduire,0.713833,-0.85499,1.9361,0.880863,-0.09478,-1.175564
composer,1.851447,0.532864,0.378129,0.64742,0.350421,0.624739
deuxième,1.858117,1.111719,-0.175207,-0.330697,-0.909196,1.341251
rayon,1.473446,0.654122,1.477792,1.47969,0.275683,-1.140246
caractéristique,2.123975,0.653944,1.450866,0.875033,0.782739,-0.539757
vide,1.903813,0.361535,0.935233,1.268623,-0.344731,-0.984582
affine,-0.318386,-0.745208,1.617183,1.559974,1.303846,-1.935479
supposer,1.683345,-1.285806,1.342393,0.449714,-0.532171,-0.452414
ouvert,1.969006,0.219866,0.877999,0.102419,0.683757,-0.023744
partiel,0.797709,0.084175,0.976111,-0.133472,0.267908,0.508538
approximation,-0.238468,-0.706523,2.486507,0.969188,0.215702,-1.351705
convergence,0.028129,-0.347482,1.90595,-0.349368,0.376748,-0.927955
chemin,2.364939,0.468357,-0.492968,-0.267136,0.573915,0.25545
rotation,1.152934,0.827509,1.901374,0.902284,-0.444981,-1.713121
différence,1.82799,-0.336563,2.020806,0.485902,-0.006621,-0.20254
analytique,0.106056,-1.773671,2.107984,0.483341,1.794718,-0.013125
formel,0.636842,-1.582392,2.451564,-0.279073,0.311478,-0.255135
intersection,0.71676,0.850374,0.429124,0.745737,0.798573,-1.4272
pourcent,1.740224,1.737719,0.899122,-1.258061,0.311679,-0.370535
caractère,1.918667,-1.331028,1.967648,0.535716,0.353145,-0.100567
raison,2.344235,-0.485782,1.450293,-0.455526,-0.975624,0.538639
aire,1.845961,1.062605,-0.398026,-0.791005,1.304512,-0.412018
section,1.607206,0.910441,0.544001,-0.680504,1.213948,0.396539
