word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
algorithme,-0.40508,-0.313336,0.50429,-0.188632,-0.063188,-1.228577,-0.1522,1.047087,-0.021632,1.211301,0.039209,-0.002861,-0.213179,-0.11887,-0.34592,-2.351415,-0.19682,0.171749,-0.492576,0.108976,-1.173665,-0.104228,-0.113247,0.208659,0.8636,-0.58118,0.076367,0.058065,1.247893,-1.231657,0.09117,-0.131801,1.154746,-0.234161,-0.336565,-0.060571,-0.46685,-0.362721,-0.141037,0.705919,-1.517026,0.297804,-0.571538,-0.256189,0.464707,-0.938937,0.666316,-0.194747
calcul,0.361601,-0.505404,0.268168,0.676357,-0.346131,-1.047426,0.337276,0.434572,0.058445,1.639228,0.097534,-0.191291,0.265734,-0.296657,-0.688448,-1.976089,-0.138951,-0.030472,-0.278179,0.646473,0.417741,-0.003277,0.027839,0.246147,0.244412,-0.645806,-0.140591,0.092757,0.565771,-1.09848,0.697767,-0.540436,0.331886,-0.161074,-0.356088,0.102391,-1.154706,-0.29204,0.247271,0.078667,-2.062511,-0.806649,-0.390636,-0.616422,0.408157,-0.431981,0.720479,-0.176661
application,-0.32985,0.134662,-0.002748,0.471359,0.514145,0.117621,0.032779,0.127608,0.464164,0.547829,0.356541,-0.433304,0.131157,-1.477947,-0.162642,-1.641339,0.319091,0.086412,-0.611097,0.419667,0.211858,-0.972636,-0.239917,0.091084,0.147325,-0.459922,-0.531664,-0.200323,0.981311,-1.213766,0.637228,-0.786904,-0.390262,-0.9861,-0.069166,0.013249,-0.704417,-0.020682,-0.263771,0.865349,-1.899429,-0.665595,-0.699125,0.299815,0.110341,0.641931,0.584889,0.506611
élément,0.792794,-0.203778,-0.52768,0.094237,-0.239938,-0.122719,-0.40952,-0.578364,-0.523205,0.291128,-0.048922,0.539162,0.608748,-0.835396,-0.287772,-0.434274,0.226459,0.989709,-0.788477,0.374747,0.110376,-0.09707,0.041303,0.043912,0.691149,-0.142759,0.375387,0.463962,0.045322,-0.831924,0.172919,-1.18189,0.404266,-0.343502,-0.277649,0.439132,-0.607494,0.595716,-0.278405,0.272349,-1.70663,0.823017,0.320828,-0.759876,-0.86866,0.621681,0.417235,0.328115
grand,0.272561,-0.37764,-0.068566,-0.301224,-0.067349,-0.089483,0.040293,-1.05725,-0.060435,-0.160798,0.186754,0.832408,0.472528,-0.209934,-0.187302,0.687933,0.429415,-0.331747,-0.631415,-0.092073,-0.006152,0.139963,0.145898,-0.12085,-0.764138,-0.395431,-0.231787,-0.557787,-0.871554,0.196886,-0.069856,-0.385347,-0.442042,0.100566,-0.097346,1.0631,-0.732842,0.003882,0.075816,-0.383353,-1.059159,0.375171,0.626974,0.234258,-0.341748,0.220237,0.405029,-0.540904
propriété,0.700256,-0.470551,-0.262949,0.948123,-0.321826,-0.229849,-0.128053,-1.407426,0.228568,0.49519,0.64319,-0.065108,-0.063814,0.389412,0.131492,-0.683796,0.509905,-0.239267,-0.639247,0.120772,0.090461,-0.111838,0.262896,-0.471847,-0.75928,-0.516506,0.351876,-0.664938,0.04456,-0.939097,0.29095,-1.005155,-0.054791,-0.050527,-0.504988,0.574664,-0.696179,0.576419,0.119467,0.71013,-0.460556,0.550401,-0.252665,0.166993,-0.642246,1.290592,0.892447,0.463053
ordre,-0.055266,-0.15875,-0.01982,0.033369,0.938193,0.238694,0.096446,-1.553497,0.197477,0.012403,-0.568514,0.125021,0.928611,-0.275342,-0.39042,-0.281535,1.020525,-0.798657,0.543133,-0.124382,0.137401,0.590813,0.447598,0.100324,-0.225909,0.097351,-0.069222,0.311867,-0.958876,-0.646938,0.541223,-0.952813,-0.537479,0.474941,-0.111912,0.588287,-0.80806,0.430901,-0.489852,-0.166001,-0.64546,-0.099292,-0.267292,-0.066227,-0.492205,-0.072912,0.104557,0.041329
variable,0.081663,-0.622039,-0.076575,1.092566,0.235785,-0.749466,0.088914,0.508281,-0.095216,0.705284,-0.467757,-0.641683,0.466254,-0.323234,-0.404421,-0.992166,0.625804,0.322969,-1.58947,0.632781,0.272295,0.52795,-0.2404,0.075719,0.397372,-0.286899,0.171606,-0.622462,-0.189001,-1.406213,-0.158373,-1.505693,0.044652,0.246653,-0.406839,-0.953265,-0.879859,-0.24579,0.424739,-0.009831,-1.52559,-0.25851,0.558623,-0.212646,0.180983,-0.219378,0.440621,0.456797
base,0.227695,-0.028532,-0.341358,0.360757,0.589143,0.070479,-0.610996,0.091606,-0.168115,0.260468,0.095068,0.019111,0.480368,-1.014461,-0.605402,-0.803147,0.65344,0.441901,-0.558616,0.239697,0.407725,-0.596941,0.442651,-0.143851,0.47657,-0.073594,-0.386744,-0.127257,-0.385239,-0.647716,0.305411,-0.458294,0.065992,0.159522,0.252548,0.502062,-0.221802,0.059173,-0.27816,0.599585,-1.706538,0.063986,0.694006,0.018595,-0.466287,0.539529,0.242419,0.138471
géométrie,1.124874,-0.056803,0.343575,0.712262,-0.636678,-1.069753,-0.179443,0.169693,0.238357,0.874019,0.627286,-0.275768,0.679844,-1.146469,-0.757291,-0.781368,0.642053,0.491666,-0.042473,0.425489,-0.069341,0.714622,-0.455866,0.672259,0.168804,-0.069514,-0.109959,-0.650521,1.102886,-0.827594,-0.427412,-0.431217,0.338985,-0.474028,0.402609,-0.677752,-0.687854,0.385566,0.042553,0.796307,-0.902683,0.089424,-0.619675,-1.924894,-0.472833,-0.948581,1.040014,-0.128214
analyse,0.36112,-0.07348,0.639577,0.50416,0.402605,-0.400185,0.452919,-0.202564,0.194894,0.244242,0.090495,0.54742,0.19268,-1.115107,0.202815,-1.167379,-0.643106,1.14011,-0.484906,1.053172,0.16747,0.000657,-0.308058,0.532852,0.556829,-0.022089,-0.072059,0.802507,-0.066722,-0.69102,-0.343981,-0.619914,0.097915,-0.942343,-0.013041,1.007968,-0.741987,-0.209159,-0.276986,-0.180328,-1.103972,-0.425747,-0.476715,-1.135167,-0.189623,0.190571,0.521355,0.586559
loi,-0.772111,-0.055613,-0.471383,0.652675,1.18113,1.338443,0.542606,-0.176487,0.419659,0.667842,0.300277,-0.266179,0.25099,-0.245326,0.341396,-0.044084,0.182917,0.084848,0.011522,0.132481,0.583349,-0.917075,0.869894,0.028476,-0.603973,0.56534,0.483863,0.347523,-0.480769,-1.969472,0.745876,-1.18847,-0.595802,-0.409417,0.447129,0.641332,-0.802078,0.484786,0.713226,0.266531,-0.348219,-0.392139,-1.362815,-0.86729,0.294755,0.40433,0.431571,-0.1728
définition,0.091974,-0.162433,0.107113,1.020704,0.352352,-0.219155,-0.043406,-0.327359,0.133163,0.891556,-0.273472,0.453319,0.073138,-0.990037,0.079563,-1.296727,0.371535,0.728093,-0.806727,0.9657,0.355505,-0.544626,0.131116,0.371217,0.123245,0.469994,-0.153012,-0.082969,0.129624,-1.659976,0.250977,-0.455384,-0.294604,-0.45303,-0.114465,-0.232827,-0.674135,-0.167172,0.506269,-0.29599,-1.113133,0.180671,-0.475524,-0.893044,-0.05966,0.320511,0.444677,0.047813
réel,0.483666,-0.266682,-0.102978,-0.07888,-0.112486,-0.193603,0.230344,0.009147,-0.1023,0.418256,-0.290603,0.266953,-0.067138,-0.324633,-0.196912,-0.781056,-0.258659,0.164758,-0.899803,0.456499,0.122426,-0.198376,-0.26192,0.670306,-0.502859,0.109093,-1.7e-05,0.56946,0.066523,-1.309899,0.230973,-0.673375,-0.317941,-0.792607,-0.886579,0.400846,-0.925369,0.161683,0.214303,-0.775497,-1.666007,0.928956,-0.592873,-0.306736,0.16423,0.019365,0.426982,-0.058098
dimension,1.123425,-0.767165,-0.576161,0.382829,-0.316134,-0.113173,-0.14717,0.334653,0.066653,0.450342,-0.124174,0.307706,0.674034,-0.262262,-0.33963,-0.107713,0.489481,1.12114,-0.825507,0.603113,0.340712,-0.044404,0.001732,0.834596,0.000424,-0.279269,-0.260414,0.384413,0.319077,-0.665038,-0.119823,-0.657679,-0.50592,-0.732034,0.30941,-0.071105,-0.870532,0.393865,0.130369,-0.423414,-1.469956,1.100053,-0.326956,-0.221691,-0.270694,-0.222321,0.317162,-0.110357
