word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
équation,-0.150867,0.294062,-2.034504,-0.446019,1.233276,-0.520961,-0.625004,-0.374122,-0.187424,-1.705129,0.575809,0.46369,0.16215,-1.195805,0.301763,0.972093,1.235516,-0.420066,-1.225002,-1.332718,0.9696,0.20554,-0.115579,0.381074,-0.229238,-0.973032,1.351704,-0.43692,0.838268,-0.431266,1.811593,0.0882,1.346981,0.985135,-0.850487,-0.343229,-0.689653,-0.88097,1.184335,-0.256338,-1.060993,-0.656247,1.376414,-0.239515,1.507903,-0.166914
suite,1.315388,1.131749,-0.3254,-0.443701,-0.344919,-1.065706,-0.124184,-0.740199,0.035444,-1.210711,-0.206841,-0.242167,-0.061252,-0.935575,1.572465,-0.872919,0.82106,0.136345,-0.666511,0.398645,1.33822,0.897399,-0.837201,-0.700468,-0.168096,0.364402,0.187484,1.076056,-0.33415,-1.22602,0.997448,-0.434027,0.401694,-0.30815,-0.236012,-1.019175,-0.497906,-0.939854,-0.390957,-1.874017,-1.306235,-1.201415,-0.188707,-0.237822,0.913899,0.134396
algorithme,0.550482,1.140713,-2.136257,-0.284548,0.247614,-0.133982,0.168534,-0.961673,1.047156,-0.446173,-0.256313,0.038847,-0.618355,-1.06135,0.013778,-1.165919,0.288632,0.514814,-1.730802,0.239983,1.07244,0.829189,0.902873,-0.80245,0.299654,-0.272526,1.624423,0.655092,-0.080111,-1.367507,-0.216392,0.374924,2.124811,0.213101,1.066188,-0.844388,-0.551343,0.518446,0.052336,-1.102511,-0.668197,-0.428345,-0.246071,0.885836,-0.361397,-0.0817
calcul,-0.235558,1.603202,-1.881935,-0.087626,0.91984,-1.174023,-0.634062,-0.718264,-0.066262,-0.873912,-0.33209,-0.074407,0.208588,0.192674,0.766216,-0.360317,0.668634,0.291179,-1.145784,-0.33908,0.304557,1.506633,0.193829,0.353843,0.0853,-0.598524,0.740292,0.866084,-0.012888,-1.353772,0.671448,-0.113893,1.246349,0.526978,0.541928,-0.757759,-1.724956,-0.376793,0.594216,0.023838,-0.870891,0.73447,0.038282,0.696051,0.798033,-0.125042
application,0.814536,1.710473,-1.072449,0.317608,0.199861,-0.830357,-0.079913,-1.596954,0.354331,-0.417851,-0.367838,-0.609325,0.099101,-0.740709,0.3367,0.539659,0.284603,-0.04881,-0.456379,0.179772,0.086257,0.530798,-0.434287,0.026215,-0.100209,-0.505,0.198568,-0.500451,1.047444,-1.501006,1.115268,0.392744,0.689407,1.05193,-0.59949,-0.450601,-0.221218,-1.232887,0.027878,0.278116,-0.879764,-1.326019,0.525099,1.195429,0.068973,0.889886
élément,-0.099541,0.259205,-0.713505,0.056133,-0.089509,-0.723785,-0.126392,-0.366774,0.859332,-0.608812,0.126238,0.529443,0.399233,-1.294655,0.257803,-0.10487,0.759938,-0.301892,-1.087682,0.830297,0.807934,0.773918,-0.806375,-0.479455,0.342666,0.842532,0.226379,0.475808,-0.348539,-1.883804,0.619849,0.813742,-0.063154,-0.437443,-0.754878,-0.15934,-1.294455,-0.468612,1.498295,-0.86009,-1.440994,-1.265202,-0.164646,0.299068,0.07522,0.824385
grand,-0.31781,0.58263,-1.970439,-0.08585,0.054854,0.640939,-0.332778,0.105409,0.532191,-1.257073,0.11526,-0.172824,0.203701,-0.084074,0.843301,-0.945481,0.516905,0.492441,-1.1954,0.709224,-0.015913,0.847785,-1.273607,-0.043142,0.428331,0.696792,0.304814,-0.362121,-0.617201,-1.945579,0.126676,-0.973889,-0.548957,0.90795,0.364052,-0.572381,-1.192158,0.148772,0.160068,-1.130006,-0.180677,0.069306,0.5349,0.093255,0.286828,1.336685
propriété,0.919011,0.84131,-0.945975,-0.435829,-0.613763,-0.334874,-0.476504,-0.340638,0.126323,-0.665732,-0.326958,0.929276,-0.222797,-1.180566,0.338607,-0.619536,-0.354605,0.026159,-0.992944,-0.076269,0.317428,0.539518,-1.247084,0.252549,0.661062,-0.681689,0.10531,-0.036563,-0.221326,-1.60092,1.030322,0.826573,0.393504,1.359018,-0.331331,-0.157659,-0.986789,-0.988297,0.372693,-0.680316,-1.620922,-1.083947,0.469652,-0.271803,0.47196,0.08104
ordre,0.202764,0.355194,-1.637488,-0.746846,-0.437429,-0.539008,-0.512335,0.31899,-0.113377,-1.25872,0.043741,0.049367,0.227788,-1.490517,0.002574,0.209962,1.062911,-0.141495,-0.804345,1.163661,1.144212,0.385825,0.195838,0.748177,0.56399,0.778837,-0.996287,-0.115416,-0.325606,-2.648691,0.975127,0.207471,-0.71217,1.247946,0.168056,-0.809099,-0.998499,0.022513,0.616769,-1.089119,-0.660098,-1.273331,0.432499,0.359314,0.756218,-0.456416
variable,-0.299771,2.21092,-0.220609,0.46028,-0.757159,-0.150135,-0.371015,-0.842264,-0.90468,-1.614826,1.025795,0.527564,0.827021,-1.23318,0.710684,0.351001,0.09408,-0.742957,-2.089982,-0.652352,0.49052,0.986174,0.103126,0.165623,0.18737,0.028496,-0.213324,0.856424,0.538814,-0.984227,1.000541,0.275998,1.145892,-0.238505,-1.16021,0.041159,-1.34779,-0.479218,-0.134688,-0.725889,-0.146858,-1.337668,0.793477,0.706346,-0.010759,-0.228066
base,0.139612,1.20766,-1.755744,0.059792,-0.174617,-0.39935,-1.229113,-0.432584,0.182628,-0.783101,-0.02635,0.024493,-0.687959,-1.628367,0.966746,-0.244339,-0.161361,0.335556,-0.144926,0.052428,0.462351,1.419089,-0.799489,0.203853,-0.728627,-0.435711,-0.19653,-0.825918,-0.669765,-1.198033,0.600628,0.181522,0.223404,-0.389668,-1.026351,-0.57937,-1.034294,0.164832,0.37599,-0.633837,-1.806949,-0.283746,-0.175322,1.482622,-0.387327,1.046402
