word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
trois,2.165011,-0.849972,0.346527,-0.560816,0.389023,-0.027336,-0.486721,0.373135,-0.328526,-0.035303,0.064944,-0.300605,0.23423,0.34009,0.411912,-0.331383,-0.434808,-0.367604,0.342386,-0.226383,0.885032,0.587672,0.199754,0.175546,0.442654,-0.346548,-0.299807,0.030821,-0.158897,-0.60614,-0.082635,-0.213289,-0.188623
plan,1.930967,-0.093644,0.051366,-0.084796,0.796749,0.145378,0.444253,0.513465,-0.411104,-0.313141,-0.802594,0.040262,-0.250099,-0.235148,-0.010732,0.414712,-0.99858,0.211126,0.366948,0.277292,0.729718,-0.049273,0.276823,-0.164035,0.076793,0.382386,-0.561792,-0.088955,1.168958,0.159645,-0.497501,-0.207743,-0.190416
formule,0.796205,0.214458,0.517203,-1.139311,-0.326884,-0.912481,-0.391663,-0.519996,-0.19586,-1.494459,0.685359,0.673219,0.677544,-0.511046,-1.004359,0.004152,-0.283651,-0.669288,0.375121,-0.017623,0.61716,0.48782,-0.366897,0.030015,-1.284309,-0.524787,-0.224934,-0.666407,-0.779545,-0.348364,-0.083383,0.04682,0.07334
droite,2.129194,0.112245,0.112666,0.549352,0.534554,0.003263,0.413949,0.002138,-0.835841,-0.692357,0.35987,-0.181104,0.679469,0.019076,0.478066,-0.268304,-0.324514,-0.11365,1.504164,-0.087107,-0.355772,0.186806,-0.365991,0.928624,0.696774,0.247542,-0.667452,0.454982,-0.093623,0.608996,-1.741825,-0.303317,-1.320422
$\mathbb{C}$,1.377256,-0.153358,0.356674,-0.091011,-0.465817,-0.790145,-0.032954,-0.603461,-0.003878,0.070809,0.150926,0.053623,0.586813,-0.233297,-0.055425,-0.069954,-0.521027,0.011813,-0.284012,-0.737987,1.006832,0.255938,-0.529524,0.123032,-0.44399,-0.161867,0.203291,-0.078444,0.130525,-0.091846,-0.216408,0.237404,-0.052566
solution,1.395588,0.896609,-0.191823,0.470421,-0.708556,-0.831314,0.015671,0.164755,-0.340925,-0.830266,-0.388409,0.503844,0.410716,-1.225682,-0.544271,0.113688,-0.467515,0.483402,0.80811,0.16262,1.020787,-0.469615,-0.909335,-0.43617,-1.223208,0.043301,-0.3119,0.10141,0.93814,-0.114826,0.765082,-0.240566,0.664018
modèle,1.83126,0.538826,0.193142,-0.496505,0.104944,-0.785596,0.147045,0.020333,-0.209599,-0.91204,0.545273,0.698883,-0.500235,-0.796399,-0.322155,1.205676,-0.410919,-0.134026,0.519142,-0.395888,1.409169,-0.253034,0.134705,0.52073,-0.986387,0.481617,0.12,-0.003094,-0.7086,0.379066,0.230745,0.77882,0.915358
linéaire,1.483304,0.470859,0.498407,0.677637,0.043124,0.292178,0.559171,0.431721,0.517323,-1.808593,0.269804,-1.214273,0.54947,-1.996609,-0.322432,0.52048,-0.479588,0.367768,0.554625,-0.35161,0.366914,-0.054414,0.547861,0.234607,-1.126981,-0.420438,-0.320103,-0.128967,0.172,-0.348321,-0.485108,1.054461,0.653796
probabilité,0.706804,-0.057325,-0.448321,-0.02965,-0.835932,0.0767,0.543452,-0.368656,1.745872,-0.774772,-0.076567,-0.690798,1.459856,-1.693937,-0.431325,-0.255023,-0.015678,0.1727,0.340593,0.122221,0.430197,1.388822,0.394568,-0.765869,-1.751227,0.14338,-0.136425,-0.059531,0.221338,0.655269,0.263177,0.045188,0.243321
série,0.44088,-0.7988,0.790518,-0.688787,0.50032,0.948422,0.098788,-0.282874,0.005939,0.316539,1.41128,-0.856151,-0.699863,0.872739,0.444708,0.086871,-0.492391,-0.482452,0.060767,-0.441701,2.09664,-0.549106,-0.265373,-0.232788,-0.838678,-0.78925,-0.294719,-0.501928,0.031204,0.281117,0.164652,-0.752607,0.489387
somme,1.744516,-1.404538,-0.546515,0.014194,0.140303,-1.094323,0.768547,-0.211063,1.08139,-0.275113,-0.71592,-0.270142,0.714099,0.111462,-0.655834,-0.202906,-0.580704,-0.880988,0.068092,-0.149705,0.009443,0.40368,-0.096238,-0.298062,0.208609,0.557498,-0.083763,0.074391,0.47507,0.299983,0.67675,-0.353155,0.234725
mesure,1.77033,0.217663,-0.483763,0.034477,-0.313373,-0.215617,0.28932,0.683921,-0.578561,0.04674,-0.744766,-0.154314,0.475973,-1.011674,0.284664,0.575238,-0.548839,-0.317403,0.18906,0.592167,0.987414,1.304478,-0.126482,-0.109011,-0.979097,-0.047283,-0.758044,-0.179167,0.354674,-0.039792,-0.422889,0.726033,-0.338744
