word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
algorithme,-0.07655,-0.145815,0.603364,0.478629,-0.100156,-0.33875,-1.374639,0.703467,-0.206102,-0.485617,0.57804,0.162289,0.470112,0.313644,0.297556,0.560025,0.228895,0.833363,1.25537,0.568635,0.817043,-0.145872,-0.344263,-0.177781,0.079254,-0.26144,-0.202628,0.220264,0.029914,2.011014,1.003773,0.284391,-0.232532,0.075643,1.079678,-0.894789,0.112578,-0.60907,0.510746,-0.139965,0.048754,-2.674931,-0.158797,0.580823,0.597697,-0.862803,-0.950954,-0.570375,-0.285667,-0.395363
calcul,-0.319803,-0.831441,0.590224,0.693316,-0.103517,-1.034515,-0.812056,0.697355,0.482342,-0.117537,0.45645,0.361803,-0.056001,-0.38953,0.0442,1.046069,-0.314254,0.355975,0.655318,0.351098,0.809082,0.691705,-0.928568,-0.261407,0.10905,0.514342,0.160661,0.098672,0.221109,1.746682,-0.015217,-0.266996,-0.293562,0.121914,1.308606,-0.407283,-0.500876,0.003314,0.153962,-0.808955,-0.219594,-1.848264,-0.16551,-0.684297,0.560857,-0.6299,-0.59162,-0.623515,-0.670373,-0.448432
application,0.117164,0.293813,0.362571,0.32756,-0.10415,-0.5213,-0.485342,0.589245,0.567321,0.171083,0.812,0.47398,0.018327,0.197947,-0.257375,0.409942,-0.573086,0.163802,0.298808,0.529917,-0.361471,-0.457723,-1.180482,-0.130549,0.257992,0.370278,0.595046,-1.11305,-0.769113,0.8787,0.50132,-0.102839,-0.541847,-0.21877,1.038028,-0.74521,0.100083,1.314469,0.170588,-0.840913,-0.951861,-1.359107,-0.471555,0.367857,0.876767,-1.019815,-0.322438,-1.035803,-0.557371,-0.005698
élément,0.356174,0.162371,-0.051678,0.219015,-0.911969,-0.869125,-1.055643,0.354227,-0.08165,0.302712,-0.460896,-0.344536,0.177564,-0.953192,0.153879,0.166135,0.745437,-0.221284,0.414276,-0.284619,0.582112,-0.327135,-1.816099,0.249684,-0.052606,0.631186,0.348005,-0.318515,-0.042156,-0.046008,-0.547249,0.272664,-0.553549,0.137196,0.702947,-0.452736,-0.866968,0.71933,0.794937,-0.652729,-0.682219,-0.253773,-0.190096,0.538528,0.391211,-0.008026,-0.467326,-0.208402,-0.175775,-0.011846
grand,0.381933,-0.010129,0.160069,0.095666,0.067521,-1.181084,-0.002945,-0.181549,0.186586,0.027784,-0.236182,0.490917,-0.327551,-0.116118,0.013838,0.253453,0.463846,-0.785384,0.060018,-0.293827,0.034942,0.58031,-0.86182,0.390694,0.125488,0.806687,0.380003,-0.009859,0.437106,-0.609356,-0.347648,0.017726,-0.076626,0.045986,0.313739,-0.356998,0.126313,0.32544,-0.286797,0.035336,0.046808,1.595617,0.591323,-0.162428,-0.071305,-0.113202,-0.683313,-0.049038,0.055164,-0.116061
propriété,0.423289,0.108986,-0.062187,-0.402105,-0.077716,-0.475532,-0.668246,0.166971,0.107468,-0.005468,0.138927,0.690185,-0.173354,-0.042973,-0.446481,1.184568,0.254733,-0.095327,-0.666437,-0.575525,0.430627,0.542131,-1.751767,0.334505,0.302157,0.562153,1.087567,-0.791566,-0.335354,0.066826,0.190319,0.194083,-0.96765,0.322674,0.420939,-0.274132,-0.850903,-0.379736,0.052146,-0.968992,-0.585119,0.278797,-0.542935,-0.334327,0.732359,-0.253109,-0.275644,-0.19327,0.574001,-0.737322
ordre,-0.199235,-0.348361,0.196201,0.145636,-0.1843,-0.741905,-0.611101,0.01855,-0.309267,0.324504,0.080849,0.525751,0.253502,-0.744226,0.260698,0.007745,-0.409323,-0.395641,0.500344,0.062121,-0.366865,0.691305,-0.36659,1.049976,0.370697,0.159723,-0.051407,-0.520763,0.226748,-0.985655,-0.777576,-0.145902,-0.076033,0.576807,0.80437,-0.063148,0.359859,-0.035598,-0.363775,-0.748928,-0.57831,1.251331,-0.391578,-0.18711,1.276358,-0.3854,0.044482,-0.025424,-0.646651,0.274778
variable,0.256539,-0.127801,0.662859,-0.032765,-0.220478,-0.760201,-0.245428,-0.070918,-0.140194,0.953128,-0.044703,0.699015,0.139947,-0.493791,0.196454,0.336874,0.470431,-0.364077,0.008023,0.07391,-0.01911,0.37475,-1.803743,0.05881,0.068109,0.744623,-0.327206,-0.379006,-0.301661,1.29541,-0.85791,-0.694016,0.003982,-0.186535,1.805229,-0.285951,-0.608658,-0.580422,0.106974,-0.283389,-0.53241,-1.494409,-0.403278,-0.269197,0.068597,-0.23379,-0.633885,-0.193173,-0.423753,0.650029
base,-0.137458,0.264285,0.04298,0.155919,-1.039262,-0.385971,-0.126145,-0.076311,0.014582,-0.092785,0.156367,0.324253,0.183253,-0.281547,-0.200373,0.229814,0.049227,-0.238237,0.945212,0.331038,-0.241104,-0.470335,-1.970503,0.256805,0.022686,0.578723,0.412251,-0.218742,-0.244091,-0.016389,-0.397773,-0.159296,0.226227,-0.417848,0.707712,-0.47233,-0.034376,0.529739,0.401314,-0.574578,-0.701278,-0.103741,-0.522823,0.35678,0.288627,-0.258316,-0.789884,-0.264369,-0.460185,-0.36172
géométrie,-0.297062,-0.565261,0.732229,1.168604,0.068277,-0.242576,-0.483285,0.498147,-0.182415,0.371589,0.632917,-0.281512,-0.280173,-0.615329,-0.076059,0.329148,0.396949,-0.454249,-0.104728,0.117608,0.792711,-0.861833,-1.036974,-0.486982,0.192278,0.055692,-0.236075,0.60758,-0.196709,0.7232,-0.605632,0.272135,-2.021701,0.640996,1.255396,0.169223,-0.366915,0.034144,0.337189,-0.753625,0.091957,-1.309866,-0.071438,0.216129,0.123955,0.187973,-0.774285,-0.165744,-0.931946,-0.661785
analyse,-0.825905,-0.217914,0.35062,-0.604349,-0.344765,-0.894672,-0.524833,0.244564,0.275267,0.251194,-0.143522,-0.022239,0.171217,-0.80376,0.850493,0.0188,-0.017082,0.354542,-0.322528,0.723413,1.273132,-0.308524,-0.496699,-0.263243,-0.015327,0.460153,0.595814,-0.069943,0.290752,0.282155,0.262622,0.195813,-0.296694,0.222841,0.842034,-0.784509,-0.679209,1.078251,0.557665,-0.655634,-0.761724,-0.874207,0.287487,0.203044,0.321428,-0.854383,-0.522303,-1.184161,-0.098327,-0.459173
loi,-0.084978,0.128943,1.003614,-0.112674,-0.222042,-0.634818,-0.35914,-0.149973,0.200206,0.531577,0.116768,-0.686955,-0.239032,-0.663698,0.347016,0.435365,-0.896146,0.864568,-0.786449,0.184313,-0.670716,0.850745,-0.842109,0.448931,0.730937,-1.338549,0.33641,-0.626623,-1.381932,-0.439422,-0.160693,-0.371952,-0.289688,0.23785,0.033503,-0.977307,0.374377,1.133869,-0.56765,-1.016294,-0.949539,-0.108444,-0.029393,-1.071484,1.569841,-0.757502,-0.238572,-0.17784,0.031692,0.29597
définition,-0.052206,0.504764,0.924131,0.206977,0.005489,-0.602217,-0.379972,0.163149,-0.072343,0.319945,-0.460075,-0.155866,-0.160285,-0.532731,0.615082,0.323501,0.190728,0.382342,-0.07003,0.525933,0.117726,0.117893,-1.122717,-0.058694,-0.249986,0.155265,0.345403,-0.640295,-0.128591,0.669214,-0.859472,-0.222284,-0.867445,0.03456,1.207079,-0.259845,-0.371257,0.847186,-0.039966,-0.678265,-0.528381,-1.128732,-0.66335,-0.435272,0.559339,-0.966583,-0.782086,-0.858877,-0.322695,-0.582808
réel,0.324804,0.388219,0.587672,0.19305,-0.327783,-1.640141,-0.764324,0.276671,0.440739,-0.162348,-0.631824,0.338564,0.047562,-0.632942,0.8177,0.651014,-0.014463,0.178897,-0.02814,-0.446434,0.039503,0.45038,-0.411676,0.021381,-0.152761,0.590493,0.70107,0.132529,-0.20066,0.678679,-0.327081,0.285584,-0.452719,0.395697,0.828605,-0.566851,-0.431204,1.130428,0.102484,-0.130417,0.130708,-0.953966,-0.170048,0.166553,0.636573,-0.827872,-0.117112,-0.471727,0.275023,-0.063118
dimension,-0.196019,0.340266,0.615923,0.677364,-0.342379,-0.619938,-0.569645,0.16822,0.517734,0.597562,-0.311951,-0.237093,-0.40905,-1.02063,0.329602,0.438179,0.196314,-0.593877,0.415012,-0.467396,-0.010945,0.122708,-1.382759,-0.311226,0.415368,0.379954,0.559364,0.311504,-0.028663,0.439953,-1.290328,-0.001687,-0.768059,0.612793,0.565371,-0.714433,-0.719986,0.730367,-0.185415,-0.114489,0.347742,-0.990764,-0.026462,0.911309,-0.01099,0.006059,-0.604085,-0.239885,0.315765,0.11444
statistique,-1.13375,0.273067,-1.214394,1.031872,0.090353,-0.420823,-0.219462,-1.124018,0.235285,-0.216763,0.25197,-0.177833,-0.17497,1.181983,0.374261,0.485102,0.595793,0.424355,0.231986,0.868918,0.247937,1.544215,0.056333,0.652127,-0.377046,0.005857,-0.462393,0.473092,0.252488,0.378107,0.355158,-0.70032,1.06921,-0.206866,0.721408,-1.034866,-1.742613,0.314891,0.059106,0.058667,-0.901805,-0.313189,-0.645473,-0.398342,0.529648,-1.033486,-1.184711,-1.208399,0.231557,-0.617121
