word,1,2,3,4,5,6,7,8,9,10,11
coordonnée,-1.588591,-0.123687,1.340039,0.761689,0.357264,0.289164,2.375463,1.250068,-0.139668,1.50688,1.835854
opérateur,-0.380346,-0.749043,-0.25252,1.297862,-0.30857,0.523873,2.509876,1.166089,-1.363177,0.823792,1.120945
numérique,0.209036,-1.11357,1.41568,0.284698,-0.733731,0.705075,1.133592,0.157291,-3.017495,0.260471,1.387375
unité,-1.722469,-0.385463,1.62492,0.177402,-0.272844,-0.099731,1.687816,0.200644,-1.037799,1.401199,0.425266
liste,-0.819515,-0.274923,1.229396,0.460265,-0.384285,0.03655,0.725567,-0.806182,-2.274444,1.506913,-0.987193
convexe,-1.102302,1.376526,-0.542075,1.093299,-0.254714,1.588204,1.76357,0.96705,-1.081273,2.017987,-0.885269
rationnel,-0.819224,-0.141359,-0.12713,0.211663,-0.313875,0.224886,3.017708,0.437401,-1.396628,0.881714,-0.21026
nœud,-2.225515,0.155349,0.293223,-0.204157,-0.719753,-0.15815,0.648227,-0.280289,-1.131227,1.968768,-0.869986
$\mathbb{Q}$,-0.132251,-0.303294,-0.842381,1.020738,0.895982,-1.992024,2.295174,0.042029,-0.858801,2.15928,0.718842
topologie,-1.444656,0.162323,-0.798284,1.795309,-0.346312,0.610827,1.820513,1.472111,-2.281145,0.099282,-0.369133
origine,-1.431023,0.386544,1.596257,0.153772,-0.307931,0.488762,1.826248,0.308848,-1.500736,0.102968,-0.192953
distribution,0.185994,0.639081,0.181168,-0.033571,-1.633034,0.624436,1.112708,0.924759,-1.615505,1.544181,1.675901
intervalle,-1.489234,0.598633,-0.148233,-0.089044,-0.919798,-0.648371,1.896186,0.828618,-1.216653,1.83125,0.634311
compact,-1.183792,1.459104,-1.37315,1.637871,-0.203772,0.613759,1.938467,1.311673,-1.460474,1.641105,-0.477072
reste,-0.861572,1.138885,0.750156,-0.594568,0.113363,-0.658198,1.625589,0.056389,-1.835882,0.888638,0.154513
test,0.927563,0.142992,-0.450715,-1.362414,-1.424241,-0.003843,0.75156,-0.070353,-2.407287,1.085767,1.238979
proposition,-0.433591,-0.23202,0.095447,-0.021017,2.09242,-0.72947,2.133087,-0.502962,-1.854857,0.608977,-0.222317
catégorie,-2.104144,-0.988014,-0.371911,2.206349,0.753519,0.630779,0.974784,0.67522,-1.660799,0.870552,-0.721214
programme,-0.744148,-0.335644,0.492658,-0.009786,0.072182,0.046966,-0.285555,-0.147077,-3.180868,0.483917,0.275673
intégral,0.585048,0.389809,1.075866,0.279504,-0.400657,0.916592,3.053618,0.907316,-1.228401,0.603615,1.133988
complexité,0.335941,-0.229847,-0.418914,-0.575231,-1.170659,1.113769,0.927124,-0.076678,-2.876293,1.476767,0.374988
automate,-1.046321,-0.976476,-1.38263,-0.074934,-1.33801,1.035236,0.952433,-0.286021,-2.628107,1.072295,-1.46623
moyenne,-0.242679,0.449678,1.118224,-1.557719,-1.518984,0.546167,2.016074,0.31969,-1.366769,1.881325,1.452953
symbole,-1.114899,-1.563674,0.523873,0.585449,0.555298,-0.551602,2.184373,-0.437284,-1.467578,1.16664,-0.394629
axe,-2.703421,0.654071,1.983451,1.190325,1.000556,-0.455258,1.327296,1.335122,-0.003293,1.416041,1.55181
euclidien,-1.099315,0.25328,0.665009,1.613625,1.232604,0.822198,2.452518,0.876818,-1.142441,1.07421,0.073526
inférieur,-1.194146,0.721946,0.549607,-0.771687,-1.062063,-0.950423,2.573519,-0.11304,-0.899371,2.050252,-0.066938
dérivée,-0.662292,0.508912,0.551007,0.165643,-0.801518,0.315094,2.91134,1.522486,-1.304415,0.382092,1.753154
transformation,-0.223249,0.416229,0.380623,1.214007,0.223118,0.597808,1.849637,1.315611,-1.512367,1.002874,1.517281
anneau,-0.917846,-0.934718,-0.501504,1.414162,-0.053857,0.469354,2.859716,0.381389,-0.727334,0.922126,-0.788743
facteur,-0.524945,-0.481475,0.888253,-0.475178,-0.382607,-0.052772,1.166758,-0.543976,-1.675615,2.201529,0.638294
indice,-0.892086,-0.601835,0.099919,-0.111438,-1.082485,-0.556607,1.63057,0.031598,-1.113557,1.797679,0.516063
zéro,-0.894521,0.120745,0.540354,-0.743284,-0.624422,-0.494499,2.629195,-0.17931,-0.992523,1.576007,-0.041954
sphère,-1.571597,1.685431,1.078573,1.144218,1.010432,0.997666,1.399483,0.864504,0.00568,1.626051,-0.277778
strictement,-1.504778,0.827224,-0.644818,-0.45982,-0.885315,-0.755714,2.900875,0.576084,-0.949429,1.803927,0.081609
puissance,-0.770024,-0.710787,0.883363,-0.485559,-0.210477,-0.422453,2.65208,-0.421675,-1.143582,1.574694,0.460095
Euler,1.040595,1.515853,1.461792,0.042528,0.254496,0.524336,2.444453,0.11535,-0.92545,0.535306,0.22706
topologique,-1.42856,0.338423,-0.977519,1.845104,0.017794,1.21527,1.829239,1.28325,-2.100206,0.971086,-0.421216
déduire,-0.216763,0.753619,-0.375411,-0.454883,1.269968,-0.470829,2.809279,0.450602,-1.593419,1.002524,0.777249
composer,-1.295532,-0.199454,1.12882,0.45626,0.311139,-0.125302,1.495207,-0.367267,-1.325429,1.654376,-0.504133
deuxième,-0.535416,0.669162,1.583276,0.221643,0.257315,-0.759192,1.153179,-0.416022,-1.798173,1.067035,0.081168
rayon,-1.550596,1.819413,1.282955,0.469692,-0.255382,-0.209134,1.552636,1.048897,0.427185,2.427244,1.118676
caractéristique,-0.761909,-0.09369,0.447087,0.158293,-0.039833,0.844207,1.82108,0.316912,-1.542295,1.58966,0.272601
vide,-2.262811,0.102064,-0.92344,0.624746,0.046091,-0.778075,1.510227,0.219695,-1.865448,1.337444,-0.941897
affine,-1.243425,0.501864,-0.49262,2.264119,1.35296,0.822859,1.729511,1.810506,-1.131881,0.94097,0.853812
supposer,-1.202374,0.668381,-0.824791,-0.522179,0.162023,-0.256159,1.885301,0.602511,-1.922426,1.119456,0.762587
ouvert,-2.24586,0.845591,-0.633671,1.631689,0.145059,-0.148733,1.30575,1.074904,-1.331514,1.064781,-0.688174
partiel,0.071262,0.204382,0.834353,0.347857,-0.853826,0.608742,1.904513,0.892091,-1.800132,0.677232,1.193023
