word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
algebra,0.051721,-0.520911,-0.189938,1.764812,0.643195,0.369671,1.315291,-0.314929,1.366235,1.250048,0.45472,0.074565,0.02386,0.089682,-0.052978,0.359099,1.150097,-1.523025,0.509336,0.074708,0.433542,-0.360899,-0.591414,-0.311356,-0.566403,-0.01534,-0.926995,-1.366223,0.772032,0.362982,-0.879339,0.708039,1.487887,0.747348,-0.027982,0.84268,-0.408169,-1.504085,0.09135,-0.580425,0.494109,0.940028,1.532261,-0.54011,0.126004,-0.453544,-0.854941,0.513244
$\mathbb{N}$,-1.166883,-0.146273,-0.814249,1.304844,-0.212976,0.18589,0.07426,-0.203593,0.98933,-0.058407,0.171397,-0.323782,-0.944327,-0.410987,-0.841185,0.416908,0.990207,0.129185,-1.150454,0.178947,-0.290498,0.793689,-0.263468,-0.08562,-0.64861,-0.532212,0.105339,-0.157447,0.142988,-0.719047,-0.455813,0.51102,0.168517,-0.066107,0.176728,0.047725,0.146242,0.591193,-0.559806,-0.47485,-0.080105,-0.118225,0.106359,0.054297,0.84786,0.068097,0.953578,0.484686
field,0.701607,-0.374913,-1.194727,-0.289242,-0.688476,-0.097315,0.031605,-0.23797,1.315583,0.064174,-0.260655,0.38939,0.020358,-0.456579,-0.328344,0.335407,0.217,-0.489707,0.207024,-0.339723,0.690441,0.798818,-0.267783,0.02076,-0.062428,-0.301266,-0.086792,0.429979,0.066358,-0.185441,-0.297278,0.877779,-1.153383,0.370251,-0.739146,-0.176808,-0.994368,-0.411998,0.229075,-0.075444,-0.429059,0.831668,0.426084,-0.359068,-0.319467,0.177864,-0.358358,0.588498
element,-0.094956,-0.303323,-0.362488,-0.831358,-0.436394,-0.106429,-0.123307,-0.571465,1.467802,0.169704,-0.139923,-0.100734,0.007487,-0.495095,-0.35759,-0.302776,0.856799,0.208297,-0.05537,0.277847,0.444197,0.977131,-0.14693,0.296967,0.012318,0.346231,1.098484,-0.582943,0.429487,-1.089722,-0.439611,0.680116,1.153483,0.769342,0.841204,-0.354739,-1.076595,-0.853193,-0.031083,0.090118,-0.149988,-0.054688,-0.139436,-0.513811,0.022452,-0.342256,0.131773,0.509024
system,0.087299,0.158323,-1.426338,-0.224152,-0.529677,0.265649,-0.804317,-0.212378,1.263988,0.288808,0.553591,-0.392747,0.236756,-0.331135,-0.40084,0.035587,-0.394383,-0.394698,0.356884,-0.101169,-0.141638,0.184852,0.038132,-0.129947,0.706902,0.237503,0.681692,-0.270454,0.070173,-1.700477,-0.237604,0.729735,0.725425,-0.214875,-0.211834,-0.263032,-1.465122,-0.296467,0.313916,-1.067194,-0.495573,0.18356,1.202172,0.436812,-0.941378,-0.596034,-0.038246,0.240981
matrix,-0.572042,-0.611185,-1.016716,0.676002,-0.316266,-0.017383,0.711874,0.064019,1.459868,0.767071,-0.111006,0.130872,-0.204655,-0.253641,-0.189435,-0.087831,0.693783,0.027621,-0.558889,0.434036,-0.771257,-0.304466,-0.439678,-0.303618,-0.813596,0.260898,-0.32024,-0.920793,0.477292,-1.009631,-0.853254,0.937864,1.327357,0.749913,-0.123404,-0.508984,-1.106257,-0.97313,-0.317502,-0.184811,0.124719,0.304111,0.950684,-0.454808,0.674272,0.003972,-0.034213,0.019671
mathematical,0.739208,0.143969,-0.272121,0.684747,-0.164498,0.54942,0.958543,-0.343975,1.372436,0.785396,1.604379,0.213391,0.797983,-0.059187,0.246369,0.942475,0.275833,-0.768975,0.27416,-0.712124,0.583977,0.259244,0.171403,0.443773,-0.611089,-0.445969,-0.137381,-0.436081,1.013766,-0.055416,-0.640557,0.123168,1.355877,0.561845,-0.982751,0.12747,-1.574628,-1.598208,0.275537,-0.747186,0.427366,0.904453,0.512461,-0.535223,0.003342,0.236608,-0.97909,0.199616
method,0.465758,-0.437837,-0.078816,-0.120074,-0.329762,-0.368877,0.122059,-0.091223,1.801184,0.807263,0.200191,-0.309977,0.657523,-0.052991,0.107208,-0.250276,-0.19397,-0.034609,-0.124292,-0.625346,-0.345118,0.903476,-0.042055,0.611121,-0.541206,-0.150653,1.106551,-0.286518,0.696113,-1.04464,-0.430433,0.511611,1.090502,0.243041,-0.95265,0.148632,-1.438355,-0.950559,-0.491179,-0.96321,-0.406228,-0.190031,1.128085,-0.022235,-0.326489,0.271066,-0.605483,0.45879
finite,-0.149483,-0.960493,-0.651076,0.495045,0.041608,0.941602,0.439202,-0.688237,1.103783,0.927772,0.428715,-0.17744,0.134395,-0.626472,-0.194907,0.874263,0.907992,-0.925671,-0.070019,-0.31328,-1.073214,-0.418217,-0.667902,0.112437,-0.700311,-0.156907,-0.584751,-0.450354,0.846667,-0.704309,-0.60032,0.803083,2.145763,-0.064966,-0.066739,-0.32532,-0.808273,-1.177286,-0.033222,-0.464799,-0.164308,0.759178,1.075194,-1.286269,0.350594,-0.5028,-0.680584,0.588076
result,0.102634,-0.767485,-0.495369,-1.010269,-1.199522,-0.186959,-0.904582,0.265119,0.696065,-0.542202,-0.435145,-0.513136,0.592852,-0.072992,0.053914,0.520006,0.049204,0.404056,-0.186175,-0.372219,0.392426,0.419318,-0.042566,0.390989,-0.044062,0.338483,-0.140795,0.090119,0.716816,-0.913277,-0.193129,1.302704,-0.212422,-0.304669,-1.271345,0.058152,-0.599173,0.0841,-0.641048,-0.339854,0.302048,-0.448864,0.299173,-0.341671,-0.000702,-0.254074,0.28136,-0.159994
