word,1,2,3,4,5,6
statistic,1.0473,-0.976949,0.831326,0.54135,1.974718,-0.340903
axis,-0.850519,0.055378,1.97109,0.532888,-0.659277,1.249363
hyperbolic,1.07927,1.48505,1.474863,0.077049,-2.385622,0.249766
rotation,0.572377,-0.13575,1.728632,0.617365,-0.654689,1.301099
Hilbert,1.460565,1.202248,0.518348,-0.024541,-1.731259,-0.778919
digit,0.2286,0.493706,1.87363,1.073757,-0.112884,1.391496
intersection,0.141283,0.043339,1.681926,-1.998744,0.923039,0.719387
addition,-0.246824,-1.985547,1.246189,0.225877,0.128412,0.208768
expression,-0.051726,-0.986481,1.416359,1.620096,-1.811095,-0.465077
Student,0.039082,-1.873126,0.381657,0.524461,1.110282,-1.07015
approximation,1.107468,0.512436,1.993888,0.798917,-1.941496,-0.075318
$\mathbb{Z}$,0.509368,0.185556,-0.058861,0.332673,0.208293,1.146398
mathematics,1.837137,0.259151,0.300302,-0.304235,0.305158,-2.375746
code,0.673002,-0.770728,1.836817,0.976822,0.549583,0.021162
rank,-0.290548,-1.402511,0.200011,0.431684,1.656647,0.01096
characteristic,-0.680838,-1.154934,2.166471,0.290453,-1.736594,0.275185
binary,1.104744,0.365482,1.731389,1.213003,-1.085263,0.570905
closed,-0.090094,-0.484809,2.008001,0.153554,-0.460617,0.805453
tangent,0.670383,1.281768,1.02986,-0.252435,-1.517615,1.155694
diagram,1.119474,0.032416,1.612262,0.126797,-1.293907,0.32217
divide,-1.569331,-0.930765,1.528968,-0.133519,0.241735,-0.028554
functional,0.948922,-0.960302,2.518645,0.556465,-1.357055,-0.386338
abelian,1.269081,1.996934,1.542226,0.207792,-1.725633,-0.311588
odd,-0.087744,-0.765301,-0.11647,0.645686,-0.694483,0.99721
action,-0.328158,-2.200339,0.479461,1.52155,-0.110164,-0.020999
tiling,0.624413,2.201509,1.19755,-1.180539,-2.345578,0.934002
ratio,0.324358,0.288699,2.811037,1.007892,0.034754,1.135926
program,1.595303,-2.534482,1.055017,1.037722,0.985866,-0.57948
quadratic,1.201494,1.478907,1.920357,0.870803,-1.754819,-0.265371
cube,1.034815,0.170851,0.543365,0.442032,-1.117229,1.502343
cycle,0.184636,-0.889509,1.534406,0.259099,-0.303671,0.390041
figure,-1.048114,-1.508312,-0.143943,0.606921,-0.381252,0.220001
argument,-0.067282,-1.322095,0.280744,1.553277,-1.894191,-1.035641
Riemann,1.402247,1.735032,0.284206,-0.333851,-1.941392,-1.108924
Euler,0.814919,1.569956,0.772767,-0.405058,-1.706226,-0.60641
calculate,0.591024,-0.334012,2.217232,1.1559,-0.710859,0.434013
shape,-1.054034,-1.119467,1.764007,-0.58682,-1.821451,1.745015
formal,-0.534738,-1.524981,1.228275,0.917416,-0.499903,-1.445084
derive,-1.036602,-0.596997,1.514882,0.271955,-1.21804,0.02783
statistical,1.440152,-0.632914,1.818628,-0.332062,0.161331,-1.180258
network,1.383322,-1.921534,1.538566,0.990726,0.814307,0.01499
estimate,-0.676758,-0.803716,2.331515,0.443782,0.918378,0.217387
norm,0.85928,-1.140074,0.157313,0.903272,-1.00029,-0.885748
polygon,0.829482,0.85212,0.708595,-0.038235,-1.277896,1.022951
permutation,0.965451,1.334943,1.2736,0.8672,-1.656038,0.6888
world,-0.29142,-2.352992,-0.145578,0.660887,1.202404,0.235901
maximum,-0.054589,-0.772735,2.772173,0.661229,0.577137,1.722145
equivalence,0.85825,0.746106,1.654023,1.200134,-1.485829,-0.816179
parallel,-0.163066,-0.732857,1.585627,-0.029642,-0.433239,0.527151
numerical,0.990551,0.066793,2.062934,1.102264,-0.912002,-0.51884
orthogonal,0.745742,1.265559,2.122375,0.747411,-1.683901,0.81406
isomorphic,0.746807,2.139577,1.470613,0.660703,-2.054949,0.291514
connection,-0.189842,-1.383879,1.141341,0.33198,-0.097301,-0.176602
locally,-0.654629,-0.999203,1.586599,-0.563492,-0.162433,0.246094
existence,-1.195532,-1.239507,0.881752,0.860405,-0.916848,-0.736875
complexity,1.109274,-0.862335,1.697988,1.429888,-1.863619,-0.600644
isomorphism,0.826898,2.1256,1.159563,0.622632,-2.238634,-0.59258
commutative,1.834038,1.887206,1.301083,0.561904,-1.939447,-0.888958
quotient,1.262606,1.557433,1.225142,1.454717,-1.071231,0.265865
half,-1.180272,-1.681682,0.21847,-0.126995,0.341463,1.530045
decomposition,0.892825,0.675893,2.163867,0.161188,-2.212196,0.125266
density,-0.026156,0.874782,3.528379,-0.089225,0.54736,1.17302
affine,1.122421,1.900677,1.275964,-0.634792,-2.250858,-0.556652
arbitrary,0.064967,-0.11016,1.974053,2.150885,-1.411859,-0.280819
morphism,1.00528,2.281619,1.498677,0.238235,-2.513815,0.750788
scale,-0.126496,-1.221725,2.144893,0.232725,-0.712442,0.519548
suppose,-0.987786,-1.237562,0.283426,1.175604,-1.109298,0.216727
increase,-0.597367,-1.823389,3.040628,0.882007,0.173182,0.230836
projection,0.602617,-0.183617,1.724652,0.108016,-1.492272,0.734193
partition,-1.059983,0.411999,1.659041,0.552954,-0.191279,-0.429294
exponential,1.015181,0.895616,2.177865,0.777066,-1.818636,0.087528
range,-0.372808,-1.53591,2.357741,-0.205016,0.152209,1.096511
subspace,1.190017,1.779474,1.582024,0.634425,-1.936208,0.459382
support,-0.166423,-2.032184,1.006728,1.134677,0.557758,-0.235973
diagonal,-0.257167,0.91819,1.583233,-0.293801,-1.198607,1.831663
computation,1.888735,-0.087935,1.93408,1.004975,-1.353159,-0.790015
curvature,0.222607,1.0175,2.061913,0.109473,-2.219654,0.876999
flow,-0.494755,-0.925569,2.437901,-0.60408,-0.773086,0.933489
analytic,2.061285,-0.851636,1.382763,1.036781,-1.034239,-1.640493
chain,0.268086,-1.259029,1.310364,-0.033067,-0.485303,0.917921
cohomology,1.507188,2.28492,1.326198,-0.363747,-2.305969,-0.513342
trivial,0.407717,0.100267,0.914372,1.806456,-1.989009,0.092003
converge,-0.139662,0.207122,1.439716,0.127115,-0.763688,0.620476
lemma,0.940835,1.925208,0.526513,0.124154,-2.075531,-0.138312
origin,-1.398601,-1.111469,0.48264,0.280102,-0.398728,-0.60718
convergence,0.560053,0.219359,1.781276,0.693604,-0.652966,-0.5224
division,-0.258676,-1.439258,0.694657,-0.313542,2.469411,-0.142862
union,-0.709059,-1.948266,0.408259,0.009759,1.812298,-1.400447
empty,-0.882526,-0.842474,0.877296,0.038221,-0.645756,1.783513
computational,2.59557,-0.820483,1.928234,0.563578,-1.223698,-1.816194
functor,0.601978,2.996577,1.163636,0.876852,-1.95841,0.117472
fraction,-0.154152,0.388279,2.147969,0.883115,-0.847337,0.50078
source,-0.520682,-1.260906,0.70019,-0.052458,0.342676,-0.52415
eigenvalue,0.433795,1.933157,1.816415,1.579727,-1.617071,0.276211
translation,-0.487679,-0.374591,-0.386689,0.470837,-0.539277,-1.242286
hypothesis,0.089187,-0.549661,1.449663,0.649192,-2.247226,-0.991397
