word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
result,0.743224,-0.39781,-0.045697,0.367893,-0.253658,0.374517,0.118264,-0.606351,0.954976,0.257827,1.579321,1.940865,-0.221269,0.708242,-0.28979,0.951953,-1.469443,0.550804,-0.720837,-0.80515,-1.638514,0.634854,-0.631108,0.921656,0.076072,0.490062,0.164129,0.492868
vertex,1.21391,0.385192,-0.892219,-1.320278,-0.978257,2.387213,-1.79118,-0.008688,-0.266124,1.731896,1.631221,0.396963,0.782964,-0.66455,0.245408,1.546868,-1.733577,2.08541,-1.143922,-0.510293,-0.972796,-0.373135,-0.343014,0.465248,0.061672,-0.53653,-0.591528,-0.401398
term,0.258757,0.250643,-0.443649,-0.320054,-0.267122,0.096421,1.078233,-0.458432,1.178331,0.347006,1.809713,1.422851,0.406159,0.229737,-0.445546,1.013582,-1.174793,0.866194,-0.790938,-0.3445,-0.886562,0.937263,0.072253,1.26445,0.346565,1.41908,-0.315673,-0.413737
line,-0.087701,-0.337125,-0.026848,-0.205136,-0.5971,0.840855,-0.025777,0.143393,-0.646529,0.54308,2.270511,1.786376,-0.052896,-0.487071,-0.02025,1.115168,-1.514206,1.398551,-1.417684,-2.087287,0.253026,-1.161179,-0.595439,0.539635,-0.083875,0.401537,0.511339,-0.836215
model,1.234674,1.002026,1.44649,-0.441283,0.624919,0.793052,0.285212,0.168665,0.680489,1.984291,1.090488,2.751086,-0.212416,1.357535,-0.392934,0.117325,-0.624309,-0.053085,-0.412787,-0.73946,-0.912012,0.705878,-0.315311,0.522736,-1.031741,0.235751,0.631968,-1.093733
real,0.130211,0.097415,-0.516226,-0.447279,0.298404,-0.08028,1.434618,0.290732,1.029925,0.21115,1.766522,0.813873,-0.470916,0.594528,-0.072405,0.118255,-2.036215,1.258536,-0.545855,-2.090305,-0.605384,0.252919,-0.309265,1.091509,0.172645,0.425843,-0.862536,-0.689521
property,0.543744,-0.40645,-0.276335,-0.021066,-0.951838,0.431767,0.352714,0.113536,1.08973,0.634495,1.854714,1.147037,0.309446,0.631039,-0.106851,0.395241,-1.019054,0.072898,-1.21864,-2.07968,-1.463757,1.205667,-0.31464,0.642381,-0.392886,0.487902,-0.982713,-0.222646
geometry,-0.910457,-0.664812,1.60572,0.327301,0.56714,0.199307,-0.647613,0.592059,1.218583,0.374027,2.464338,1.36492,-0.188019,0.686244,-0.662101,0.139964,-0.570417,1.735962,-0.361988,-1.233963,0.133313,0.445213,-1.228294,1.712079,-0.429717,-0.156925,-0.780826,-1.172462
complex,-0.441942,-0.011001,-0.310122,-0.477865,0.578058,0.10092,0.432595,0.345481,1.392063,0.546117,1.867035,1.483973,-0.671372,0.273026,-0.349267,0.57285,-1.43043,1.238848,0.00115,-1.410043,0.422424,1.010867,-0.884196,0.787936,0.694554,0.775939,-1.651841,-0.714093
linear,-0.315031,-0.042479,-0.768782,-0.887271,0.742846,0.105558,0.233895,0.589768,1.31103,0.52231,1.425266,1.427196,0.092223,1.586231,-0.984017,0.352059,-1.909215,0.866643,-1.129359,-1.29399,-0.868564,0.91141,-0.880906,-0.290941,0.24095,0.910159,-0.413353,-1.309932
