word,1,2,3,4,5,6
four,-1.561778,0.958907,0.214339,2.71223,0.191876,1.673442
rule,0.210887,0.053367,1.034582,2.860097,0.496966,0.045201
topological,-0.657417,-2.172848,0.433071,3.075199,0.499115,1.255503
computer,-0.143625,0.848156,0.464815,2.025792,2.939237,1.318492
derivative,0.273461,-1.267598,0.867163,3.301386,0.099322,-0.069743
symmetry,-2.161171,-0.434383,-0.719053,2.145362,-0.420064,1.896869
compact,-0.761163,-2.303365,0.6572,3.242519,-0.758258,1.173017
factor,0.061968,0.342546,0.893101,3.247222,-0.340327,0.044832
family,-0.910625,0.035637,0.664507,2.18231,0.252444,1.475172
transform,0.196223,-1.431837,0.474062,2.714564,0.432648,0.170922
convex,-1.283679,-1.239454,-0.259119,2.667853,-0.472992,1.169872
domain,-0.435787,-1.218094,0.224624,3.248392,0.062899,0.449349
subgroup,-1.272728,-1.883512,0.528456,2.45761,-1.53547,1.273227
construct,-1.076235,-0.337057,0.197602,2.964533,0.24989,1.265957
axiom,0.965054,-0.733993,2.037521,2.435047,0.070452,0.310982
construction,-1.046239,-0.796345,0.161235,2.604545,0.594907,1.600206
therefore,-0.407843,0.18246,0.995666,3.683577,-0.499621,0.47439
compute,0.222744,0.298587,1.131446,3.191005,0.4487,0.229663
normal,-0.369866,-0.8312,0.517349,3.207165,-0.337961,0.31477
distance,-1.043889,0.277867,-0.449692,3.161918,-0.275338,0.362879
notation,-0.273218,-0.034665,0.712372,2.370901,0.538059,0.843429
parameter,0.333251,0.015444,0.716771,3.631514,0.139015,-0.643676
euclidean,-1.40012,-1.295806,-0.03062,2.864373,0.215676,1.669978
symmetric,-0.757893,-1.483104,0.343459,3.003862,-0.63214,0.908036
metric,-0.618291,-2.037532,0.049304,2.698134,-0.038717,0.713241
test,1.136871,0.696685,1.717831,2.506268,0.547659,-0.39774
bundle,-1.009424,-2.051449,-0.042831,2.411381,-0.731739,1.007897
center,-1.695369,0.602855,-0.279674,2.213267,0.127399,1.899179
