word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
result,0.719547,-0.251653,0.333471,-0.468624,-0.730875,0.687463,-0.79055,-0.190554,0.581335,-0.249589,-0.443357,0.569096,-0.88439,0.41426,-1.662905,0.77827,0.475458,-0.454863,0.6221,0.141469,-1.157653,0.330515,0.261757,-0.261826,-0.082977,0.517178,-0.772801,-0.208253,-0.486758,0.319415,-0.658168,-0.372432,0.405361
vertex,0.317181,0.173896,0.253521,-1.127882,-0.314799,0.392448,1.447603,-0.594315,-1.552871,-0.513425,0.352991,1.062318,-1.310224,-0.98435,-0.902805,1.692126,-0.044523,0.305924,1.054873,0.000919,0.476286,0.189636,0.085803,2.631913,-2.045756,0.348921,0.487561,-0.4761,-0.058341,-0.253168,0.108824,-0.18808,-0.70625
term,-0.308067,0.008465,-0.207076,-0.091174,0.607147,0.356465,-0.55557,-0.504624,-0.000567,0.142799,-0.138923,-0.150052,-0.987416,-0.465907,-1.42097,0.176572,0.221222,-0.54376,0.405785,0.212541,-1.101954,0.275068,0.048525,-0.001983,0.026212,1.070355,-0.227168,-0.058715,-0.532335,0.017057,-0.884098,-0.802366,0.218784
line,0.124272,0.471241,-0.135667,-0.197119,-1.744594,-0.231439,-0.120363,-0.584376,-0.719993,-0.019103,-1.161612,0.345143,-0.288304,0.438257,-0.782508,-0.224928,-0.272003,0.40723,0.963925,0.171701,-0.329993,0.015336,1.003286,-0.21448,-1.167415,0.890368,0.049196,-0.245866,0.046132,0.311469,-0.17494,-0.816154,-0.535148
model,-0.010711,0.276191,0.597164,0.052417,-0.349513,-0.346575,-0.965521,-0.688059,-0.309677,-0.815194,0.362204,-0.910331,-0.472029,-0.364843,-0.097195,-0.081371,0.323814,-0.156617,0.868939,-0.157221,0.326614,0.039616,-0.146494,0.568182,-1.173658,1.346449,-1.055582,1.043335,-0.895965,0.370713,-0.852319,-1.002499,-0.274802
real,-0.914498,0.917413,0.367022,-0.362359,-0.482346,0.819955,-0.451984,-0.153645,-0.457725,-0.440752,-0.140445,0.110275,0.078838,-0.00767,0.066421,0.466121,0.569464,-0.080949,-0.252095,-0.259666,-0.872376,0.906422,-0.22198,-0.188703,-0.576971,0.914786,-0.927476,-0.536228,-1.122361,-0.404204,-0.743414,-0.408988,-0.215305
property,-1.538077,-0.43044,0.040372,-1.032566,0.280958,0.602953,0.253717,-0.695322,-0.086085,-0.536585,-0.989953,-0.155121,-1.320511,0.05597,-1.441353,0.539484,0.827432,0.344847,0.000864,-0.534867,-0.32157,-0.283803,0.669888,-0.251789,-0.29543,1.372038,-0.172197,0.207059,-1.017713,-0.467441,-0.397767,-0.413376,-0.419814
geometry,0.431507,-0.771321,1.123491,-0.634477,0.531906,0.593166,0.451774,-1.703837,-0.668151,0.133854,-0.745242,0.694521,-0.173745,-1.185644,-0.094089,0.655304,-0.206822,0.189381,0.634281,-0.261516,0.475499,0.470078,-1.138518,1.622955,-1.991071,1.407906,0.027557,1.058488,-0.774462,0.44981,-0.372419,-0.364375,-0.49056
complex,0.288207,-0.241748,0.099107,-0.619565,-0.034949,0.156814,-0.014681,-0.379299,-0.672734,-0.107582,-1.024022,-0.02405,-0.026358,-0.502159,-1.03253,0.737066,0.807947,0.874876,-0.314364,-0.138218,0.079543,0.242802,0.627255,0.572471,-0.830254,1.126941,0.240099,0.03427,-1.223459,0.111998,-0.745237,-1.348554,-0.334155
linear,0.759924,0.537499,0.148324,-0.524474,-0.43091,0.178499,-0.159417,-1.747918,-0.961074,-0.209833,-0.132659,0.663041,-1.669989,-0.710807,-0.395102,1.317707,0.741101,0.329791,0.893116,0.298047,0.216727,-0.003099,-0.558795,1.57587,-1.243539,1.691364,-0.237843,0.836016,-0.158101,0.730424,0.99826,-0.750274,-0.603043
