word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
solution,-0.015618,-2.041326,-0.085262,-0.899289,0.307065,-0.211759,-0.106676,0.165283,1.18489,-1.367055,-0.086448,-0.175531,0.833116,1.310652,-0.314843,-0.944925,-0.039023,-0.091386,-0.810732
square,-0.671089,-1.314836,0.509631,0.32255,0.170816,-0.44019,-0.445585,1.039537,-1.335057,-0.751994,0.591377,1.351991,0.017175,-1.130604,-0.129728,0.908774,0.462337,-0.029735,0.000397
map,-0.994828,-1.63057,-0.899378,-0.82537,-1.04787,1.12472,-0.165615,0.49898,-0.451945,-0.669072,-0.244745,0.393326,1.025334,0.113754,0.441118,0.59262,0.711276,0.365149,-0.049519
class,0.380934,-0.729806,0.321576,-0.451945,-0.383063,-0.183235,-0.261612,0.340848,-1.373322,-0.55858,-0.530932,-0.089752,0.280811,-0.522839,0.717647,-0.495005,0.081116,-0.165685,-1.007887
integer,-1.164516,-1.572903,0.238165,-1.030962,-0.131511,0.091553,1.040267,-0.749254,0.943707,-2.338533,-0.701685,1.344206,-0.928442,0.25325,1.50113,0.207225,0.045324,-1.544847,0.698564
mean,0.501322,-1.793274,-0.421653,-0.291622,-0.821144,0.042783,-0.57881,0.17794,0.762975,-0.375317,-0.151106,0.317555,-0.44878,-1.227947,-0.015432,-0.963992,0.282082,-0.421072,-0.501002
proof,-0.363665,-1.216869,0.434128,0.49659,0.152681,0.038408,-0.308988,-0.54097,1.229955,-0.382836,-0.286936,0.286528,0.664473,-0.146431,0.980777,-0.848494,-0.221511,-0.507643,-0.157326
three,0.358024,-1.0032,0.212134,0.090547,-0.182717,0.193147,-0.703296,0.903287,-1.043599,-0.224932,-0.447991,0.385166,-0.887283,-0.770539,0.367105,-0.433001,0.551197,0.185079,-1.187822
dimensional,-0.195388,-2.49967,-0.095438,-1.063664,0.807178,0.600912,0.757335,1.197719,1.563943,-1.593264,0.075973,-0.694846,-0.179888,0.497473,1.374994,0.324425,0.227384,-0.064202,0.427417
zero,-0.073245,-1.019672,-0.629016,-0.350859,0.173253,0.042445,-0.494402,0.16663,0.75918,-1.76401,0.214764,0.325973,-1.004588,0.461984,0.603634,-0.768034,-0.208748,0.081464,-0.348215
