word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
field,-1.873518,-0.781803,-2.050061,0.088552,0.100901,-1.086333,-0.170682,0.784823,0.767797,-0.771033,0.972618,0.939448,-0.973315,1.012654,0.344196,1.030542,-1.158598,-0.487208,-1.151773,0.468237,0.037592,-0.264186,-0.267464,-0.630126,0.815003,-2.432446,-0.177992,-0.345189,-0.344035,0.392622,0.053739,-0.228224,1.072006,0.654772,-0.553433,-0.065511,0.5691,-0.61627,-1.273116,-0.591711
element,-0.146619,-0.711397,-1.924281,-0.274286,-1.538701,0.167213,-1.244096,0.857642,1.302933,-0.48305,0.262793,-0.208245,-1.398398,0.850351,0.356282,-0.203999,-0.424873,-0.648909,-0.022349,-0.170602,-0.488129,0.170076,-0.430522,-0.208629,0.887639,-1.940219,0.04217,0.464272,0.132163,-0.198267,0.499455,-0.200046,0.232473,1.305212,-0.636196,0.788187,1.340993,-0.928035,-0.387316,0.685216
system,-1.267777,0.118513,-0.788433,-0.824916,-0.664966,-1.26126,-0.509284,0.558777,0.709668,0.659927,0.555308,-1.013023,-0.619528,1.082557,0.317258,0.743423,-0.285331,-0.22538,-0.599693,0.305547,0.532532,0.521243,0.196373,0.089977,0.542911,-2.117859,-0.631901,1.141486,-0.956951,1.53527,0.431509,-0.326048,1.402061,0.358408,-0.595772,0.353126,0.270982,-0.675969,-1.704125,1.030026
matrix,-0.18314,-2.136298,-1.710551,0.784308,-0.51908,-0.073562,-0.127132,0.557436,1.582064,-0.487306,1.196626,-1.671287,-1.718988,0.127603,0.897993,0.369966,-0.122094,0.095499,0.681007,-0.929254,0.692822,-0.277465,0.328226,0.52418,-0.090399,-1.531357,-0.704039,0.062783,-0.071328,0.353017,-0.711157,0.158799,-0.047159,0.897112,-1.661456,-0.070715,0.972631,-1.587355,-1.001444,0.080046
mathematical,-1.01783,0.460059,-0.073616,-0.605152,-0.307913,-2.568199,-1.251355,1.530203,1.107234,0.202332,0.688684,0.080522,-0.949913,0.963284,-1.047214,-0.492472,-1.710929,-0.601263,0.496609,-0.635251,0.101871,0.371089,0.056141,0.966165,-0.117741,-0.922111,-0.843318,-0.014951,-0.206583,0.521315,0.070056,0.518891,0.961507,0.422352,-0.588696,-0.738105,0.582296,0.592546,-2.213073,-0.06216
method,0.051185,0.168983,-0.870484,-1.395969,-0.0096,-1.227678,0.145605,1.29321,-1.1018,0.683159,1.376053,-1.456451,-1.518527,0.276944,0.906645,0.428503,-0.543715,-0.348852,0.425451,-0.103215,0.063469,0.173764,-0.646095,0.726905,-0.299615,-2.461149,-1.505667,-0.221418,-0.08945,0.037098,-0.027884,0.024656,0.709048,0.639815,-1.446372,0.291391,0.43787,0.128006,-1.217817,1.05977
finite,-0.422158,-0.08582,-2.146241,-1.005019,-1.222672,-0.252919,-0.435375,-0.066537,1.21588,-0.495908,-0.025446,-0.24011,-1.222383,0.822333,0.285862,0.502024,-0.757979,0.184198,-0.537789,0.236104,0.671135,0.041635,-0.519343,-0.073314,1.032071,-2.446526,-0.045261,0.007198,-0.776446,-0.522184,-0.021751,0.441666,0.303871,1.372108,-0.747871,-0.407919,1.523708,-0.152042,-0.214822,0.582703
result,-0.010122,-0.24522,-1.07942,-0.511708,-0.916168,-0.972008,0.00395,0.534369,-0.060333,0.93049,0.088684,-0.781349,-0.729104,0.108113,0.781974,-0.19725,-1.209348,-0.700896,0.35016,-0.071901,1.049665,-0.127302,-0.518999,-0.63286,-0.009327,-1.931538,-0.283386,-0.343734,-0.455308,0.037112,0.000382,-0.365979,0.964659,0.622411,-1.055437,-0.273167,1.289535,-0.471445,-1.060751,0.040326
vertex,0.115763,-0.895268,-2.48397,0.362551,-0.894464,-0.476347,-1.017625,-0.018271,0.720743,-0.25388,0.399885,-1.632939,-0.565337,0.403447,0.423534,-1.593273,-0.94801,0.044467,1.022826,-0.379908,-0.13759,-1.592516,-1.492091,-0.859984,-0.636393,-1.227154,0.630461,1.033587,-0.092142,0.54336,1.183743,-1.360273,-0.009953,-0.144959,1.24539,-0.69359,2.740507,-0.483801,0.613504,1.194195
term,-0.368424,-0.918062,-1.615207,-0.032112,-0.275149,-0.565077,-0.241017,0.647039,0.123435,0.711322,0.404086,-0.563801,-0.840812,1.182733,0.381546,0.186519,-1.699246,-0.409445,0.748189,-0.698865,-0.040779,0.669561,-0.806961,-0.302588,1.24085,-1.318923,0.120262,-0.123569,-0.40147,0.074251,0.314222,-0.355481,0.969981,0.780978,-1.056153,-0.020908,0.701226,-0.229557,-0.735347,0.217828
