word,1,2,3,4,5,6,7,8,9,10,11
prime,0.844945,-0.161751,-0.866457,2.873472,0.584378,1.656426,-0.715305,0.651438,0.89993,1.630176,1.807034
measure,-0.261098,-1.203672,0.414379,0.619781,-0.626859,1.652023,1.075897,-1.125639,-0.382181,2.351541,1.069399
equal,-0.595208,-1.191212,-0.1539,2.224585,-0.946381,0.917048,0.515179,-0.716586,0.554032,1.93738,2.542707
lie,-0.937742,-2.64785,-0.475607,0.203297,-0.302872,1.618696,-0.969505,-0.518799,-0.816116,0.94372,1.791643
manifold,-2.311266,-2.646002,0.30549,-0.299578,-0.271801,2.196179,-1.2274,0.397265,-0.558703,1.591432,0.622627
degree,0.420513,-1.614671,1.053866,0.541531,-0.471309,1.199446,-0.425304,-0.585582,0.92104,1.704863,2.263832
differential,-0.484696,-1.823196,0.268032,-0.315327,0.262141,3.169007,0.110955,-1.950732,-0.058855,1.210526,0.256646
$\mathbb{C}$,0.079331,-3.013972,-0.306482,1.125568,-0.929637,0.273469,-0.35888,-0.541997,0.913076,1.053713,1.357731
regular,-1.41786,-1.624799,0.189077,1.218379,-0.045014,2.402519,-1.264176,1.523744,0.927237,0.199979,2.351307
second,0.433836,-0.737071,0.355606,1.015359,-0.755804,1.985085,-0.317875,-1.282489,0.27903,1.466309,1.73313
triangle,-2.346297,-0.00637,-0.557837,1.92874,-0.636966,1.14973,-0.868034,-0.387894,0.173835,0.374097,3.123345
subset,0.47066,-3.007335,0.336142,0.929751,-0.601765,0.85332,0.378716,1.369952,-0.401494,2.814464,1.770234
circle,-2.836551,-0.850343,0.254372,0.906551,-1.247899,1.067108,-0.909267,-0.883104,0.078034,0.84686,2.551513
relation,0.574825,-1.995276,-0.889433,1.095937,-0.203635,2.041898,0.269482,-0.421498,-0.695422,1.35088,0.970271
positive,-0.321217,-1.449569,-0.369648,1.857484,-0.444237,1.195214,0.569295,-1.069541,-0.066814,2.386462,1.613762
simple,-0.504239,-1.509697,-0.537299,1.519923,-1.214413,2.691199,-0.059828,0.211614,-0.182644,1.158905,0.770093
topology,-0.398461,-2.880653,0.647527,-0.607465,0.0162,2.405626,-0.831513,0.729388,-0.483799,1.725354,0.670516
category,0.093877,-3.34563,-0.35185,-0.659739,-0.620642,1.775594,-0.480279,0.694649,-1.421551,0.529677,0.984994
surface,-3.045315,-1.252527,0.105876,0.251277,-0.726956,1.935342,-0.685066,-0.56946,-0.276501,0.944865,1.228273
constant,-0.939284,-0.811715,-0.133807,1.676541,-0.338179,1.388865,0.706239,-1.613715,0.173505,2.360609,0.885482
application,0.157678,-1.2846,0.740679,0.030859,-1.004128,3.288188,0.429243,-1.00553,0.525443,0.77545,0.15258
integral,-0.912998,-1.296873,-0.435433,1.049768,0.303644,2.172785,0.329205,-2.229924,-0.215343,2.046576,0.223338
coordinate,-2.076126,-1.91457,-0.205389,0.791551,-0.905186,1.475941,0.961183,-1.813619,0.058767,0.375765,1.664751
complete,0.375793,-1.589027,0.975787,0.283497,-0.358246,1.872942,-0.937512,0.899257,0.201414,2.064167,1.053761
root,0.074877,-0.778339,-0.874426,2.385987,-0.289235,1.680211,0.344793,-0.623129,0.461307,1.118909,1.676801
length,-1.246928,-0.880787,0.086537,1.994388,-1.518356,1.198032,0.559084,-0.382834,0.936882,1.232816,2.056454
continuous,-0.352342,-2.547973,0.441883,0.420486,-0.116959,1.317878,0.924637,-0.489511,-0.437236,2.936562,0.400623
logic,2.338308,-1.777361,-0.654634,0.008217,0.047227,3.021053,-0.5262,-0.67156,-0.47995,0.53274,-0.393622
external,0.020946,-0.906927,1.136324,-0.409481,0.414256,3.45871,-0.352117,-0.682641,1.319398,-0.524369,1.305758
side,-1.400296,-0.336233,-0.516616,2.106911,-1.530386,0.570615,-0.564395,-0.98226,0.297297,1.049118,2.886688
unit,-0.735671,-1.48287,0.166354,0.822949,-1.092371,1.159125,1.032292,-1.278619,0.233647,0.769584,2.094439
equivalent,-0.188713,-1.765118,-0.862241,1.573502,-0.720417,1.895175,-0.356489,0.199243,-0.640453,1.950766,0.791059
conjecture,-0.829889,-0.001659,-0.211664,1.184515,0.869931,2.623686,-2.298956,0.49359,0.074963,2.286829,0.063028
infinite,-0.064477,-1.244468,-0.289426,1.382037,-0.220377,2.184852,0.256197,0.36208,-0.310921,1.577992,1.758641
operation,1.121511,-1.871385,-0.311114,0.8392,-1.178931,1.979118,0.763993,-0.297923,-0.268761,0.426637,1.375896
