word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
system,0.638086,0.437875,0.694074,-0.136891,0.193308,-0.210274,-0.038976,-0.424625,1.833375,-0.30322,-0.519748,0.73831,0.513371,0.104187,-0.714308,2.005099,-0.872337,0.316939,-0.905278,-0.465011,0.016478,-0.548446,0.167806,-0.283422,0.793307,-0.68067,-0.153112,-0.638675,-0.316494,-0.445152,-0.970825,-0.140463,0.446523,-0.052718,1.037697,0.118607,-0.534191,1.059019
matrix,0.240033,0.490678,0.055925,-0.819027,-0.248987,0.797647,-0.054403,-0.443985,0.028172,-0.000363,0.390235,0.539449,0.109959,-0.10444,-1.285015,1.348798,-0.535671,0.462391,-0.055578,0.747626,-0.043903,-0.082635,-0.679853,0.98382,0.657801,0.605811,0.634054,-0.804831,0.674682,0.344312,-1.56868,0.600886,-0.079466,-1.26366,-0.575319,0.206304,0.1827,2.108048
mathematical,0.723889,-0.434312,-0.717665,-0.611824,0.511541,0.128725,-0.149891,-1.605337,0.783474,0.92612,-0.27754,1.971342,-0.036919,0.839078,-0.649732,0.349407,0.639209,0.424588,-0.820073,-0.187948,-0.52643,0.093806,-0.464955,0.041593,0.239584,-0.157866,1.433753,0.178129,0.199243,-0.111338,-1.308677,-0.433924,-0.908848,-0.053965,-0.975307,0.612001,-0.399268,2.242322
method,0.265221,-0.101506,-0.232801,0.156551,0.664716,0.101826,-0.144918,-0.389651,1.386434,0.043251,0.170689,0.715455,-0.237177,0.519831,-0.210903,2.244826,-0.038572,1.231509,-0.740836,-0.421439,0.019514,0.168365,-0.350965,-0.060049,0.473517,0.039862,0.27035,-0.255793,0.711333,-0.581697,-1.693015,-0.688311,0.128318,-0.261189,-0.436331,0.897046,-0.379619,1.332619
finite,1.03353,0.236684,-1.173817,-1.404003,-0.356004,0.781127,-0.422675,-1.396488,-0.096248,0.012391,0.258882,0.390683,-0.200107,-0.463124,-1.01128,1.554257,-0.196656,0.131204,-0.650119,0.698291,-0.149932,0.614616,-0.283934,0.653863,1.14919,0.330425,1.413202,-0.78755,0.668665,0.239277,-1.444152,0.859651,0.25698,-1.490794,-0.270989,0.017424,-1.332036,2.690924
result,-0.370987,0.20555,0.689444,-0.099909,0.619626,-0.316334,0.374477,-0.371595,1.056829,-1.32982,0.31667,0.878324,-0.356749,0.20815,0.300967,1.524709,-0.56052,0.594875,-0.559257,0.936186,-0.160784,0.122684,0.281418,0.541221,0.843139,-0.559585,0.029435,0.302057,0.109921,0.595238,-0.362899,-0.13623,-0.299821,-0.50365,-0.568224,0.119025,-0.596965,-0.294343
vertex,0.340394,0.310124,-1.037812,-1.260325,-2.223326,0.332558,0.541697,-0.134249,-0.435985,-0.380565,1.120069,0.362748,0.768058,-0.1825,-0.602649,1.235026,-0.571469,-0.825991,0.303021,0.056165,0.125753,-0.157279,-0.075542,1.611588,1.239472,0.001838,1.445493,-0.804248,0.662952,0.99924,-1.458939,1.407437,0.648884,-0.337203,-0.961791,-0.69646,0.079359,2.031397
term,-0.440367,0.093,0.151957,0.000909,0.715149,0.136417,-0.35762,-0.494206,0.856855,-0.250769,-0.093463,-0.159137,0.331811,-0.071355,-0.502975,1.429333,0.005055,-0.149283,-0.900214,0.855823,-0.141977,-0.050804,0.249951,0.017418,0.832406,-0.525537,0.24317,0.560251,0.229595,0.323914,-0.689476,-0.358562,0.00545,-0.035986,-0.206296,0.963431,-0.464142,0.568966
line,0.706217,0.443631,0.002008,-0.469721,-0.625792,0.731796,0.290829,-0.425591,0.544835,-0.195697,0.392384,0.209351,0.393571,-0.466254,-0.399856,1.380753,-1.993515,-0.029748,-0.153767,-0.213984,-0.486841,-0.305489,0.502469,0.565276,0.153637,-0.627716,0.068169,0.169448,-0.610171,0.017366,-0.016964,0.642349,-0.059884,0.744236,0.200374,-0.229949,-0.655396,-0.676425
model,1.177647,0.450813,0.569701,-0.432947,0.472994,0.02102,0.093262,0.431742,1.245019,-0.129667,0.25818,0.663074,0.19961,-0.249004,-1.161379,1.739253,-0.271674,-0.316275,0.178907,0.030496,0.185207,-0.55204,-0.868789,-0.042334,0.087922,-0.551626,0.801673,-0.544364,-0.236203,-0.504139,-0.512368,-0.611369,-0.273074,-0.217343,0.862916,0.330115,-0.381027,0.91114
real,0.159779,0.889144,0.086589,-0.258095,0.972015,-0.338681,0.287987,-1.133499,0.313214,-0.152307,0.4562,0.437905,0.200419,-0.846394,-0.61265,0.943359,-0.273734,-0.476281,-0.239214,0.292215,-0.72732,0.465842,-0.288464,-0.090909,-0.22164,0.558428,0.035562,-0.306308,-1.270216,0.689581,-0.504989,-0.125381,0.298484,-0.589372,-0.474953,0.723788,-0.189376,0.415872
property,-1.013702,1.178059,-0.165493,-0.467814,0.53799,0.397164,-0.195776,-0.493008,0.367578,0.188437,0.080551,0.497887,1.40326,-0.174435,-0.554669,1.673171,-0.596729,-0.357184,-1.206737,0.206607,-0.277135,0.67166,0.186208,0.455303,0.293571,0.60574,0.838964,0.904716,0.208902,0.02226,-1.441693,-0.281908,0.326022,-0.637735,0.563002,-0.252803,-0.190138,0.293344
geometry,0.778313,-0.067196,-0.740928,-0.630359,-0.659724,0.363291,-0.143702,-1.105634,0.08389,0.821326,0.075175,1.176091,-0.201916,0.060355,-0.362995,1.472861,-0.812935,0.150427,-0.327638,-0.565633,0.209532,-0.034527,-0.727035,0.71875,0.247988,-0.204223,2.124929,-0.531236,0.334625,-0.479632,-0.944546,-0.41718,-0.829772,0.007186,-1.005947,-0.012552,-0.297493,2.532215
complex,0.067041,1.455891,0.077754,-0.568066,0.148317,0.098851,-0.814729,0.029307,0.103286,0.568724,0.071051,0.708628,0.181912,0.139436,-0.296743,2.034779,-1.103961,0.069496,-0.682376,-0.222006,0.888462,0.353878,0.871681,0.697584,0.178703,0.181055,0.587545,-0.171008,-0.287243,0.189748,-0.524982,0.169644,-0.01325,-0.171821,-0.313008,0.10564,-0.385283,1.180881
linear,0.567087,-0.042194,-0.045419,-1.276325,-1.076277,0.282358,0.403281,-0.528464,0.225155,-0.386285,0.13779,1.205509,0.637776,-1.611218,-1.432113,1.907058,-0.189593,0.152058,-0.290087,-0.325329,-0.138914,0.130712,0.083082,1.1721,0.449631,-0.805495,0.487989,-1.442719,1.016339,-0.397854,-1.468663,-0.002253,-0.853518,-0.302388,-0.656542,0.204032,-0.043569,1.551392
polynomial,1.340809,-0.411184,-1.286717,-1.872633,-0.106184,0.591938,-0.80208,-1.269376,-0.805542,-0.394149,1.338538,0.208974,0.15373,-0.481105,-0.401605,1.11012,0.768382,0.624,-0.205623,0.92739,-0.151395,0.60137,-1.060841,1.268679,0.931151,1.369497,1.383353,-1.107841,0.710203,1.247053,-2.181839,0.527834,-1.082311,-0.705046,-0.485875,0.167849,-1.251512,2.287497
algorithm,1.388633,-0.395951,-0.732696,-0.851253,-0.390012,-0.265887,0.634798,-0.915958,0.723505,-0.533901,0.903423,0.641838,-0.231269,0.233448,-0.851425,1.390452,0.655632,2.192894,-0.440645,-0.034745,-0.221164,0.0005,-0.730963,1.331714,0.504062,0.526756,0.328496,-0.919854,0.490181,0.368597,-1.969347,0.274575,0.027784,-0.610499,0.560271,0.722201,-0.835743,2.054756
mathematician,-0.149221,-0.500951,-0.614312,-1.071037,-0.416901,-0.713065,-0.835324,-0.29679,-0.434571,1.334191,0.097513,2.497954,-0.044834,-0.085423,-0.606446,-0.391927,1.570191,0.706173,-0.083845,0.438514,-0.893618,0.291706,-1.957891,0.137702,0.437822,0.640266,1.219874,1.068892,-0.047349,-0.378268,0.464926,-0.982007,-1.141391,1.275817,-0.52857,0.582925,0.362088,1.493
definition,0.764851,0.581669,-0.34572,-0.779009,0.351614,0.124356,0.347906,-0.916006,0.842463,-0.074806,0.005146,-0.176682,0.349193,-0.251691,-1.173633,1.158786,-0.029374,-0.193279,-0.93288,0.446807,0.151356,0.080758,0.136994,-0.213886,1.314675,-0.701656,0.752591,-0.098457,0.594884,0.075468,-1.27255,-0.501347,0.142542,-0.507327,-0.404072,0.887624,-0.960117,1.158835
product,0.78168,1.170316,0.219985,0.034162,1.588328,0.519105,-0.054977,-0.017021,1.067335,-0.07594,-0.397618,0.177751,0.672649,0.429485,-1.454584,2.384008,0.044496,0.253724,-0.264078,0.175103,-0.199773,-0.104966,0.119668,0.070853,-0.014875,0.79153,0.001185,-0.863183,-0.123928,-0.082591,-1.363346,-0.783331,1.274394,-0.373814,0.083308,-0.90001,0.268328,0.32206
state,-0.83612,0.344687,-0.153563,0.277932,1.074378,0.181203,-0.210015,-0.831048,0.882706,-0.966459,0.162667,0.547667,0.790701,0.082665,-0.064214,0.330537,-0.122097,-0.630075,-0.797914,0.073549,-0.261996,0.35553,0.665431,0.869923,1.119578,-0.376461,-0.156293,1.015411,-0.19584,0.124478,0.534776,0.068038,0.301234,0.067249,0.973017,0.713428,-0.365288,0.532429
sequence,0.960559,1.101719,-0.487241,-0.540454,-0.193251,-0.361223,-0.757866,-0.093711,0.537151,-0.201787,1.143277,0.616788,-0.194966,0.038656,-0.450527,1.245347,-0.726695,0.731361,0.176797,0.352711,0.805565,-0.586894,-0.473808,0.676474,0.658724,-0.028898,0.059536,-0.488408,0.976862,0.634509,-1.39483,1.198735,-0.051385,-0.757213,-0.889848,1.162317,-0.633268,0.753542
distribution,0.961749,0.688031,-0.628614,0.165756,0.488329,-0.022947,-0.354073,-0.36031,1.145017,-0.276946,0.032427,-0.141677,0.776568,-1.259745,-1.207566,1.681719,0.548177,0.458831,-1.080471,0.291246,-0.424461,-0.286487,0.629924,0.403205,0.566383,-0.709282,0.421777,-0.63573,0.979919,0.729322,-0.884499,0.36406,-0.277478,-0.433689,-0.034314,-0.946716,0.284545,0.152017
variable,1.351183,0.198785,-0.515457,-0.577091,-0.55043,0.352396,-0.454554,-0.417138,0.847333,-0.725789,0.821571,0.235054,-0.204024,-0.651061,-0.858396,2.076702,0.187009,0.129677,-0.73938,0.471799,-0.057108,-0.179419,-0.312342,-0.409644,1.198551,-0.998621,0.356296,-0.899776,0.95325,0.148375,-2.120732,0.162376,-0.377274,-0.947505,-0.121527,0.034393,-0.185361,1.063112
solution,0.478378,-0.0406,0.391138,-0.129395,0.882458,0.083186,0.085111,-0.507793,0.80763,-0.144295,0.005586,0.426214,0.17011,-0.074445,-1.091145,1.757827,-0.257255,0.517931,-0.721099,0.133562,-0.216637,1.075721,0.029682,0.312036,0.571093,0.209947,0.4096,-0.623946,-0.023504,-0.594129,-1.873394,-0.328551,0.659939,-0.099959,-0.314103,-0.598173,-0.242367,1.218617
square,0.072922,0.616614,-0.616958,-0.576645,-0.632094,0.815036,0.471666,0.030294,-0.480081,0.087602,1.174902,0.934329,1.84276,-0.122653,-0.493768,0.922324,-1.471472,-0.836467,0.283507,-0.349291,-0.234044,0.2035,1.043668,1.270788,0.191138,0.066319,0.987319,-0.372652,0.05836,0.253607,0.225779,-0.319388,-0.699619,0.203883,-0.012145,-0.002512,0.010641,-0.282219
map,0.493958,1.126347,-0.976144,-0.400121,-0.577669,-0.248861,0.396211,-1.169532,0.387167,1.066515,0.300611,1.052436,0.651078,-0.491863,-0.94067,0.657638,-0.891258,0.673245,-1.698142,-0.775348,0.163806,0.173016,0.269228,0.336832,1.016444,-0.157146,0.478379,-0.261659,-0.022179,0.055757,-0.903129,0.614056,-0.511354,-0.343942,0.321641,0.410295,0.044907,-0.253942
class,0.475673,0.050808,-0.138991,-0.726518,0.569974,1.016999,-0.376828,0.401391,1.241774,-0.371098,-0.108018,0.80223,0.153545,0.429794,-0.237234,1.072964,-0.260493,-1.099909,0.402434,0.430963,0.393664,-0.381705,-0.0452,-0.806595,0.470205,-0.066837,0.36849,0.00955,-0.643202,0.420397,0.251162,0.369115,-0.48854,0.170431,0.704344,0.199824,-1.153959,0.173639
integer,1.385997,-0.258626,-1.050339,-1.521563,-0.508923,1.021783,-0.09327,-1.227049,-0.77836,-0.611792,0.817695,0.587399,0.671842,-0.390911,-0.945147,1.384038,0.252776,0.249537,0.03242,0.227935,-0.48489,0.397085,-0.415949,1.04761,1.833163,1.167432,0.490215,-1.130486,1.230514,0.677376,-2.044439,0.820629,-0.442209,-0.785846,-0.120918,0.575887,-1.099795,1.843051
mean,0.082361,-0.157568,-0.546166,-0.377196,0.596842,0.259351,-0.149727,-0.984027,0.065901,-0.084665,0.420932,-0.361856,0.344337,-0.043591,-0.379756,2.015408,-0.573377,0.072432,-0.190818,0.485192,-0.304773,0.352371,0.595496,-0.967643,0.462454,-0.705326,-0.366813,-0.073734,0.49709,0.236366,-0.321907,0.373689,0.217182,-0.186514,-0.271663,0.930506,-0.149654,0.134408
proof,0.224394,-0.081386,-1.034818,-0.58736,0.380828,-0.014408,0.384235,-1.477606,0.324079,-0.043866,0.498935,0.189507,0.036996,0.361163,-0.236457,0.942614,-0.365056,-0.070063,0.015974,0.243808,0.005068,0.495988,-0.741283,0.018915,0.808249,0.549119,0.978805,-0.042968,0.872436,0.189702,-1.114871,-0.936538,0.667852,-0.51778,-0.642871,0.426925,-0.534943,0.763428
three,-0.423436,0.582878,-0.257208,0.249886,-0.007199,0.107653,-0.315604,-0.120362,0.74929,-0.578991,0.576908,0.561015,0.830785,0.351218,0.468598,1.140351,-1.108859,-0.482148,0.389606,0.393329,-0.07624,-0.609456,0.039352,0.104833,0.105931,-0.259089,-0.057714,-0.236944,-0.220753,0.53987,0.391164,0.496473,-0.251279,0.206183,-0.291803,0.287172,-0.559129,-0.415137
