word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
algebra,-0.10098,-1.584161,0.21484,0.968188,-0.664629,0.377918,-0.357209,1.446151,0.615123,1.779474,0.060533,1.082299,-0.837047,-0.582156,0.209454,0.877991,-0.611436,0.285872,0.096147,-1.673963,0.251504,1.132051,0.042067,0.116564,2.452013,0.886125,-0.325835,-0.296854,0.311666,-1.211219,0.403457,0.421878,-0.281784,0.528388,0.832518,1.421714,0.752806,-0.385985,-0.179472,-0.295969,-1.653915,-1.00436,-0.357998,-0.622268,1.191819,-0.444587,-0.384396
$\mathbb{N}$,-0.120375,0.123256,-0.421503,0.313216,0.379641,0.650307,-0.020113,0.510856,-0.449649,0.874981,0.003606,0.62155,-0.321042,0.228353,-0.958324,-0.872384,-0.45262,0.701307,-0.487013,-0.547248,0.541043,0.559354,0.342711,-0.186793,0.372893,0.980824,0.524687,0.232435,-0.629427,-0.299027,0.704373,0.875803,-1.118558,0.184506,0.144893,0.774695,1.162302,1.340094,-1.002182,0.406653,-0.888661,-0.728278,0.136251,0.042645,0.442199,0.188666,0.020837
field,0.233409,-0.858324,-0.038269,0.108716,-0.489378,-0.372308,-0.602912,0.413901,0.308748,-0.031441,0.239758,0.881256,0.056174,0.142328,-0.444294,-0.31787,0.118183,-0.011098,0.545664,-0.254218,-0.55249,-0.333978,-0.121796,-0.375589,1.333711,-0.066078,0.142379,0.906421,-0.301387,-0.441284,0.779134,-0.171218,1.176854,-0.222219,0.389235,-0.029849,0.482148,1.155577,-0.196379,0.57161,-0.904541,0.694762,0.003012,0.515049,0.615341,-0.999189,0.258827
element,0.265132,-0.054261,0.496601,0.892985,-0.045426,-0.723872,-0.018639,0.643059,-0.559439,0.43273,0.267985,-0.163934,0.320257,-0.064921,-0.842121,0.211346,-0.31646,0.205576,-0.29629,-0.18399,0.153435,-0.566016,-0.014509,0.621211,0.72505,0.621114,0.055896,-0.11266,0.469,-1.948293,0.441002,0.043003,-0.170083,0.435997,-0.131984,0.534563,-0.095706,1.486943,-0.734941,-0.039299,-0.922847,-0.103147,-0.927311,0.222872,0.687243,-0.710372,-0.894062
system,0.242375,-0.456833,0.021369,0.594246,-0.019721,-0.202598,-0.06245,0.341287,0.777111,-0.310165,0.354752,-0.775244,-0.121923,-0.450813,-1.369694,0.264973,-0.573945,0.292768,0.861052,-0.120398,-0.518871,-0.615686,0.152127,-0.423778,1.013565,0.807849,0.674933,-0.617297,0.059014,0.064557,0.029055,0.173478,-0.41416,-0.051235,0.492615,0.060532,-0.741677,1.521338,0.612054,0.331673,-0.635455,0.40966,-1.204463,1.203713,0.478336,-1.380233,-0.289367
matrix,0.804592,-0.686928,0.282121,0.937953,-0.121643,0.104094,-0.038852,1.350405,0.430706,1.450302,0.0542,0.468146,0.581847,0.487619,-0.122112,0.615778,-1.128741,-0.01592,0.428346,-0.68547,0.113563,-0.017509,0.020129,0.812777,0.968076,1.309371,0.728332,-0.022499,0.249548,-1.226021,0.674409,0.621584,-0.348751,0.296185,0.997982,0.809862,0.430357,1.252446,0.167974,-0.104643,-1.198083,-1.116223,-0.366056,0.090988,0.593431,0.118082,0.12717
mathematical,0.472668,-1.746871,0.158743,0.885699,0.391559,-1.286159,-0.686902,0.96606,0.837031,0.201797,0.109866,-0.178079,-0.213877,-0.73611,0.583129,0.816241,-0.049246,-0.040498,0.243089,-0.737433,0.320053,0.938127,0.751854,0.200651,2.841874,0.211256,0.657929,0.031005,0.023272,-0.301731,-0.102757,0.062576,0.931683,0.061486,0.497822,0.045723,0.738229,0.37369,-0.179816,-0.788933,-1.600254,-0.923757,-0.677263,-0.179925,0.450818,-0.549016,0.385033
method,0.096145,-0.50063,0.085564,1.136508,0.233182,-1.148972,-0.545948,0.179799,0.618855,0.082416,0.372265,0.053744,-0.209445,-0.621105,-0.838105,1.327377,0.233716,-0.643458,1.050211,-0.103417,0.288991,-0.018068,0.193306,0.148842,1.063326,1.084999,0.55785,-0.035736,-0.153313,-0.64557,-0.04522,0.12612,-0.1348,0.37596,0.465903,-0.489839,0.396255,1.352218,-0.019416,-0.399924,-0.974608,-0.796941,-1.309125,0.915553,0.571794,-0.399949,-0.010597
finite,0.840508,-1.027949,-0.142206,0.374655,-0.729618,-0.008282,-0.49519,1.085553,0.347892,1.929999,0.397007,0.745826,-0.274425,-0.262096,0.292691,0.803927,-0.812304,0.214055,0.377277,-0.695169,-0.04582,1.08577,-0.046192,0.284949,1.543059,1.417082,0.027989,-0.096815,0.772794,-1.379061,0.252424,0.653875,-0.714155,0.339591,0.600599,1.917004,0.915111,0.647378,0.211535,0.114045,-2.00993,-1.055975,-1.03141,0.017148,0.75383,-0.80537,0.044748
result,0.446621,-0.112711,-0.731728,0.406741,0.249172,-0.774564,-0.106011,-0.071504,-0.153892,0.568395,0.414336,0.448628,0.636637,0.054595,-0.798544,-0.618319,0.124396,-0.825784,1.330847,-0.090784,0.046403,-0.66043,0.234513,0.103306,-0.056425,0.158452,0.02939,0.642712,0.057175,-0.307384,-0.696385,0.928768,-0.213558,-0.1685,0.668631,-0.524482,0.365759,1.040457,0.094469,-0.09412,-0.629403,0.243473,0.076247,0.542789,-0.273502,-1.620587,-0.21306
