word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
algebra,0.671841,-2.658031,0.004952,0.153857,0.054716,0.143957,-0.345165,-0.602033,-1.032098,0.059089,0.080815,0.175947,0.020036,0.6153,0.580716,0.426746,-0.751217,0.83858,-0.993208,-0.09798,0.262638,0.353966,0.461732,-1.546265,1.148195,-0.37996,-1.512134,-1.03257,0.214779,0.041215,-0.734289,0.073247,0.607658,-1.751074,0.335905,-0.240675,-0.815773,-0.051593,2.68161,0.341148,-0.303854,0.174604,-0.259933,0.928836,0.20672,0.719699,-1.017257,-1.927763
$\mathbb{N}$,0.353926,0.512609,0.670495,0.307985,-0.770389,-0.219877,-1.292035,0.28493,-0.362937,-0.637068,0.275618,-1.012109,1.625352,0.030264,1.125097,0.299712,0.133046,1.679136,0.273767,-0.197657,0.212048,0.682175,-0.141313,-0.557157,-0.25196,-0.539402,-1.360514,0.215956,0.448741,-1.137454,-0.583525,-0.183879,-0.125512,1.028933,0.087201,-0.101017,-0.640058,0.169553,2.357678,0.231675,-0.204267,0.611271,2.029056,0.468509,0.561653,-0.214576,-1.50155,-0.700508
field,0.39388,-2.216108,-0.988502,0.432097,0.143079,0.095698,-0.111787,-0.521551,0.379429,-1.548214,-0.136566,0.040761,1.024489,-0.163789,-0.592139,0.107162,-0.652535,1.088541,0.551612,-0.725197,0.632931,-0.036604,0.467515,-1.192131,1.043828,0.853864,-1.639664,-0.302368,0.755877,-0.121685,-0.889587,-0.42308,0.6827,-0.248764,-0.361154,0.355258,0.201398,-0.555061,2.255717,1.325092,-0.415589,0.359363,0.765763,0.230664,-0.15207,0.839848,-0.763223,-1.209648
element,0.168739,-0.669083,-0.417354,-0.244446,0.147736,0.2125,-1.341735,-0.671602,-0.286418,0.449671,0.871484,-0.03606,0.523428,-0.334193,-0.292004,0.315441,0.112568,1.282406,-0.40393,0.490699,0.23151,0.396958,0.076382,-0.992712,0.253274,0.237856,-1.845626,0.148442,-0.408698,-0.724302,-0.194174,-0.511455,-0.100435,-0.442999,-0.143563,-0.214498,0.391768,0.146275,2.582177,0.073629,-1.032106,0.667371,1.491576,0.450123,0.994874,0.116906,-1.555173,-0.97607
system,0.224629,-1.753101,-0.827234,-0.495573,-0.09489,0.165865,-0.728886,-2.190348,0.267375,-0.529908,-1.298605,-0.532169,0.565517,0.072781,0.140944,-0.448949,-0.316898,0.630603,0.216717,0.392266,0.258825,-0.091206,0.85122,-0.624723,-0.222177,1.180623,-1.463089,0.347216,0.206307,0.584357,-0.30977,-1.218474,0.331045,0.278174,-0.278285,0.959624,1.582212,0.13848,1.957593,0.73984,-0.741092,0.647681,0.378389,-0.586395,0.205554,-0.443937,0.00966,-0.641235
matrix,1.573967,0.153735,0.815475,-0.526555,-0.336285,0.089539,-0.78348,-0.148847,-0.712076,0.626832,0.306776,-0.594018,1.514525,-0.168446,0.415766,0.276757,-0.12288,1.418865,-0.715804,0.081135,0.444156,0.410555,-0.040233,-0.795572,0.857902,-0.45279,-2.420467,-0.319503,-0.145295,0.766159,-0.001993,-1.128998,0.571848,-0.381022,0.096937,-0.540645,-0.138944,-0.66228,2.961157,-0.165458,-0.631355,2.014105,0.926705,0.866421,0.509039,0.700583,0.70698,-0.428037
mathematical,-0.189115,-1.122946,-0.027521,0.22249,1.251911,0.584361,1.44249,-1.390293,-0.301389,-1.292126,-1.30008,-0.014627,0.210176,-0.14304,0.012638,-0.727448,-0.131107,0.098018,-0.182107,1.261568,0.029361,-1.232781,0.242199,-1.867502,-0.512292,0.483182,-0.394395,0.447144,0.481975,0.880928,-0.122016,-0.249743,0.852298,0.298868,0.024786,-0.809275,0.554228,0.456167,2.860425,-0.209486,0.046161,0.770417,0.02305,-0.582607,-0.212134,0.126098,-0.341454,-1.816823
method,0.887857,-0.04163,0.187518,-0.898899,0.646558,-0.574999,0.065499,-1.233918,0.606629,-0.000235,-2.155885,0.365025,0.477567,0.134514,-0.114464,-0.847782,0.02489,1.403072,0.77143,1.01474,0.70319,0.656767,-0.49381,-1.811007,0.156804,-0.121036,-1.183619,-0.617673,0.117548,1.074669,-0.702468,-1.276401,0.242556,-1.03753,0.15257,0.249855,0.871761,-0.615072,2.146713,-0.755761,-0.711209,0.334571,0.119835,-0.2971,0.577909,-1.273692,-0.725506,-0.458156
finite,0.181511,-1.303096,-0.648518,-0.402121,-0.050274,-0.372646,-1.638725,-0.181049,-0.076311,-0.392755,-0.181421,-0.759374,0.485168,0.889475,-0.358697,0.993538,-0.362577,0.554899,0.243446,-0.237714,-0.624702,0.021496,-0.272814,-1.14456,0.042757,0.751319,-1.314064,-1.280179,0.513295,0.118475,-0.888971,-0.137535,0.366472,-0.338704,0.368629,0.368429,-0.19318,0.374694,2.813632,0.181752,-0.792311,-0.417394,1.392416,0.550744,0.692936,-0.454907,-0.955386,-1.193338
result,0.23882,-0.532286,0.124754,-0.875427,0.729089,-0.003686,-0.533639,-0.43246,0.662299,-0.931178,-0.736178,-0.586913,0.259393,0.141006,0.153929,-0.135747,-0.288784,0.671904,0.322239,-0.083587,0.859195,-0.030054,-0.016255,-0.722179,-0.154798,-0.86456,-1.518288,-0.812271,0.431412,0.216628,-0.271407,-0.14958,0.148492,0.506684,0.35753,-0.09984,0.678072,-0.15215,2.589044,0.154122,-0.381126,0.687038,0.310503,0.737403,0.430049,-0.821832,-0.477447,-0.068131
vertex,0.81895,0.095147,0.75732,0.262773,-0.601948,0.388289,-1.390459,-0.920132,-0.105812,-0.018622,-0.174229,-2.123367,0.078691,-1.284925,0.038458,0.563884,-0.66317,-0.131109,0.482512,-0.217155,-0.517552,0.214981,-0.622766,1.088397,-0.924413,-0.593092,-0.856652,-0.715924,0.337635,-1.494741,0.721292,-0.263175,-1.017737,0.087213,0.446396,0.098906,1.65729,-1.075016,2.538959,-1.276191,-0.036194,0.529762,0.944574,0.016462,0.481934,0.173285,-2.950053,-0.434963
term,-0.312993,-0.271021,-0.387035,-0.682221,0.444482,-0.484586,-1.218794,-0.873647,-0.088302,-0.783789,-0.314803,-0.597594,0.983647,-1.051126,-0.398384,-0.603646,-0.607403,1.117002,0.163316,0.649222,0.567617,0.281282,0.525331,-1.000212,0.218451,-0.17348,-0.899057,-0.010022,0.237421,0.255978,-0.200887,-0.517021,-0.191141,0.025765,0.508486,0.034468,0.403251,0.056168,2.701211,0.499661,-0.065857,0.093201,0.669488,0.545904,0.170623,0.019616,-0.233786,-0.307385
line,0.778139,-0.241184,-0.151657,0.130416,-0.229925,-0.610203,-1.135719,-1.261208,0.726214,-0.731356,-0.236047,-1.28967,0.538235,0.049949,0.196959,-1.093222,-0.8216,1.684154,-0.106361,-1.116798,0.235648,-0.521159,0.062663,-0.119791,-1.031142,-0.55636,-1.389866,0.014084,-0.613447,-0.560478,1.03322,1.338512,-0.297353,-1.395992,0.02111,-0.108794,0.671499,-0.475423,1.840274,-0.112187,-0.633699,0.494966,0.891467,-1.044311,-0.344631,-0.267693,-1.530819,-0.665701
model,-0.350318,-0.992657,-0.041239,0.279055,0.554043,0.225104,-1.718466,-1.441547,-0.12259,-1.073462,-1.04639,-0.066778,0.682835,0.444075,0.316941,0.07768,-0.377644,0.432791,0.448802,0.377991,0.484044,0.297963,1.347329,-1.476231,-1.744903,0.431884,-1.243333,-1.06702,0.976447,0.717617,-0.260774,-0.009326,1.156431,0.468265,0.023328,1.073353,1.02801,-0.866437,1.144616,-0.095662,-1.308633,0.581462,0.11991,-0.387051,-0.287626,-0.51437,-0.571404,-0.648853
real,0.195812,-0.701503,0.094454,-0.192786,0.550442,-0.842981,-0.866143,-0.366089,-0.085717,-0.690774,-0.973658,-0.708957,0.519194,0.214724,0.141219,-0.043334,-0.78727,1.401686,-0.431517,-0.512033,0.115613,-0.548746,-0.15439,-0.163587,0.017529,-0.043004,-1.617484,0.560489,0.268243,0.249708,0.030674,-0.213371,1.145616,-0.293652,-0.204145,-0.387689,-0.704637,-0.200421,2.643435,0.68628,-1.234783,-0.05529,1.551398,0.141605,0.658932,0.511928,-0.323852,-0.947644
property,-0.722335,-1.162123,0.373686,-1.125419,0.135388,0.132715,-1.201995,0.785855,0.358645,0.015921,-0.22127,-0.826753,0.350342,-0.289104,-0.672609,-0.278641,-0.48427,0.720893,-0.30152,-0.411725,0.403357,-0.16161,0.184843,-0.647661,-0.028662,0.544056,-1.621552,-0.699185,0.229077,0.284176,-0.079065,0.269587,0.38689,0.145392,0.083846,0.365106,0.516283,0.085996,3.037483,0.363211,-0.535943,0.377374,0.685619,0.466686,-0.151171,-0.561055,-0.667836,-0.505368
