word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
field,0.574743,0.095416,0.016738,-0.298868,1.159171,-0.062842,0.715258,0.471706,-0.109975,1.047523,-0.325448,-0.732552,-0.541726,-1.011092,0.289359,-0.260334,0.494284,0.874984,0.14025,-0.490072,0.066449,-0.12826,-0.340347,-0.30378,0.895808,0.025062,0.859984,-0.37195,0.472361,0.134567,-0.352932,-1.038988,-1.177962,0.157404,-0.601473,0.644245,0.558991,0.751399,-0.21806,0.198009
element,0.864742,0.221364,-0.244271,0.575026,0.060769,0.001637,-0.273038,-0.291925,0.413498,0.37121,-0.618091,-0.483882,0.112633,-1.791993,-0.01494,-0.24741,-0.466086,0.19766,-0.653013,0.511808,-0.798151,0.17346,-0.254397,-0.306175,0.039782,-0.159537,-0.092807,0.588837,-0.040764,-0.840153,0.446826,-0.483317,-1.342539,0.400726,0.05798,0.80194,0.616743,-0.014537,-0.274252,1.655732
system,0.558923,0.687634,-0.822264,0.486032,0.557732,0.768524,0.406216,0.349192,0.312662,1.795676,-0.275051,-0.750006,-0.327279,-1.495476,0.458095,-0.741722,0.487595,-0.4519,-0.040199,-0.365724,0.362319,-0.641554,-1.097388,0.556585,-0.108875,0.026288,0.375175,-0.074951,0.253381,0.608882,0.204228,-0.277394,-0.491492,0.614864,0.231301,0.639558,-0.285306,-0.392968,-0.038742,1.979625
matrix,1.096373,0.142328,0.172397,-0.037206,0.568263,-0.138536,-0.435259,-0.55026,0.400446,-0.190531,-0.295372,0.222842,0.010149,-1.842643,0.105752,-0.761291,-0.857635,1.865978,0.169007,0.536727,-0.210091,-0.294358,-0.220756,0.369079,-0.087,-0.09588,0.404855,0.617067,-0.59818,0.721095,0.034019,-0.079725,-0.440926,0.189581,-1.723527,0.595455,0.291685,-0.548981,-1.011561,2.246824
mathematical,2.257554,0.139841,-0.393432,-0.135978,1.157948,-0.629314,-0.26137,-0.15469,0.64734,-0.633938,-1.023607,-1.138292,-0.237615,-0.987221,-0.0909,-0.887623,0.276828,0.538915,0.271235,0.205123,0.404266,0.726784,-1.263646,1.375793,0.699525,0.031922,1.077404,0.063573,-0.648658,0.069123,-0.259327,-0.908864,-0.783691,-0.430689,-0.728371,-0.483636,-0.730886,0.56463,-0.704173,1.091685
method,1.148328,-0.077019,-0.315126,0.662067,0.60069,-0.112347,-0.68327,0.304273,0.993204,0.412358,-0.740271,-0.98643,0.169175,-1.53732,0.305074,-0.793988,0.293561,0.288247,0.35022,0.320387,-0.058521,-0.759392,-0.498313,0.425766,0.300855,0.112377,0.547111,-0.014838,0.504548,0.285321,0.402428,-0.481946,-0.590891,-0.944891,-0.282144,0.205676,-0.450329,0.222853,0.199715,2.333747
finite,2.135619,0.175214,0.34351,-0.165467,0.551816,-0.497176,0.452148,-0.998652,-0.14273,-0.798016,-1.217244,0.010222,0.336686,-2.075099,0.493605,-0.810023,-0.996528,1.967315,-0.123384,0.139913,0.129249,0.460875,0.045815,0.536704,0.287211,0.391371,0.068726,-0.622964,-0.259656,0.391975,0.136697,-0.558365,-0.23636,0.744509,-1.439286,-0.030167,-0.395356,-0.758904,-0.882219,2.694133
result,0.380864,-0.322027,-0.675309,-0.013574,0.398864,-0.410293,-0.082959,-0.300247,-1.037812,1.492908,0.050729,-0.710061,-0.557954,-0.998466,-0.239005,-0.116868,0.233445,0.105301,-0.067236,-0.108375,0.666461,-0.962198,0.070199,-1.227357,-0.144573,0.278946,-0.011185,0.106187,0.264591,0.348351,0.254246,-0.347325,-0.809398,-0.748316,-1.049101,-0.129832,-0.165356,0.131258,0.572707,1.06527
vertex,1.062363,-0.343554,-0.009866,-1.82947,0.034444,-0.04231,0.028651,-0.878548,0.087251,-1.063058,-0.666968,1.181598,-0.085237,-1.115725,0.969999,-0.950819,0.014336,1.117949,-0.683397,0.662512,-0.919442,-0.406154,-0.233789,-0.247009,-0.13542,0.886431,0.099877,0.904767,-1.551083,0.581192,-0.104892,-0.496656,0.081108,1.38732,-2.008493,-0.047922,0.407296,-1.407206,-0.989047,1.972306
term,0.94207,0.409885,-0.654044,0.510787,0.501861,-0.073959,-0.38463,-0.250024,-0.021618,1.17878,-0.555004,-0.253324,-0.717365,-1.206286,0.207966,-0.466651,-0.109067,-0.178845,0.170752,0.224093,0.626395,-0.090414,0.707846,-0.299147,0.035787,-0.038562,0.291256,0.092032,0.404654,-0.663058,0.471736,-0.292109,-0.398308,-0.335593,-0.47693,-0.185919,-0.229175,-0.402818,0.253829,1.083947
