word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
line,-0.853065,-1.078505,0.476523,0.484441,-1.281831,0.082283,0.371696,0.499781,-0.301498,-0.714952,0.894745,0.196027,0.146425,0.134091,0.521423,0.186387,-0.384231,-1.782306,-0.344843,-0.239255,0.627391,-0.8402,0.203571,-0.041078
model,0.153638,-0.789804,-0.252717,0.489066,-1.020617,-1.032105,0.5557,-0.116324,0.15156,-0.185288,0.67769,0.742949,0.533446,1.312207,-0.610731,-0.365125,-0.138668,-1.177212,0.538544,0.887428,-1.341324,-0.29382,-0.020714,0.193358
real,-0.000513,0.310323,-0.204103,-0.81762,0.161493,-0.481573,-0.361363,0.100962,0.232795,-0.925009,0.173926,0.630985,0.159076,0.325917,-0.008458,0.255169,-0.647513,-1.289721,0.536756,0.110935,-0.888102,-0.485294,-0.52877,0.458875
property,0.500929,-1.041413,0.541172,-0.207245,-0.287967,-0.043567,0.218664,1.455421,0.187384,-0.762664,0.440434,0.36578,0.310751,-0.883976,-0.374047,-0.380574,0.74387,-1.425886,-0.005125,1.474926,0.118869,-0.392302,-1.26368,-0.24231
geometry,-0.701237,-0.850683,0.282711,1.307644,-1.795988,-0.320949,0.82901,0.672097,1.612459,0.054216,-0.215054,1.021346,0.239585,0.070102,-0.235677,-0.919925,-0.082553,0.654066,1.032039,0.848964,-1.451667,-0.403027,-0.011376,-0.292323
complex,0.09628,-1.187761,0.393892,0.347835,-0.71464,-0.435483,-0.01217,1.012338,0.674947,-0.63303,0.613806,1.122414,0.629088,-0.865164,0.446433,-0.598105,0.096939,-1.250797,0.593136,0.602475,-0.591227,-0.196268,0.446678,-0.092006
linear,-1.290413,-0.84206,-0.079425,-0.127984,-2.184205,-0.882558,0.751178,0.708809,0.511985,0.883969,1.371142,0.531521,1.137501,-0.336891,0.105234,-0.868503,0.005202,-0.123529,-0.358555,0.695802,-2.159348,-0.840337,-0.234993,-0.860729
polynomial,-0.253164,0.275837,-0.539759,0.61729,-2.407304,1.355692,1.000365,0.289858,0.345679,0.175244,0.299627,0.415447,0.510988,-0.622457,-0.279094,-0.092362,0.875946,2.070334,0.236845,1.528877,-2.347204,-0.944604,-1.063432,-0.327376
algorithm,0.600703,-0.282091,0.421086,-0.619559,-1.951626,0.2013,0.945204,1.059315,0.143665,-0.390374,-0.358127,0.804211,0.905138,0.517812,-0.672962,-0.160733,0.007074,0.610356,0.608653,1.392842,-2.645783,-0.838448,-0.165921,-0.2274
mathematician,0.127116,-0.149526,-0.614193,1.826843,1.115308,0.210717,1.139623,-0.441342,0.687157,1.381973,0.155664,-0.133109,-2.2154,0.036404,-1.011826,-0.308298,0.08702,0.57458,-0.305686,0.503884,-2.332015,0.814221,0.131836,0.097794
definition,-0.213269,-0.066631,-0.115128,-0.259963,-0.873936,0.101379,0.540479,1.056542,-0.121947,0.467556,-0.726023,1.130265,1.622749,0.405453,0.215297,0.065818,-0.065088,-1.190754,0.23943,1.506107,-1.189071,-0.165263,-0.686999,-0.15646
product,1.756803,-0.255052,-0.522406,-0.413639,-0.961767,-1.704057,-0.453342,1.031982,0.044995,-0.892533,0.72301,1.277972,0.687451,1.021551,-0.401121,-0.330025,0.656973,-1.637218,-0.040985,1.284854,-0.118042,-0.27156,-0.582161,-0.567637
state,-0.239049,-0.387655,0.92376,-0.075269,0.992115,0.497385,-0.353927,0.428218,0.59466,0.165229,0.146893,-0.32705,0.40461,-0.124215,0.501956,0.179465,-0.063807,-2.332828,-0.282198,1.264858,0.03047,-0.665332,-0.337314,0.330856
sequence,-0.534951,-0.543369,-0.117802,-0.877389,-1.161943,-0.067672,0.54736,-0.158328,0.018074,-0.583964,-3.3e-05,1.549762,1.314497,-0.061815,0.45787,-0.975433,-0.801959,-0.441379,0.463166,0.411646,-1.370117,-0.146653,0.053103,-1.154135
distribution,0.175869,-0.979316,-1.331666,-0.855184,-0.921849,-0.687443,-0.12785,1.438127,-0.368505,0.745317,0.003626,0.358613,0.956497,0.137345,0.039269,-1.138792,0.682763,-1.290307,-0.068559,0.757196,-0.573391,-1.024247,-0.257925,-0.509229
variable,-0.476773,-1.229791,-0.630901,-0.297464,-1.944952,-0.357735,1.004263,0.283091,-0.407471,-0.065843,-0.097343,1.390708,1.728245,0.447096,0.008074,-1.062079,0.451212,-0.265381,0.024765,1.052967,-1.418286,-1.034761,-0.421699,-0.456461
