word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
line,0.002245,-1.095979,-0.81036,-0.922166,-0.74993,0.979643,-0.563728,-0.088075,0.810926,-1.227675,-0.051381,-0.348156,0.650271,-0.408622,-1.050523,0.960548,-2.03581,-0.600589,0.513019,0.064503,-0.510359,1.139762,-2.965821,0.505906,-0.845154,0.755499,-0.077404
model,-1.479076,0.530433,-0.234561,-0.312771,-0.997884,0.571794,-0.468843,-0.399076,-0.360253,-0.397121,-0.206208,0.139882,0.081795,0.447933,-2.700573,0.676046,-1.11741,-0.616745,-2.52781,-0.998067,-0.725765,0.515732,-1.422543,-0.666628,0.42991,0.491713,-0.171215
real,-1.080696,0.263367,-1.41109,0.279809,-1.31811,0.487387,0.260605,0.153383,0.3081,-0.70816,-0.923767,-1.307129,0.123676,-0.326663,-0.876686,0.226476,-1.164953,0.832334,-0.367818,0.424217,-0.515571,0.092595,-2.677573,-0.535001,-1.108229,-0.315769,0.660871
property,-1.123688,-0.343269,-1.165021,-0.044073,-1.223477,1.581409,0.423065,0.180012,-1.033055,-1.137657,-0.295346,-0.023791,0.263118,-0.6677,-0.937196,-0.135267,-1.667611,0.229371,-1.125421,-0.00375,-0.175231,0.006247,-1.977355,-1.184722,-1.102289,-0.735296,-0.13115
geometry,-0.606199,-1.375157,-1.863339,-0.483849,-1.808335,0.975714,-0.273267,-0.100448,-0.434391,-1.714065,-0.554823,-0.975016,-0.457741,-0.639146,-1.506124,0.652214,1.073465,0.503058,-0.918352,0.574115,0.045664,1.369822,-1.997256,0.170567,-0.103061,0.799317,0.102158
complex,-0.178914,0.15028,-1.89429,-0.249189,-2.000397,0.580393,-0.051966,0.050566,0.937325,-1.288288,-0.177931,-1.250289,0.016221,-0.112652,-0.985848,0.180256,-0.299767,0.847303,-0.703392,-0.11095,0.031227,0.13996,-2.456673,-0.687481,-0.727879,-0.532,0.579701
linear,-1.198938,0.080968,-1.449625,0.193257,-0.976042,0.330585,-0.265913,-0.476255,-0.215457,-1.217649,-0.392261,-0.888541,0.694927,0.056337,-0.567052,1.049486,-1.372596,0.484282,-1.941914,0.096308,-0.205639,-0.935923,-2.465592,-0.241482,-0.217271,-0.777855,0.993824
polynomial,-1.759528,1.850664,-1.567762,0.236416,-2.042485,0.578116,0.420731,-0.437313,0.139976,-0.825022,0.648672,-0.221234,0.364406,-0.20706,-0.236678,0.386994,-0.739394,0.619522,0.003431,1.788938,-0.233825,-1.771837,-2.281712,-0.027865,0.016664,-1.415005,0.590381
algorithm,-1.520657,1.134072,0.066103,-0.75941,-1.959899,-0.798897,0.589837,-0.791065,-1.204047,-0.782868,-0.076489,1.065151,0.33766,0.427335,-1.028764,1.338295,-0.839634,-1.62906,-1.208339,1.007031,0.838305,-0.843887,-2.632814,0.916468,0.34434,-1.206015,0.5909
mathematician,0.176845,0.785537,-0.280228,-0.06264,-2.88434,1.140264,0.902045,1.34842,-0.088136,-0.566571,-2.301876,0.652653,-1.787264,0.614558,0.539928,0.273066,1.418347,0.970254,-0.676209,0.430196,-0.339826,0.512528,-2.213045,0.389997,1.511122,2.331536,0.476839
