word,1,2,3,4,5,6,7,8,9
category,-0.891881,-2.266882,0.178934,0.525244,2.603688,-0.505527,-1.261959,-0.083135,-0.70464
surface,0.05035,-0.940092,0.278518,1.082806,3.112425,-0.091871,-0.341542,-1.169508,-1.601591
constant,0.544157,0.378619,-0.958454,2.536775,2.813464,-0.084021,0.35506,0.461885,0.131513
application,-1.079597,-0.709994,-0.971089,0.057119,3.445767,-0.464597,1.386055,-0.037517,0.833382
integral,-0.405538,-0.028211,-0.147556,2.612015,3.120231,0.156753,0.608548,0.289115,0.260067
coordinate,0.602336,0.589586,-0.311217,1.925398,3.318882,-0.966513,0.399466,-1.126258,-0.895764
complete,-0.71411,-1.811056,-1.284598,-0.003303,2.78655,-0.301867,-0.549051,1.122943,-0.364108
root,0.407601,1.028648,-0.154899,1.060799,3.197903,-1.001028,-0.621797,1.113148,0.256885
length,1.390465,0.619257,-1.243993,0.650164,3.035522,-1.531138,-0.662993,-0.087656,-0.48796
continuous,-0.466013,-1.714752,-1.466556,2.745102,2.52213,-0.635673,-0.281084,0.400403,0.177968
logic,-1.95624,-0.874597,0.58035,-0.552016,2.715099,0.033108,0.495211,1.5141,1.452962
external,-1.769973,0.012066,-0.298699,-0.881689,3.046381,-0.638069,1.715326,0.24256,-0.962422
side,2.163794,1.031027,-0.542952,0.614945,3.273849,-0.396567,-1.150795,0.042972,-1.382869
unit,0.785232,0.330628,-1.132699,1.267446,2.941691,-1.108764,0.177541,-0.445457,-0.856252
equivalent,0.227881,-0.764092,-0.302559,1.218717,3.100287,-0.482618,-1.27832,0.926362,0.555007
conjecture,-0.933607,-0.65007,0.838234,0.70904,2.466424,1.115168,-0.435054,1.746503,-0.220582
infinite,0.039558,-0.681181,-0.444674,0.768375,3.275334,-1.012614,-0.923697,0.658886,0.161593
operation,0.114498,-0.086823,-0.681642,0.39299,3.093443,-0.80989,-0.200829,0.476235,0.555166
angle,2.269492,1.362747,-0.359832,1.023184,3.05348,-0.559104,-0.647635,-0.691935,-1.336777
random,-0.116301,-0.431352,-2.108958,1.347966,2.418956,-1.066226,0.578668,0.261528,1.464041
basis,-0.133281,-0.191345,-0.480994,1.633224,2.957123,-0.99582,-0.301793,0.165535,-0.041466
natural,-0.211803,-0.731962,-0.650591,0.810482,3.200929,-0.063102,-0.389939,0.692119,0.36663
power,0.281085,0.62731,-0.884652,1.008513,3.061757,-0.674337,0.155841,0.534954,0.566911
area,0.867428,-0.102461,-0.669359,0.031277,3.447374,-0.150597,0.253858,-0.70957,-0.654598
open,-0.355374,-2.030735,-1.903298,-0.091928,2.52898,-0.938073,-0.649693,0.416503,-0.827039
solve,-0.129754,0.161011,-0.537949,0.435726,3.195752,0.042888,0.543802,0.715017,1.260262
pair,0.919518,-0.243688,-0.748385,0.701478,2.919721,-1.202325,-1.333829,0.432253,-0.658
hold,0.145996,-0.812334,-1.781278,0.594267,2.577135,0.537777,0.238447,1.450709,-0.570727
limit,0.138232,-0.81777,-1.362808,1.770479,2.57169,-0.275791,-0.296606,0.664793,0.527568
special,-0.335464,-0.574998,-0.344916,0.741918,3.442661,-0.211301,0.11216,-0.020919,-0.127077
generate,-0.226919,-0.618191,-0.488731,0.881662,2.974881,-1.400984,-0.788564,0.357522,0.193409
coefficient,0.186965,0.923803,-0.544275,2.497673,2.84481,-0.688597,0.331758,0.593835,0.804883
standard,-0.318368,0.019899,-1.053355,0.565169,2.923239,-1.035166,0.815784,-0.042515,0.643534
identity,0.014229,0.369504,0.657309,1.903159,3.226334,-0.000136,-0.750479,1.014235,-0.541468
