word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
field,-0.863766,-0.171896,-0.47972,-0.370771,-0.165853,-0.385301,0.183977,-0.679694,-0.099403,0.499625,-0.226965,0.278936,0.341699,1.283641,0.343037,0.359163,-0.097849,-0.68651,-0.539379,-0.870987,-0.216274,-0.962466,-0.52332,0.443265,-0.037389,-0.130394,0.616126,0.413325,0.377006,-0.522958,0.613811,0.216946,-0.106491,0.326068,0.02366,-0.23296,0.145227,-0.093284,-0.66278,1.673389,0.116365
element,-1.270198,-0.524838,-0.379692,-0.537557,-0.158174,0.402557,-0.757035,-0.880953,-0.928934,-0.699453,-0.097088,0.044294,0.357923,0.545308,-0.006535,-0.876142,0.719129,0.75203,-0.741539,-0.604245,-0.439773,-1.054152,0.038599,-0.469788,-1.192677,-0.391389,-0.266542,0.367883,-0.281553,0.078231,-0.701684,0.123491,0.821252,0.424573,0.150327,-0.018171,-0.673903,0.618265,-0.45989,0.376424,0.165556
system,-2.339625,-0.658176,-0.223313,0.047509,0.000937,-0.345759,-0.603059,-0.60983,-0.428628,-0.184312,0.125714,-0.067153,0.063857,1.964337,-0.552641,-0.257639,0.18984,0.764975,0.580991,-0.549332,0.304728,-0.665671,-0.253886,-0.824505,-0.798093,0.096851,-0.213512,-0.269715,0.57827,-0.296728,0.458786,-0.498161,0.538243,0.401653,0.526573,-0.180994,0.391187,0.440918,0.097475,1.266453,-0.707771
matrix,-1.141161,-0.62189,-0.387191,-0.471975,-0.542192,1.349973,-1.495766,-0.671055,0.221199,-0.394624,-0.689262,-0.730813,-0.834262,1.135396,-0.833373,-0.284148,0.485023,0.248933,0.46912,-0.557017,-0.717968,-0.583561,0.020244,1.178552,-0.720078,-0.306558,0.425999,-0.270958,0.153873,-0.953387,-0.410598,-0.140891,0.903103,0.172673,0.574507,-0.221924,-0.580113,0.176998,-0.866959,-0.154318,0.024965
mathematical,-1.33471,-0.546625,-1.038198,-0.835592,-0.77559,0.578175,-0.495835,-1.624669,0.087207,1.173848,-0.819263,0.49386,-0.26315,0.88843,-0.688655,0.611942,-0.88737,0.712407,0.771226,0.306835,0.420109,-0.458103,-0.370879,1.126971,-0.784337,-0.951878,-0.323182,0.591312,-0.068374,-0.172654,-0.292945,-0.028959,0.858023,0.010808,0.062075,0.998309,0.767153,0.157876,-1.338808,1.390173,0.932636
method,-2.058674,-0.423776,-0.480454,-0.404231,0.125293,0.928836,-1.096375,-0.868923,-0.097246,0.473897,-0.718072,0.495346,0.108617,1.461545,-0.617578,-0.280661,-0.011591,0.539525,-0.009328,-0.342207,0.533577,-0.472324,-0.63172,0.01307,-0.662662,-0.392172,-0.038824,0.36554,0.698763,-0.090364,0.272853,-0.360642,0.640612,0.454711,0.256343,1.401521,-0.689058,0.61652,-0.310394,0.666235,0.543653
finite,-1.507255,-0.603798,-0.334221,-0.841034,-0.842057,1.695604,-1.450623,-1.905614,0.762948,0.622576,-0.422838,0.19704,-0.608795,1.610711,-0.573367,0.664243,0.014044,1.249703,0.594686,0.050706,-0.500126,0.014822,-0.610368,0.741032,-1.109349,-0.410166,0.412306,0.489087,-0.367349,-1.117677,-1.098688,-0.278694,0.170593,-0.250743,0.125837,-0.388136,-0.112823,-0.391445,-0.856039,0.061052,-0.126605
result,-1.84775,-0.10255,-0.648068,0.101831,-0.464584,0.976514,0.511116,-0.348829,-0.561176,-0.550309,-0.040207,0.079865,0.547644,0.811977,-0.087927,-0.294548,0.080327,-0.903574,-0.013761,-0.232926,-0.233517,-0.696816,-0.528532,-0.192608,0.524482,0.615286,-0.011715,-0.613775,-0.287797,0.131785,0.944669,-0.309879,-0.443432,0.02481,0.020767,0.739223,-0.873163,-0.138895,-0.496378,0.49167,-0.600964
vertex,-0.578108,-1.897457,-0.534194,-0.253314,-0.513147,0.828759,-1.855131,-0.961622,-0.113043,0.660263,-0.137143,-0.500039,-1.021805,0.883036,-0.629545,0.367689,0.163799,0.546266,0.486113,0.277182,-1.121882,-0.160342,0.158458,1.067638,-0.488801,0.051201,0.731353,-0.666984,-0.733774,-1.515212,-0.766826,-0.145646,0.178169,-0.403886,-0.665805,-0.938156,0.128026,0.031979,0.0489,-0.682974,-0.082747
term,-1.859764,-0.150938,-0.714246,-0.223708,0.262152,0.509912,-0.867576,-1.198346,0.039133,-0.59792,-0.022318,0.677113,0.186,0.015919,-0.03434,-0.418777,0.048559,0.070862,-0.130064,-0.156091,0.129786,-0.177525,-0.280384,-0.050223,-0.088737,0.173536,-0.26893,-0.154717,-0.183971,0.65724,0.089893,-0.247251,0.094015,0.272318,0.026146,0.436601,-0.163246,-0.076414,-0.099694,1.02877,-0.434335
