word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
type,-2.101342,0.827294,0.105234,1.366608,-0.510094,0.474127,0.260332,0.029404,-0.067992,0.722325,-0.114171,-0.618103,-2.469272,0.214805
operator,-1.872842,-0.199917,1.292746,2.32326,0.210213,1.112479,-0.604468,0.605675,0.022789,-0.85264,0.385154,0.154814,-2.320003,-0.547307
prove,-1.575987,-2.013909,0.0565,0.980199,0.489347,0.907908,0.700518,-1.279515,1.313629,0.591784,-1.207118,-1.033759,-2.249011,0.266738
probability,-1.078891,0.803038,0.349224,1.05778,1.111341,1.183291,-0.550537,-2.485342,-0.475813,-0.223212,-0.88525,0.647499,-2.525082,-0.464058
structure,-2.866038,0.379968,0.335099,2.002018,-0.877979,0.80687,0.782242,0.041934,-0.23064,0.269045,0.517104,-0.245132,-1.580807,1.346215
representation,-2.816263,-0.197354,0.739521,1.682405,-1.063713,0.647444,0.063163,0.936328,0.615497,0.161554,-0.186851,0.023678,-1.84523,0.169351
series,-2.028687,-1.032796,-0.297223,0.956697,-0.28594,0.876008,-0.295221,-0.502391,0.073407,0.731817,-0.522429,1.47372,-2.074438,-1.055833
prime,-2.665909,-1.41766,-1.5269,-0.310779,-0.377174,-0.779845,-1.235676,-0.829426,1.123234,0.289381,-1.790824,0.065474,-2.167638,-0.534566
measure,-2.0482,0.221679,-0.583105,1.711518,0.942691,1.418065,0.003011,-1.750181,-0.53053,-0.549485,0.215895,0.100423,-1.640311,-0.415205
equal,-2.858183,0.822265,-1.278416,1.02542,0.219607,0.16394,-0.113229,-1.471982,0.468913,-1.114789,-0.817067,-0.248395,-1.823459,-1.266114
lie,-2.706311,-0.288525,-0.112297,2.316224,-0.231509,-0.189057,1.129046,0.579535,0.766785,-1.069613,0.096906,0.202274,-1.193487,0.290582
manifold,-3.216157,-1.796706,0.115919,2.475471,-1.009467,0.68387,1.66776,-0.435787,-0.553156,-0.838305,-0.393378,-0.341237,-0.181297,1.250559
degree,-2.426248,-0.186515,-0.016458,0.883684,-0.549947,-0.235983,0.052129,-1.516093,0.254392,-1.239229,-1.123088,1.197331,-1.619179,0.006848
differential,-2.112331,-1.121005,0.801766,2.413646,-0.149608,1.555591,0.469614,0.061189,-0.556774,0.066122,-0.175799,1.536041,-1.477567,-0.208594
$\mathbb{C}$,-1.697324,0.204098,-0.256154,1.186636,-0.395385,-1.092715,0.793564,-0.627662,-0.082781,-0.817773,0.569784,-0.852404,-2.729503,-1.132894
regular,-2.818401,0.488597,-1.661653,0.187521,-0.172825,-0.327967,1.950853,1.000443,-0.285464,-0.794753,-1.819397,-0.826471,-2.010976,1.020918
second,-1.880254,0.437982,0.087701,0.930135,0.013824,0.590912,0.586818,-0.97572,0.977473,-0.333932,-1.186624,0.735214,-2.110286,-0.663119
triangle,-2.333557,0.598283,-2.773803,-0.001153,0.888981,0.788297,1.665441,-0.017722,0.631748,-0.767863,-0.786392,-0.427832,-1.246513,-1.437711
subset,-2.666017,0.144221,-1.317387,0.88212,0.29066,-0.444542,-0.300032,-1.392022,-0.302654,-1.413574,1.135744,-1.131522,-2.962721,0.884682
circle,-2.68621,-0.053481,-2.567313,0.722837,0.209269,0.817321,2.128903,-0.798261,0.39482,-1.07619,0.235232,-0.053904,-0.6263,-1.203872
