word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
term,-0.238452,1.551841,-0.02117,-0.921346,0.120098,0.320376,-0.843045,0.474109,0.488979,-0.336568,-0.373814,0.155062,0.715725,0.765828,-0.180955,-0.407973,0.060018,-0.062706,0.282772,-1.496233,0.688537,-0.107621,0.300866,-0.639144,-0.453761,-0.048551,-0.053686
line,0.543395,1.095228,-0.243999,0.863995,0.209852,0.708913,-0.554139,-0.0794,-0.085296,-0.328251,-0.550115,0.399363,0.560658,-0.561859,0.311361,0.763771,-0.166534,0.424695,0.176008,-1.310317,-0.747863,1.126248,0.040964,-0.76442,0.420775,-1.364869,0.053772
model,0.267039,1.110796,0.696357,-0.339643,0.848854,0.177041,-0.899235,-0.285278,1.023516,0.015175,0.752651,-0.262844,-0.035193,-0.88332,-0.416398,-0.774886,0.643697,1.148121,0.701887,-1.263324,0.637564,0.531177,-0.166916,-0.212959,0.27009,-0.877803,-0.109559
real,-1.097659,0.866057,0.072525,-0.05461,1.51875,0.393941,-0.534131,0.638855,0.242113,-0.045064,0.225549,-0.179513,0.151814,0.492242,-0.409375,0.112885,0.119847,0.323673,-0.0983,-1.123871,0.542545,0.45619,-0.500602,-0.070988,0.865825,-0.56371,-0.222147
property,0.057595,0.662695,0.798081,-0.444879,0.507061,0.168804,-0.983398,-0.108955,-0.468579,-0.792917,-1.036739,-0.224301,1.267492,-0.238839,-0.031719,0.34052,0.521286,-0.249052,-0.446103,-2.328296,0.937809,0.138913,-0.124159,-0.392889,-0.37338,-0.299143,0.515718
geometry,1.489235,0.168186,1.340698,0.07261,0.632447,0.526009,-0.658313,-0.373372,0.110705,0.451784,0.584472,-1.57496,-0.034115,0.064913,0.526986,-0.745785,1.975851,-0.362707,0.253412,-1.920971,0.243754,0.543501,-0.738922,-0.802702,-0.622183,-0.521778,-1.552914
complex,0.030022,0.967036,-0.280555,0.662085,0.543785,0.48328,-0.940597,-0.568521,-0.284912,-0.575926,0.247423,-0.592365,0.508638,-0.290732,0.213892,-0.206949,1.054348,-0.884213,0.206003,-1.813258,0.980129,0.495478,0.152407,-0.681181,0.223834,-0.746853,-0.487037
linear,0.630227,0.335017,0.796229,0.255625,0.302813,0.351439,0.60747,-0.636775,0.716906,-0.379562,0.719071,-1.62164,0.901511,0.502775,0.348731,-0.508618,1.628757,1.536902,0.779788,-2.724317,-0.393618,0.652274,0.637876,-0.682998,-0.653481,-1.611118,-0.210212
polynomial,0.56745,-1.378349,0.553492,-1.715796,0.396193,1.544641,0.188273,-0.005235,0.716429,-0.204152,0.975518,-2.924386,0.542836,0.875803,-0.34696,-0.369094,0.423229,-0.061884,-0.269733,-3.37999,0.28044,1.226833,-0.713256,-0.550937,-0.217352,-0.207465,-1.324082
algorithm,0.842213,0.122061,0.30398,-0.669036,1.549315,0.486713,0.052582,-0.663392,0.950351,-0.350114,1.460255,-1.975414,0.403243,0.251478,-0.724679,0.001801,0.321808,0.86024,0.12631,-2.287014,0.52966,1.012222,-0.155965,-0.153372,-0.871829,0.498188,-0.769834
