word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
product,0.322337,1.585747,0.282644,-0.653793,2.138824,-1.103919,1.406938,0.070087,-0.262964,-0.852277,-1.727627,0.78917,-1.807763,0.602299,0.572163,0.531092
state,0.073014,0.944015,-0.049496,-1.12326,0.595867,-1.557967,-0.698379,1.13243,-0.737606,-0.324389,-2.089723,-0.665883,-1.906122,-0.75781,0.450328,-0.443362
sequence,-0.209936,0.301275,0.044521,-1.078574,2.007334,-2.087277,0.217908,-0.450203,0.28402,-0.475367,-1.033101,-0.277466,-1.734586,0.519885,1.185617,0.036021
distribution,-1.273594,0.620065,-0.759269,-2.112423,2.53961,-1.596536,-0.246681,0.6646,-0.865734,-0.420182,-0.56659,0.547677,-1.258072,0.667664,-0.937737,-1.357393
variable,-1.142431,0.865129,-1.074113,-1.512323,2.004746,-1.9455,0.73474,0.322768,-0.660608,0.865256,-1.46863,-0.374098,-2.079842,-0.629431,-0.830607,-1.09578
solution,-0.663252,0.463135,0.405897,-0.164561,1.401503,-2.480241,-1.258234,-0.062892,-0.089727,0.204026,-1.066126,0.173744,-2.459613,0.359055,-1.391928,0.090724
square,-0.201967,0.62824,-0.062638,-1.187176,2.94731,-0.914186,-0.991465,-0.794828,1.144497,-1.344932,-0.349555,0.483398,-2.214566,0.072407,-0.562369,-0.021207
map,-1.124403,1.591803,-0.455793,-0.019607,0.489422,-1.184924,1.299245,0.610958,-0.597379,-1.262172,-1.95727,0.814351,-2.056496,0.429166,0.251015,1.453959
class,-0.059297,1.080395,-0.133696,0.468702,1.132396,-2.137152,0.327732,-0.569397,-0.781799,-0.551296,-2.140317,-0.300288,-1.251691,-0.400786,0.910388,0.496116
integer,0.260576,-0.116587,-0.445221,-0.350826,2.909335,-2.809589,0.28262,-0.876996,0.566132,-0.130503,-0.960683,0.06755,-2.021731,0.29974,0.693675,0.696156
mean,-0.879108,0.418556,-0.734338,-0.77099,2.187392,-2.146178,0.476168,0.051271,-0.087646,-0.650467,-1.382423,0.499763,-1.379647,-0.188172,-0.709624,-0.396135
proof,-0.440983,-1.238869,1.143046,-0.712856,1.289469,-2.056188,-0.383395,-0.941984,-1.526949,0.015546,-2.029529,0.944507,-1.530977,-0.039818,-0.257935,0.456927
three,0.179876,0.590569,0.024821,-0.772031,1.610365,-0.737249,-1.017114,-0.675165,0.363985,-1.944448,-2.138383,0.369702,-1.972689,-1.417315,-0.494511,0.35213
dimensional,-1.059411,2.217204,0.005068,0.698107,1.891381,-0.842143,-0.532763,-0.961816,-0.485707,-1.173052,-1.630601,0.019417,-2.379442,-0.086276,-0.48021,1.314062
zero,-0.358426,0.904506,-0.607236,-0.878431,1.788814,-2.670155,0.495483,0.421645,0.982693,-0.335315,-1.352077,0.397642,-1.758518,-0.244856,-0.281235,0.402993
algebraic,0.288915,1.096423,-0.063937,0.676327,1.048065,-2.309436,-0.348384,-1.08776,-2.123499,0.358497,-1.429094,0.546418,-1.875742,-0.598732,0.770765,1.772629
formula,-0.417866,0.094101,0.799066,-2.353451,2.266463,-1.438343,0.687639,-0.281379,-0.612853,0.466487,-1.280753,0.926217,-1.673583,0.490624,-0.086137,0.778163
ring,0.679436,1.278251,0.331623,0.691193,1.228197,-2.095526,1.4194,-0.654433,-0.303614,-0.757468,-1.078299,0.698658,-1.749393,0.042625,2.010803,1.460262
edge,-1.360055,0.393959,-0.488776,-0.747644,1.163502,-0.284538,-1.031605,-0.987896,1.498142,-2.970825,-2.350489,-0.999786,-1.914296,-0.395293,-0.073785,-0.08299
sum,0.002483,0.64004,-0.413716,-1.337105,2.500333,-2.318764,0.317589,-0.163415,0.723278,-0.638643,-1.183431,0.108477,-1.471115,0.471479,0.445232,0.160461
plane,-1.483244,1.309384,0.063036,-0.392605,1.448954,-0.386086,-0.373179,-0.635985,0.203037,-1.750723,-0.93161,1.33019,-2.479692,-0.982156,-0.604191,2.205614
analysis,0.315329,0.603848,-0.810323,0.377386,1.291251,-1.673682,-1.146139,0.008845,-2.944501,0.61291,-0.863511,0.451229,-2.01421,0.364791,-0.841103,-0.531883
dimension,-0.908038,1.325237,-0.270734,0.587143,2.013286,-1.345966,-0.713667,-0.893851,-0.22664,-1.234392,-1.789102,0.118682,-1.387091,-0.114835,-0.557896,1.43589
curve,-0.981803,0.975346,-0.973291,-0.720926,0.357566,-1.979164,-1.098798,-0.249687,0.015928,-1.070138,-0.2235,0.837419,-2.066132,-0.094712,-0.5091,1.870072
type,-0.511718,0.330866,-0.307619,0.047773,1.787088,-0.913126,0.523203,-1.050961,-1.067412,-0.570928,-1.787672,0.026149,-1.923182,0.037369,-0.109338,-0.170238
operator,-0.274944,2.191746,0.445745,-0.332133,1.844138,-0.782654,1.135423,0.999427,-1.293022,0.440051,-1.321847,0.012827,-2.223726,0.80656,0.334509,-0.020434
prove,-0.546375,-0.930923,1.937451,-0.279088,1.23358,-2.59964,-1.165279,0.117201,-0.875507,-0.211307,-1.992437,0.652085,-1.278106,0.366903,0.068635,0.727108
probability,-1.016708,0.036701,-0.855195,-1.508578,1.850129,-2.091429,-0.487199,0.861861,-1.278557,0.140867,-1.426489,-0.41249,-1.127866,-0.518772,-0.412166,-1.440804
structure,-0.430125,1.541311,-0.250747,0.809979,0.669176,-1.232848,0.579426,-0.996523,-1.448154,-0.81875,-2.206725,0.251137,-1.97943,-0.164827,-0.165463,0.308422
representation,0.660986,1.399946,-0.11975,0.088317,1.343934,-1.381067,0.551973,-1.036798,-0.71672,0.003186,-1.865126,0.028083,-2.048914,0.612334,0.355883,1.439079
series,0.964753,0.242855,-0.593687,-0.350265,2.790273,-1.602923,-0.544884,0.245194,-1.059371,-0.053185,-0.342654,0.858463,-1.41449,0.271,-0.140636,0.066345
prime,0.872403,-0.728918,0.394957,-0.10252,2.733094,-3.051983,-0.753659,-0.949205,1.017141,-0.836181,-0.48012,0.304092,-0.730677,0.560622,1.016303,0.862947
measure,-1.079125,1.075476,-0.623144,-0.969583,1.573731,-2.017573,0.078513,0.630362,-1.138412,-0.884173,-1.345239,0.791053,-0.676002,0.161688,-0.548898,-0.541029
equal,-0.712363,0.543325,-0.898893,-1.256079,2.474554,-2.011527,0.102154,0.121119,0.930093,-1.604829,-1.391255,0.324182,-1.175136,-0.176638,-0.166138,0.19577
lie,-0.182134,1.561228,-0.108493,0.082274,0.863564,-1.278954,0.615045,-0.199105,-0.395954,-0.787749,-1.95904,0.808391,-1.360272,-0.829294,0.526956,2.1766
manifold,-1.446502,2.311754,0.408712,1.649482,0.398846,-1.794955,-0.854729,-0.215967,-0.812237,-0.699417,-1.855772,0.406322,-1.216619,-0.359945,-0.686775,2.529129
degree,0.13262,0.891305,-0.939196,0.069794,1.603546,-2.250851,-1.092915,0.733586,0.238576,-0.508469,-1.885231,-0.74934,-0.890195,-1.061777,0.138137,0.550507
differential,0.015505,1.901934,-0.403255,0.122238,1.285057,-1.52909,-0.712298,0.528924,-1.928352,0.744418,-0.884015,0.439289,-2.268271,0.081073,-0.619582,1.200082
$\mathbb{C}$,-0.991573,-0.328751,-0.762829,0.338789,1.798852,-0.888975,1.411778,0.733131,0.380758,-1.354506,-1.412347,0.322293,-1.984249,0.094365,1.001912,0.716573
regular,-1.027553,0.387437,0.958074,0.767548,2.863432,0.108459,-0.661249,-1.302483,-0.4256,-2.674775,-1.07768,0.654504,-1.499762,-0.536802,0.864076,0.544242
second,0.251149,0.317999,-0.107007,-1.083795,1.9631,-1.123281,-0.533901,0.428588,-0.436908,-0.120139,-1.966858,-0.069382,-1.58454,-0.794494,-0.367307,-0.082892
triangle,-0.729555,-0.282412,-0.034481,-2.079526,2.209009,-0.292993,-0.814305,-0.975326,0.799658,-2.880086,-0.664779,1.587069,-1.055524,-0.547914,-0.148216,1.173002
