word,1,2,3,4,5,6,7,8,9,10
subset,1.151692,0.115668,0.613792,-0.0302,0.185211,1.028744,2.77615,-0.030686,0.537421,0.892352
circle,0.019114,0.544347,0.548057,-0.452968,0.633868,-0.17731,0.148987,-0.111238,1.034739,-0.934493
relation,-0.35088,1.923527,-0.393949,0.310817,-0.391265,1.975502,0.610548,-0.514277,-0.041769,-0.72005
positive,-1.05209,-0.196632,-0.220068,0.214844,-0.576716,1.251535,2.134226,-0.575771,1.412727,-0.719396
simple,0.228087,0.034218,1.157382,-0.678748,1.129064,0.518222,2.173643,-1.074058,1.383379,-0.848847
topology,0.567643,-0.476694,0.860105,-0.681285,1.232685,0.843324,2.161682,-0.146823,-0.405303,1.272772
category,-0.638743,1.330749,0.305582,-0.321349,-0.481507,0.473942,1.185145,0.135739,1.278175,0.315205
surface,0.880172,-0.107175,-0.332201,-1.77542,0.889797,0.211795,1.65295,-2.165754,2.169769,0.594528
constant,0.308154,-0.248558,-0.240581,-0.066,0.561846,0.612031,1.85177,-1.887212,0.127654,-0.079152
application,-0.647106,1.069972,1.400079,-0.26269,0.127169,1.683367,1.99045,-0.98979,1.421604,1.567849
integral,0.279587,0.632146,0.469872,-0.810372,0.534063,0.861177,1.62041,-0.506058,-0.199671,0.548633
coordinate,0.424487,0.995074,0.267645,-0.335657,-0.215017,1.37825,0.935658,-0.807531,0.418773,1.054241
complete,-0.077166,1.66444,0.330949,0.655409,0.640829,-0.044999,-0.227285,-0.863568,1.233982,-0.072984
root,0.125808,0.221546,-0.639602,-0.737436,0.531938,0.643293,1.224947,0.230279,1.493252,-1.221714
length,0.916242,-0.018567,-0.353784,-0.125597,0.647887,-0.783456,1.563686,-1.072019,2.367964,0.197103
continuous,0.81694,0.415937,0.516811,-0.766956,0.565015,1.03922,1.458348,-1.482967,1.234509,0.503491
logic,-0.499875,0.266817,1.200937,0.65213,1.079271,1.332832,2.484519,0.095817,-0.393727,0.289505
external,-1.287877,2.101519,-0.526748,0.032458,0.221543,-0.81274,-0.084625,0.500544,1.294137,0.298397
side,0.263351,0.321552,0.241493,-0.735236,-0.116398,-0.953778,-0.49816,-1.470628,1.95335,-0.880172
unit,0.84898,1.312395,0.161493,0.524378,-0.451679,0.223564,0.280712,-1.629405,1.652349,1.35423
equivalent,0.835199,1.023035,0.10491,0.377663,-0.155418,0.479364,1.587866,-0.616097,0.984382,0.575774
conjecture,0.579277,-1.140979,0.174072,0.017985,1.097544,1.160446,1.348979,0.02034,-1.459821,-0.095056
infinite,0.040008,-0.770314,0.948502,0.172801,0.404166,0.054424,2.463333,-0.244424,0.273454,-0.587213
operation,-0.057042,1.16356,0.697515,0.026853,-0.697831,0.701833,-0.507737,-2.092103,1.229623,0.734276
angle,0.859262,-0.970253,-0.024155,-0.577661,0.95637,-0.374395,1.661179,-1.767738,1.37896,0.197668
random,-0.490774,-0.548698,0.689886,0.38291,0.776544,0.508736,2.070816,-0.560998,0.740215,-0.068762
basis,0.250113,1.218044,-0.042942,0.434178,0.011224,1.286086,1.130473,-1.003966,1.114406,0.125459
natural,0.230571,1.219469,-0.875881,-1.358437,1.026855,1.350781,0.731468,-0.145294,1.596233,-0.340605
power,0.069635,0.844903,0.538484,0.423287,-0.619563,0.506522,0.504223,-1.735857,1.418729,-0.354654
area,1.432201,1.610741,-0.666521,-0.732413,0.222477,0.679127,-1.063109,-0.511587,2.780602,0.037715
open,-0.474037,1.187606,0.729225,-0.476944,0.000978,-0.301693,-0.805881,-0.692166,1.917802,-0.077451
solve,-0.500472,-0.223195,0.783051,0.046294,0.302445,1.569826,1.602265,-1.053785,0.282715,-0.354031
pair,-0.15199,-0.432032,-0.08713,-0.632751,0.051105,-0.912845,0.985455,-1.454312,1.411459,-0.349908
hold,-0.455715,1.414426,0.34436,0.550336,-0.597989,0.209586,-0.917429,-0.880707,1.201613,-0.717524
limit,0.158864,0.657681,0.305931,0.001116,-0.310544,1.186551,0.585201,-1.163318,1.773234,0.706919
special,-1.164671,0.804484,0.689773,0.285999,-0.523838,0.096657,0.225501,-0.445382,1.494408,-0.187998
generate,0.130096,0.208686,0.649132,-0.422251,-0.064161,1.152997,2.116283,-1.314364,1.689769,0.767856
coefficient,0.646522,-0.797847,-0.551928,-0.246211,0.305877,0.940416,2.770413,-1.358112,-0.181881,1.429325
standard,0.000319,1.37645,1.298647,0.215098,-0.036619,0.623248,1.52197,-0.913567,1.631777,0.906484
